K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0026039,0.030909,0.5,3.7698,-0.0028755,0.023757,0.73843,0.030909,0.5,3.7698,0.00021013,7.98E-05,-0.00013594,0.0017118,0.00060236,0.0032858,0.19,0.072130194,-0.003765651
0.00322,0.066184,0.5,3.7698,-0.0035015,0.015427,0.85851,0.066184,0.5,3.7698,0.00044782,0.00010709,-9.15E-05,0.0019302,0.00033343,0.004062,,0.089196676,-0.002535429
0.0030578,0.10006,0.5,3.7698,-0.0013346,0.0079482,0.8883,0.10006,0.5,3.7698,0.00047638,1.94E-05,0.00010619,0.001609,-0.00015035,0.0040301,,0.084703601,0.002941551
0.0024162,0.13258,0.5,3.7698,-0.0011838,0.015884,0.90644,0.13258,0.5,3.7698,0.00050246,-4.46E-05,3.51E-05,0.0013822,8.44E-05,0.0029476,,0.066930748,0.000971884
0.0020554,0.16379,0.5,3.7698,-0.0042857,0.01838,0.93179,0.16379,0.5,3.7698,0.00065228,-6.66E-06,0.0001191,0.0012339,0.00019742,0.0022247,,0.056936288,0.003299169
0.0023826,0.19372,0.5,3.7698,-0.0083967,0.012454,0.94545,0.19372,0.5,3.7698,0.00078069,-6.79E-05,0.00022541,0.0012896,-0.00029908,0.002695,,0.066,0.006244044
0.0024976,0.22242,0.5,3.7698,-0.010491,0.0089984,0.95924,0.22242,0.5,3.7698,0.00092504,-3.40E-05,7.71E-05,0.0016128,-8.93E-05,0.0024574,,0.069185596,0.00213651
0.0026017,0.24993,0.5,3.7698,-0.011233,0.00539,0.96969,0.24993,0.5,3.7698,0.001181,0.00021345,5.35E-05,0.0015902,-4.17E-05,0.0024322,,0.072069252,0.001482493
0.0026937,0.27629,0.5,3.7698,-0.012496,0.0011936,0.99064,0.27629,0.5,3.7698,0.001372,0.00032502,-0.00015608,0.0012387,-0.00064051,0.0027767,,0.074617729,-0.004323546
0.0024875,0.30154,0.5,3.7698,-0.012941,-0.0029753,0.99833,0.30154,0.5,3.7698,0.0015083,0.00043008,-0.00025354,0.0011412,-0.00035287,0.0023256,,0.068905817,-0.007023269
0.0028444,0.32572,0.5,3.7698,-0.011384,-0.0081687,0.97993,0.32572,0.5,3.7698,0.0016905,0.00015241,-0.00031996,0.0014726,0.00032078,0.0025258,,0.078792244,-0.008863158
0.0036987,0.34887,0.5,3.7698,-0.0093097,-0.01248,0.97282,0.34887,0.5,3.7698,0.0018543,-0.00046064,-0.00037682,0.0024484,3.32E-05,0.0030947,,0.102457064,-0.010438227
0.0040543,0.37102,0.5,3.7698,-0.008963,-0.013559,0.98068,0.37102,0.5,3.7698,0.0019979,-0.0008307,-4.19E-05,0.0034272,-0.00054493,0.0026835,,0.112307479,-0.001161662
0.0045504,0.39221,0.5,3.7698,-0.0090222,-0.0083251,0.98342,0.39221,0.5,3.7698,0.0021258,-0.00081464,0.00034011,0.00335,-0.0014202,0.0036248,,0.126049861,0.00942133
0.0050187,0.41248,0.5,3.7698,-0.0078911,-0.0032782,0.98294,0.41248,0.5,3.7698,0.0020234,-0.00035153,-1.13E-05,0.0027518,-0.0024172,0.0052623,,0.139022161,-0.000312465
0.0046742,0.43187,0.5,3.7698,-0.0075224,-0.0015948,0.98319,0.43187,0.5,3.7698,0.0016716,3.96E-05,-0.00078936,0.0021368,-0.0022356,0.0055399,,0.129479224,-0.021865928
0.0040305,0.4504,0.5,3.7698,-0.0087396,0.00043816,0.98426,0.4504,0.5,3.7698,0.001323,4.77E-05,-0.0010964,0.0016946,-0.0016812,0.0050434,,0.111648199,-0.030371191
0.0035176,0.46812,0.5,3.7698,-0.0099937,0.0031738,0.98876,0.46812,0.5,3.7698,0.001126,-2.96E-06,-0.0010866,0.0018631,-0.0014936,0.004046,,0.097440443,-0.030099723
0.0037002,0.48504,0.5,3.7698,-0.010698,0.0060545,0.99155,0.48504,0.5,3.7698,0.0011574,4.29E-05,-0.00089668,0.0023919,-0.0017893,0.003851,,0.102498615,-0.024838781
0.0043131,0.50122,0.5,3.7698,-0.010528,0.010189,0.99039,0.50122,0.5,3.7698,0.0013603,0.00015452,-0.00083052,0.0028105,-0.0022999,0.0044553,,0.119476454,-0.023006094
0.0046288,0.51667,0.5,3.7698,-0.0098206,0.011206,0.99124,0.51667,0.5,3.7698,0.0017047,0.00041437,-0.00095711,0.00282,-0.002535,0.0047329,,0.128221607,-0.026512742
0.0047354,0.53142,0.5,3.7698,-0.010107,0.010981,0.99307,0.53142,0.5,3.7698,0.0021714,0.00066751,-0.001021,0.00263,-0.0025771,0.0046694,,0.131174515,-0.028282548
0.0050039,0.54551,0.5,3.7698,-0.011717,0.012622,0.99255,0.54551,0.5,3.7698,0.0025815,0.00088525,-0.0010043,0.0027358,-0.0027226,0.0046904,,0.138612188,-0.027819945
0.0054667,0.55896,0.5,3.7698,-0.013521,0.017799,0.99142,0.55896,0.5,3.7698,0.0027878,0.0010084,-0.00097262,0.0033603,-0.0029301,0.0047854,,0.151432133,-0.026942382
0.0060347,0.5718,0.5,3.7698,-0.014137,0.024228,0.98989,0.5718,0.5,3.7698,0.0027961,0.00094807,-0.001102,0.0040353,-0.0032393,0.0052379,,0.167166205,-0.030526316
