K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0061335,0.83719,0.5,3.7698,0.0051508,-0.023155,1.0554,0.83719,0.5,3.7698,0.0010812,-0.00039108,0.00022484,0.0028159,-0.0041445,0.0083699,0.19,0.169903047,0.006228255
0.0060577,0.84544,0.5,3.7698,0.0046923,-0.020458,1.0528,0.84544,0.5,3.7698,0.001058,-0.00030433,9.18E-05,0.0028405,-0.0041482,0.0082169,,0.167803324,0.002543047
0.0059054,0.8537,0.5,3.7698,0.004391,-0.017591,1.0498,0.8537,0.5,3.7698,0.0010584,-0.00023086,-4.02E-05,0.0028392,-0.0040308,0.0079132,,0.163584488,-0.001114183
0.005685,0.86196,0.5,3.7698,0.0042709,-0.014587,1.0469,0.86196,0.5,3.7698,0.0010788,-0.00016272,-0.00017417,0.0027872,-0.0037878,0.0075039,,0.157479224,-0.004824654
0.00536,0.87021,0.5,3.7698,0.0044747,-0.011675,1.0448,0.87021,0.5,3.7698,0.0011131,-9.84E-05,-0.00030671,0.0026469,-0.0034175,0.00696,,0.148476454,-0.008496122
0.0049639,0.87847,0.5,3.7698,0.0050883,-0.009391,1.0439,0.87847,0.5,3.7698,0.0011533,-5.45E-05,-0.00041849,0.0024167,-0.0029719,0.0063579,,0.137504155,-0.011592521
0.0045673,0.88672,0.5,3.7698,0.0060212,-0.0078459,1.0441,0.88672,0.5,3.7698,0.0011897,-3.74E-05,-0.00049151,0.0021529,-0.0025069,0.0057918,,0.126518006,-0.013615235
0.0041751,0.89498,0.5,3.7698,0.0070901,-0.006832,1.0449,0.89498,0.5,3.7698,0.0012122,-3.29E-05,-0.00052179,0.0019172,-0.002056,0.0052207,,0.11565374,-0.014454017
0.0037697,0.90324,0.5,3.7698,0.0081731,-0.0062792,1.0463,0.90324,0.5,3.7698,0.001214,-2.55E-05,-0.00052499,0.0017381,-0.0016814,0.0045873,,0.104423823,-0.014542659
0.0033965,0.91149,0.5,3.7698,0.0092287,-0.0061564,1.0478,0.91149,0.5,3.7698,0.0011928,-1.83E-05,-0.00052166,0.0016215,-0.001441,0.0039787,,0.094085873,-0.014450416
0.0031217,0.91975,0.5,3.7698,0.010215,-0.006338,1.0486,0.91975,0.5,3.7698,0.0011504,-2.95E-05,-0.00050965,0.001556,-0.0013272,0.003537,,0.086473684,-0.014117729
0.0029693,0.92801,0.5,3.7698,0.010996,-0.0067667,1.0477,0.92801,0.5,3.7698,0.0010939,-6.96E-05,-0.00046934,0.001535,-0.0013292,0.0033097,,0.082252078,-0.013001108
0.002924,0.93626,0.5,3.7698,0.011407,-0.0075345,1.0447,0.93626,0.5,3.7698,0.0010385,-0.00012537,-0.0003872,0.001569,-0.0014637,0.0032405,,0.08099723,-0.010725762
0.0029593,0.94452,0.5,3.7698,0.011368,-0.0084551,1.0396,0.94452,0.5,3.7698,0.0010048,-0.00016708,-0.00025807,0.0016725,-0.0016726,0.0032413,,0.081975069,-0.007148753
0.003068,0.95277,0.5,3.7698,0.01087,-0.0089907,1.0336,0.95277,0.5,3.7698,0.0010094,-0.00018399,-9.22E-05,0.0018271,-0.0018424,0.0032994,,0.08498615,-0.002553629
0.003204,0.96103,0.5,3.7698,0.009994,-0.0089219,1.0277,0.96103,0.5,3.7698,0.0010619,-0.0001924,7.68E-05,0.0019933,-0.0019263,0.0033528,,0.088753463,0.002128338
0.0032752,0.96929,0.5,3.7698,0.0088351,-0.0085522,1.0228,0.96929,0.5,3.7698,0.0011656,-0.00019786,0.0001923,0.0021849,-0.0019336,0.0031999,,0.090725762,0.00532687
0.0032688,0.97754,0.5,3.7698,0.0074139,-0.0081351,1.019,0.97754,0.5,3.7698,0.0013218,-0.00018836,0.0002115,0.0024372,-0.0018894,0.0027785,,0.090548476,0.005858726
0.0032923,0.9858,0.5,3.7698,0.0057422,-0.007668,1.0149,0.9858,0.5,3.7698,0.0015234,-0.00016861,0.00016477,0.0027077,-0.0018516,0.0023535,,0.091199446,0.004564266
0.0034432,0.99405,0.5,3.7698,0.0040102,-0.0071062,1.0105,0.99405,0.5,3.7698,0.0017471,-0.00014749,0.00012355,0.0029268,-0.0018576,0.0022125,,0.095379501,0.003422438
0.0036819,1.0023,0.5,3.7698,0.0025876,-0.0062214,1.0068,1.0023,0.5,3.7698,0.0019656,-0.00011016,9.70E-05,0.0030583,-0.0018625,0.00234,,0.10199169,0.002686288
0.0038756,1.0106,0.5,3.7698,0.0017707,-0.0047183,1.0042,1.0106,0.5,3.7698,0.0021683,-4.65E-05,6.10E-05,0.0030683,-0.0017842,0.0025146,,0.107357341,0.001688366
0.0039204,1.0188,0.5,3.7698,0.0016598,-0.0025093,1.002,1.0188,0.5,3.7698,0.0023638,2.98E-05,4.06E-05,0.0029121,-0.0015672,0.002565,,0.108598338,0.001125734
0.0038,1.0271,0.5,3.7698,0.0021669,0.00034999,0.9986,1.0271,0.5,3.7698,0.0025634,0.00011474,7.87E-05,0.0025726,-0.0012213,0.002464,,0.105263158,0.002180554
0.0036159,1.0353,0.5,3.7698,0.0029449,0.0036253,0.9931,1.0353,0.5,3.7698,0.0027658,0.00021953,0.00017078,0.0021697,-0.00085541,0.0022963,,0.100163435,0.004730748
0.0035043,1.0436,0.5,3.7698,0.003402,0.0068073,0.9862,1.0436,0.5,3.7698,0.002954,0.00033175,0.00025417,0.0018639,-0.00060643,0.0021906,,0.097072022,0.00704072
