K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0044752,1.6711,0.5,3.7698,-0.004999,-0.022708,1.0403,1.6711,0.5,3.7698,0.0028232,0.00054241,-0.00085738,0.0019333,-0.0010213,0.0041939,0.19,0.123966759,-0.023750139
0.0050462,1.6793,0.5,3.7698,-0.0041625,-0.021085,1.0379,1.6793,0.5,3.7698,0.0029326,0.00064065,-0.00094576,0.0020464,-0.0013976,0.0051134,,0.139783934,-0.026198338
0.0054264,1.6876,0.5,3.7698,-0.0030979,-0.018509,1.0373,1.6876,0.5,3.7698,0.0029078,0.00071076,-0.0010347,0.0022358,-0.0019243,0.0057092,,0.150315789,-0.02866205
0.0055461,1.6958,0.5,3.7698,-0.0020887,-0.015979,1.0381,1.6958,0.5,3.7698,0.0027774,0.00073178,-0.0011039,0.002384,-0.0023603,0.0059308,,0.153631579,-0.030578947
0.005439,1.7041,0.5,3.7698,-0.0013678,-0.01387,1.0396,1.7041,0.5,3.7698,0.0026058,0.00071231,-0.0011571,0.002387,-0.0025662,0.0058851,,0.15066482,-0.032052632
0.0052582,1.7123,0.5,3.7698,-0.0010499,-0.012419,1.041,1.7123,0.5,3.7698,0.0024602,0.00066687,-0.0012137,0.002255,-0.0025343,0.0058013,,0.14565651,-0.033620499
0.0051408,1.7206,0.5,3.7698,-0.00103,-0.012007,1.0411,1.7206,0.5,3.7698,0.0023819,0.00059207,-0.0012618,0.0020658,-0.0023575,0.0058339,,0.142404432,-0.034952909
0.0050476,1.7289,0.5,3.7698,-0.00098922,-0.012498,1.0401,1.7289,0.5,3.7698,0.0023673,0.00047078,-0.0012488,0.0018789,-0.0021464,0.005849,,0.139822715,-0.034592798
0.0048313,1.7371,0.5,3.7698,-0.0006213,-0.012834,1.0382,1.7371,0.5,3.7698,0.0023756,0.00029164,-0.0011121,0.0017142,-0.0019317,0.0055729,,0.133831025,-0.030806094
0.0044869,1.7454,0.5,3.7698,0.00011623,-0.011976,1.0361,1.7454,0.5,3.7698,0.0023539,7.24E-05,-0.00087177,0.001598,-0.0017216,0.0050219,,0.124290859,-0.024148753
0.0041313,1.7536,0.5,3.7698,0.00098844,-0.009703,1.0345,1.7536,0.5,3.7698,0.0022711,-0.0001302,-0.00062748,0.0015606,-0.001557,0.0044309,,0.114440443,-0.017381717
0.0038447,1.7619,0.5,3.7698,0.0017139,-0.0064447,1.0337,1.7619,0.5,3.7698,0.0021309,-0.00025936,-0.00042601,0.0016008,-0.0014553,0.0039577,,0.106501385,-0.011800831
0.0036317,1.7701,0.5,3.7698,0.0021954,-0.0029384,1.0332,1.7701,0.5,3.7698,0.0019535,-0.00031007,-0.00023928,0.0016978,-0.0013916,0.0036121,,0.100601108,-0.006628255
0.0034481,1.7784,0.5,3.7698,0.002511,-1.58E-05,1.0335,1.7784,0.5,3.7698,0.0017595,-0.00030964,-7.51E-05,0.001827,-0.0013274,0.0033097,,0.095515235,-0.002079529
0.0032584,1.7866,0.5,3.7698,0.0027661,0.0017991,1.0354,1.7866,0.5,3.7698,0.0015687,-0.00028675,2.71E-05,0.001959,-0.0012405,0.0029891,,0.090260388,0.000749778
0.0030767,1.7949,0.5,3.7698,0.002988,0.002495,1.0387,1.7949,0.5,3.7698,0.0014005,-0.00027144,6.91E-05,0.0020727,-0.0011263,0.0026803,,0.085227147,0.001915042
0.0029345,1.8032,0.5,3.7698,0.0030713,0.0023927,1.0425,1.8032,0.5,3.7698,0.0012643,-0.00028092,7.90E-05,0.0021546,-0.0010007,0.0024502,,0.081288089,0.002189086
0.0028192,1.8114,0.5,3.7698,0.0028774,0.0019273,1.0465,1.8114,0.5,3.7698,0.0011535,-0.00030625,8.67E-05,0.0021925,-0.00090546,0.0022923,,0.078094183,0.002401468
0.0027298,1.8197,0.5,3.7698,0.0024271,0.0014364,1.0504,1.8197,0.5,3.7698,0.0010568,-0.00033616,0.0001155,0.0021906,-0.00087579,0.0022121,,0.075617729,0.003199446
0.0026873,1.8279,0.5,3.7698,0.0019243,0.00079517,1.0541,1.8279,0.5,3.7698,0.00097299,-0.00038632,0.00016904,0.0021846,-0.00091366,0.0022171,,0.074440443,0.004682548
0.0026985,1.8362,0.5,3.7698,0.0016135,-0.00020024,1.0574,1.8362,0.5,3.7698,0.00091452,-0.00046835,0.00025667,0.0022297,-0.0010103,0.0022528,,0.074750693,0.007109972
0.0027956,1.8446,0.5,3.7698,0.0016567,-0.0015689,1.0597,1.8446,0.5,3.7698,0.00088912,-0.00056896,0.00038846,0.0023142,-0.0011944,0.0023879,,0.077440443,0.010760665
0.0029899,1.8534,0.5,3.7698,0.0020697,-0.0035516,1.0603,1.8534,0.5,3.7698,0.00088836,-0.00067139,0.000582,0.0023748,-0.0015019,0.0027167,,0.082822715,0.016121884
0.0032446,1.8626,0.5,3.7698,0.0026812,-0.0058624,1.0584,1.8626,0.5,3.7698,0.00091165,-0.00075598,0.00079895,0.0023909,-0.0018272,0.0031868,,0.089878116,0.022131579
0.0035076,1.8723,0.5,3.7698,0.0032795,-0.0082459,1.0538,1.8723,0.5,3.7698,0.00098241,-0.00082925,0.00099236,0.0024339,-0.0020367,0.0035988,,0.097163435,0.027489197
0.0037353,1.8824,0.5,3.7698,0.003864,-0.011551,1.0472,1.8824,0.5,3.7698,0.001126,-0.00093485,0.0012103,0.0025505,-0.0021559,0.0037941,,0.103470914,0.033526316
0.0040694,1.8931,0.5,3.7698,0.0043435,-0.015365,1.0402,1.8931,0.5,3.7698,0.001342,-0.0010889,0.0015313,0.0027765,-0.0023244,0.0040204,,0.112725762,0.042418283
0.0045778,1.9042,0.5,3.7698,0.0040045,-0.018348,1.0363,1.9042,0.5,3.7698,0.001608,-0.0012802,0.0019072,0.0031518,-0.0026038,0.0043958,,0.126808864,0.052831025
0.0050721,1.9159,0.5,3.7698,0.0022021,-0.020381,1.0347,1.9159,0.5,3.7698,0.0019194,-0.0014265,0.0022141,0.0034553,-0.0028821,0.0047694,,0.140501385,0.06133241
0.0054049,1.9282,0.5,3.7698,-0.00055317,-0.020162,1.0287,1.9282,0.5,3.7698,0.0022667,-0.0014297,0.0024231,0.0035561,-0.002864,0.004987,,0.149720222,0.067121884
0.0057083,1.941,0.5,3.7698,-0.0030612,-0.017663,1.0225,1.941,0.5,3.7698,0.00259,-0.0013724,0.002708,0.0035247,-0.0027572,0.005302,,0.158124654,0.07501385
0.0057588,1.9545,0.5,3.7698,-0.0041607,-0.01414,1.018,1.9545,0.5,3.7698,0.0028532,-0.0012864,0.0028382,0.0033663,-0.0026084,0.005298,,0.159523546,0.078620499
0.0056898,1.9686,0.5,3.7698,-0.0029978,-0.011564,1.0109,1.9686,0.5,3.7698,0.0030125,-0.0012636,0.0028771,0.0031352,-0.0023851,0.0052319,,0.157612188,0.079698061
0.0058065,1.9833,0.5,3.7698,-0.00011578,-0.01047,0.99826,1.9833,0.5,3.7698,0.0029792,-0.0012412,0.0027659,0.0032394,-0.0024239,0.0053943,,0.160844875,0.076617729
0.00583,1.9988,0.5,3.7698,0.0031105,-0.0095539,0.98507,1.9988,0.5,3.7698,0.0028494,-0.0010392,0.0024148,0.0033285,-0.0023349,0.0054822,,0.161495845,0.066891967
0.005516,2.0149,0.5,3.7698,0.0055558,-0.009571,0.97559,2.0149,0.5,3.7698,0.0027881,-0.00073406,0.0021538,0.0029392,-0.0019089,0.0053046,,0.152797784,0.05966205
0.0052078,2.0319,0.5,3.7698,0.0066562,-0.0088667,0.97094,2.0319,0.5,3.7698,0.0027426,-0.00035828,0.0020857,0.0025754,-0.0015111,0.0050976,,0.144260388,0.057775623
0.0050658,2.0496,0.5,3.7698,0.0071381,-0.0055221,0.9689,2.0496,0.5,3.7698,0.0027025,-0.00010563,0.002192,0.0025808,-0.001366,0.0048483,,0.14032687,0.060720222
0.0048882,2.0681,0.5,3.7698,0.0079975,0.0017236,0.96518,2.0681,0.5,3.7698,0.0026931,0.00013313,0.0020364,0.0029523,-0.0012775,0.0041309,,0.135407202,0.056409972
0.0047378,2.0875,0.5,3.7698,0.0095168,0.0090848,0.96349,2.0875,0.5,3.7698,0.0027334,0.00042252,0.0016676,0.0031314,-0.0011435,0.0036107,,0.131240997,0.046193906
0.0047401,2.1078,0.5,3.7698,0.011869,0.010574,0.95889,2.1078,0.5,3.7698,0.002939,0.00078115,0.0013125,0.0029504,-0.00063832,0.0035907,,0.131304709,0.036357341
0.0046293,2.129,0.5,3.7698,0.014512,0.0055597,0.95277,2.129,0.5,3.7698,0.003413,0.0012498,0.00040888,0.002667,-0.00044205,0.0031787,,0.128235457,0.011326316
0.0049226,2.1511,0.5,3.7698,0.015977,-0.0037197,0.94998,2.1511,0.5,3.7698,0.0039911,0.0017418,-0.00016834,0.0029926,-0.00068201,0.0028616,,0.136360111,-0.004663158
0.005551,2.1743,0.5,3.7698,0.016539,-0.0094434,0.94487,2.1743,0.5,3.7698,0.0043565,0.00178,0.00045251,0.0031063,-0.00067859,0.0036391,,0.153767313,0.012534903
