K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0044701,0.030909,0.5,1.2756,-0.0037412,0.02825,0.72672,0.030909,0.5,1.2756,0.00028847,-0.00025387,-0.00066151,0.0015732,0.0020777,0.0070785,0.19,0.123825485,-0.018324377
0.0043594,0.066184,0.5,1.2756,-0.010191,0.016974,0.86309,0.066184,0.5,1.2756,0.00073056,-0.00029106,-0.00059286,0.0019288,0.001174,0.0060595,,0.120759003,-0.016422715
0.0027932,0.10006,0.5,1.2756,-0.015358,0.0021911,0.9055,0.10006,0.5,1.2756,0.00085319,-0.00014337,-9.18E-05,0.001817,-0.0004512,0.0029162,,0.077373961,-0.002542576
0.0020476,0.13258,0.5,1.2756,-0.014613,0.0041238,0.9151,0.13258,0.5,1.2756,0.00076015,-5.94E-05,-0.00017065,0.0012625,-0.0001769,0.0020726,,0.056720222,-0.004727147
0.0021212,0.16379,0.5,1.2756,-0.011355,0.0095769,0.9332,0.16379,0.5,1.2756,0.00080607,-9.44E-05,-0.0003013,0.00068248,0.00046915,0.0027538,,0.058759003,-0.00834626
0.0022632,0.19372,0.5,1.2756,-0.0061232,0.01767,0.92925,0.19372,0.5,1.2756,0.00098113,-0.00030002,-0.00069128,0.00068674,0.00066876,0.0028585,,0.062692521,-0.01914903
0.0018386,0.22242,0.5,1.2756,-0.0035345,0.025619,0.94196,0.22242,0.5,1.2756,0.0010615,-0.00035411,-0.00084035,0.00071122,0.00063574,0.0019046,,0.050930748,-0.023278393
0.0017864,0.24993,0.5,1.2756,-0.0090517,0.021722,0.94756,0.24993,0.5,1.2756,0.0010494,-0.00016155,-0.00060122,0.00065544,0.00045803,0.0018679,,0.049484765,-0.016654294
0.0020153,0.27629,0.5,1.2756,-0.015627,0.01204,0.94207,0.27629,0.5,1.2756,0.0010584,-3.44E-05,-0.00065771,0.00097336,0.00051739,0.0019989,,0.055825485,-0.018219114
0.0027039,0.30154,0.5,1.2756,-0.017438,0.010009,0.95871,0.30154,0.5,1.2756,0.0011247,-8.37E-05,-0.00081685,0.0011394,0.00081978,0.0031438,,0.074900277,-0.022627424
0.0030428,0.32572,0.5,1.2756,-0.018187,0.0099554,0.97496,0.32572,0.5,1.2756,0.0012924,-0.00018698,-0.00072682,0.0011071,0.00099091,0.0036861,,0.084288089,-0.020133518
0.0028594,0.34887,0.5,1.2756,-0.021455,0.001225,0.99315,0.34887,0.5,1.2756,0.0015059,-0.0003401,-0.00070999,0.00093246,0.00088525,0.0032804,,0.079207756,-0.019667313
0.0029253,0.37102,0.5,1.2756,-0.024252,-0.0054168,1.0021,0.37102,0.5,1.2756,0.0017093,-0.00056405,-0.00098583,0.00099703,0.0005487,0.0031442,,0.081033241,-0.02730831
0.0029151,0.39221,0.5,1.2756,-0.026132,-0.0049536,1.013,0.39221,0.5,1.2756,0.0018983,-0.0006927,-0.0010492,0.0013942,0.0003166,0.0025375,,0.080750693,-0.029063712
0.0028523,0.41248,0.5,1.2756,-0.028474,-0.0054784,1.0177,0.41248,0.5,1.2756,0.0020668,-0.00062712,-0.0007651,0.0014706,4.44E-05,0.0021672,,0.07901108,-0.021193906
0.002878,0.43187,0.5,1.2756,-0.03002,-0.0029511,1.0234,0.43187,0.5,1.2756,0.0022164,-0.0005383,-0.00055743,0.0015284,-0.00025067,0.0020113,,0.079722992,-0.015441274
0.0034567,0.4504,0.5,1.2756,-0.031196,-0.00071068,1.0321,0.4504,0.5,1.2756,0.0023987,-0.00052831,-0.00042838,0.0018509,-0.00036868,0.0026636,,0.095753463,-0.011866482
0.0041488,0.46812,0.5,1.2756,-0.030971,-0.0024223,1.0249,0.46812,0.5,1.2756,0.0025476,-0.00068125,-0.00019202,0.0020323,-0.00086291,0.0037177,,0.114925208,-0.005319114
0.0047823,0.48504,0.5,1.2756,-0.028205,-0.0064487,1.0215,0.48504,0.5,1.2756,0.0026017,-0.00090875,-0.00011906,0.0022277,-0.0014055,0.0047351,,0.132473684,-0.003298061
0.0052928,0.50122,0.5,1.2756,-0.024442,-0.0079633,1.0155,0.50122,0.5,1.2756,0.0026593,-0.0012766,0.0001123,0.0028497,-0.0017443,0.0050767,,0.146614958,0.003110803
0.0054541,0.51667,0.5,1.2756,-0.020508,-0.0073665,1.0128,0.51667,0.5,1.2756,0.0026758,-0.0016045,0.00022842,0.003314,-0.0019062,0.0049183,,0.151083102,0.006327424
0.0055555,0.53142,0.5,1.2756,-0.0162,-0.0050048,1.0098,0.53142,0.5,1.2756,0.0025489,-0.0016429,0.00021439,0.0034672,-0.0021061,0.005095,,0.153891967,0.005938781
0.0052458,0.54551,0.5,1.2756,-0.011869,-0.0014299,1.0079,0.54551,0.5,1.2756,0.0023224,-0.0013234,9.76E-05,0.0031607,-0.0022857,0.0050086,,0.145313019,0.002702271
0.0046307,0.55896,0.5,1.2756,-0.0080048,0.001505,1.01,0.55896,0.5,1.2756,0.0020779,-0.00076162,-0.00039036,0.0024214,-0.002088,0.0047622,,0.128274238,-0.010813296
0.0039479,0.5718,0.5,1.2756,-0.0046984,0.0041605,1.0132,0.5718,0.5,1.2756,0.001907,-0.00031311,-0.00066139,0.0017727,-0.0016931,0.0042162,,0.109360111,-0.018321053
0.0033394,0.58405,0.5,1.2756,-0.0021401,0.0043685,1.0226,0.58405,0.5,1.2756,0.0018027,-1.23E-05,-0.00065537,0.0013998,-0.0013308,0.0034762,,0.092504155,-0.018154294
0.0028733,0.59575,0.5,1.2756,-0.00014671,0.0025292,1.0339,0.59575,0.5,1.2756,0.0017162,0.00015349,-0.00056428,0.0011577,-0.00099723,0.0028727,,0.079592798,-0.015631025
0.0025321,0.6069,0.5,1.2756,0.0015097,-0.0002705,1.044,0.6069,0.5,1.2756,0.0016288,0.00022191,-0.00045519,0.00095253,-0.00062742,0.0024828,,0.070141274,-0.012609141
0.0023133,0.61755,0.5,1.2756,0.0024933,-0.0033157,1.0526,0.61755,0.5,1.2756,0.0015271,0.00021179,-0.00036416,0.00082935,-0.00028201,0.0022702,,0.064080332,-0.010087535
0.0020613,0.6277,0.5,1.2756,0.0024437,-0.006871,1.0584,0.6277,0.5,1.2756,0.001394,0.00014613,-0.00030234,0.00072947,-4.52E-05,0.001999,,0.057099723,-0.008375069
0.0018812,0.63738,0.5,1.2756,0.0014228,-0.010293,1.0613,0.63738,0.5,1.2756,0.0012389,7.32E-05,-0.0002566,0.00064933,0.00010767,0.0018742,,0.052110803,-0.007108033
0.0018184,0.64661,0.5,1.2756,-5.10E-05,-0.011406,1.0644,0.64661,0.5,1.2756,0.0011041,8.77E-06,-0.00021592,0.00065006,0.00027095,0.0018827,,0.050371191,-0.005981163
0.0018721,0.65542,0.5,1.2756,-0.0014758,-0.010163,1.0679,0.65542,0.5,1.2756,0.0010245,-4.92E-05,-0.00019751,0.0007077,0.00041367,0.0020121,,0.051858726,-0.005471191
0.0020303,0.66381,0.5,1.2756,-0.0027106,-0.0078576,1.0705,0.66381,0.5,1.2756,0.0010039,-0.00010089,-0.00028383,0.00073322,0.00053245,0.0023235,,0.056240997,-0.007862327
0.0021837,0.67207,0.5,1.2756,-0.0038196,-0.0056796,1.0711,0.67207,0.5,1.2756,0.0010146,-0.0001264,-0.00043202,0.00069712,0.0006099,0.0026557,,0.060490305,-0.011967313
0.0022591,0.68032,0.5,1.2756,-0.0049003,-0.0036866,1.0695,0.68032,0.5,1.2756,0.0010296,-0.00011986,-0.0005529,0.0006498,0.00062308,0.0028388,,0.062578947,-0.015315789
0.0022164,0.68858,0.5,1.2756,-0.0059265,-0.001883,1.0665,0.68858,0.5,1.2756,0.0010522,-9.44E-05,-0.00060758,0.0006194,0.00055437,0.0027612,,0.061396122,-0.016830471
0.0021286,0.69683,0.5,1.2756,-0.0067047,-0.00035353,1.0634,0.69683,0.5,1.2756,0.0011017,-7.42E-05,-0.00060453,0.00061277,0.00044231,0.0025429,,0.058963989,-0.016745983
0.0021488,0.70509,0.5,1.2756,-0.0069554,0.00070482,1.0618,0.70509,0.5,1.2756,0.0011873,-6.75E-05,-0.00058741,0.00063441,0.00035138,0.0024758,,0.059523546,-0.016271745
0.0022843,0.71335,0.5,1.2756,-0.0065042,0.00081444,1.0623,0.71335,0.5,1.2756,0.001293,-5.13E-05,-0.00060094,0.00066668,0.00027772,0.0026089,,0.063277008,-0.016646537
