K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.002416,0.83719,0.5,1.2756,0.0016377,-0.029591,1.0616,0.83719,0.5,1.2756,0.0009868,0.0001499,-0.00054827,0.0013792,-0.0010447,0.0024661,0.19,0.066925208,-0.015187535
0.0023529,0.84544,0.5,1.2756,0.00099606,-0.029273,1.0607,0.84544,0.5,1.2756,0.0010958,0.00021068,-0.00045329,0.0014559,-0.00098857,0.0021542,,0.065177285,-0.01255651
0.002219,0.8537,0.5,1.2756,0.00066239,-0.028078,1.0569,0.8537,0.5,1.2756,0.0011831,0.00026725,-0.00032306,0.0015852,-0.00078797,0.0016697,,0.061468144,-0.00894903
0.0020591,0.86196,0.5,1.2756,0.00048027,-0.026357,1.051,0.86196,0.5,1.2756,0.0012347,0.0003087,-0.0001727,0.0016945,-0.00052659,0.0011889,,0.057038781,-0.004783934
0.0019329,0.87021,0.5,1.2756,0.0003739,-0.024332,1.0459,0.87021,0.5,1.2756,0.0012566,0.00033293,-1.86E-05,0.0016977,-0.00034229,0.00091154,,0.053542936,-0.000514404
0.0018795,0.87847,0.5,1.2756,0.00036638,-0.022003,1.0423,0.87847,0.5,1.2756,0.0012746,0.00035944,0.00013638,0.0016002,-0.0001925,0.0008842,,0.052063712,0.003777839
0.0019324,0.88672,0.5,1.2756,0.00046695,-0.019415,1.0387,0.88672,0.5,1.2756,0.0013173,0.00040107,0.00029298,0.0014869,-4.31E-05,0.0010605,,0.053529086,0.008115789
0.0021188,0.89498,0.5,1.2756,0.00063917,-0.016788,1.0351,0.89498,0.5,1.2756,0.0013889,0.00045621,0.00042342,0.001441,4.08E-05,0.0014076,,0.058692521,0.011729086
0.0023871,0.90324,0.5,1.2756,0.00074837,-0.014159,1.0323,0.90324,0.5,1.2756,0.001475,0.00051174,0.00051723,0.0014798,5.01E-05,0.0018194,,0.066124654,0.014327701
0.0027129,0.91149,0.5,1.2756,0.00058294,-0.01143,1.0297,0.91149,0.5,1.2756,0.0015653,0.00056314,0.00059907,0.0016161,4.63E-05,0.0022444,,0.075149584,0.016594737
0.003116,0.91975,0.5,1.2756,5.03E-05,-0.0086594,1.0266,0.91975,0.5,1.2756,0.0016477,0.00063393,0.00068527,0.0019062,4.16E-07,0.0026782,,0.086315789,0.018982548
0.0035519,0.92801,0.5,1.2756,-0.00076017,-0.0058674,1.0228,0.92801,0.5,1.2756,0.0016945,0.00073575,0.00075414,0.0023594,-0.00016147,0.0030499,,0.098390582,0.020890305
0.0039765,0.93626,0.5,1.2756,-0.0018155,-0.0032494,1.0188,0.93626,0.5,1.2756,0.0016801,0.00083045,0.00080297,0.0028236,-0.00038402,0.0034493,,0.110152355,0.022242936
0.0042209,0.94452,0.5,1.2756,-0.0031264,-0.00091614,1.0146,0.94452,0.5,1.2756,0.0016101,0.00086466,0.00081441,0.003069,-0.00059712,0.0037627,,0.116922438,0.022559834
0.00418,0.95277,0.5,1.2756,-0.0043636,0.0015579,1.0094,0.95277,0.5,1.2756,0.0015258,0.00084478,0.00073871,0.0031051,-0.00083883,0.0037291,,0.115789474,0.020462881
