K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.003038,1.6711,0.5,1.2756,-0.010303,-0.017296,1.0384,1.6711,0.5,1.2756,0.0029144,0.00041119,-0.0014484,0.0011378,-0.00086099,0.0020238,0.19,0.084155125,-0.040121884
0.0028365,1.6793,0.5,1.2756,-0.0084194,-0.017637,1.0385,1.6793,0.5,1.2756,0.0029541,0.00017026,-0.0012498,0.00097798,-0.00068391,0.001741,,0.078573407,-0.034620499
0.0026193,1.6876,0.5,1.2756,-0.0065682,-0.017779,1.0388,1.6876,0.5,1.2756,0.0029263,-4.21E-05,-0.00099349,0.00081838,-0.00052706,0.0014939,,0.072556787,-0.027520499
0.0024757,1.6958,0.5,1.2756,-0.0049003,-0.017552,1.0386,1.6958,0.5,1.2756,0.0028143,-0.00019704,-0.00080264,0.0006937,-0.00041788,0.0014435,,0.068578947,-0.022233795
0.0023996,1.7041,0.5,1.2756,-0.0035115,-0.016734,1.0383,1.7041,0.5,1.2756,0.0026263,-0.00026651,-0.00075751,0.00059763,-0.00033494,0.0015753,,0.066470914,-0.020983657
0.0023031,1.7123,0.5,1.2756,-0.0024499,-0.015245,1.0398,1.7123,0.5,1.2756,0.0024006,-0.00023405,-0.00074628,0.00052542,-0.00026387,0.0016802,,0.063797784,-0.020672576
0.0022411,1.7206,0.5,1.2756,-0.0018537,-0.012966,1.0428,1.7206,0.5,1.2756,0.0021595,-0.0001011,-0.00076066,0.00048882,-0.00025465,0.0018339,,0.062080332,-0.021070914
0.0022922,1.7289,0.5,1.2756,-0.0018556,-0.009703,1.0455,1.7289,0.5,1.2756,0.0019022,0.00010699,-0.00084653,0.00050849,-0.00036311,0.0021738,,0.063495845,-0.023449584
0.0023162,1.7371,0.5,1.2756,-0.0023374,-0.0056802,1.0496,1.7371,0.5,1.2756,0.0016459,0.00032628,-0.00084182,0.000607,-0.00055003,0.0023794,,0.064160665,-0.023319114
0.0022458,1.7454,0.5,1.2756,-0.0030368,-0.0018558,1.0557,1.7454,0.5,1.2756,0.0014153,0.00048054,-0.00070259,0.00076741,-0.00070823,0.0023089,,0.062210526,-0.019462327
