K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.020227,2.3999,0.67,9.7636,0.022884,0.013728,1.0695,0.013835,-0.00085771,-0.0060175,0.0071488,0.00071822,0.01947,0.287988,0.0804,1.171632,0.001264188,0.005721,0.003432,0.267375,0.000864688,-5.36069E-05,-0.000376094,0.0004468,4.48888E-05,0.001216875
0.016916,2.4338,0.67,9.7636,0.015369,0.014805,1.0666,0.0086916,-0.00051957,-0.0021756,0.0057283,-0.00027174,0.019413,0.292056,0.0804,1.171632,0.00105725,0.00384225,0.00370125,0.26665,0.000543225,-3.24731E-05,-0.000135975,0.000358019,-1.69838E-05,0.001213313
0.01195,2.4691,0.67,9.7636,0.0071249,0.014581,0.9568,0.0030673,-0.00026457,-0.0001912,0.0042065,-0.00082519,0.016627,0.296292,0.0804,1.171632,0.000746875,0.001781225,0.00364525,0.2392,0.000191706,-1.65356E-05,-0.00001195,0.000262906,-5.15744E-05,0.001039188
0.0042912,2.5058,0.67,9.7636,0.0010125,0.0064761,0.42556,0.00019308,-4.52E-05,-3.38E-05,0.0016449,-0.00032705,0.0067444,0.300696,0.0804,1.171632,0.0002682,0.000253125,0.001619025,0.10639,1.20675E-05,-2.82806E-06,-2.11206E-06,0.000102806,-2.04406E-05,0.000421525
4.40E-07,2.544,0.67,9.7636,-0.00045048,-1.01E-13,1.08E-17,8.81E-07,1.96E-16,2.82E-20,4.36E-26,6.26E-30,1.79E-33,0.30528,0.0804,1.171632,2.75169E-08,-0.00011262,-2.5175E-14,2.69125E-18,5.50331E-08,1.22513E-17,1.76E-21,2.72725E-27,3.90969E-31,1.11806E-34
0,2.5837,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.310044,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.315,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0.020325,2.3999,0.67,9.7791,0.022688,0.013624,1.068,0.013893,-0.00083911,-0.0061231,0.0071766,0.00075838,0.01958,0.287988,0.0804,1.173492,0.001270313,0.005672,0.003406,0.267,0.000868313,-5.24444E-05,-0.000382694,0.000448538,4.73988E-05,0.00122375
0.017001,2.4338,0.67,9.7791,0.015297,0.014732,1.0654,0.0087562,-0.00051357,-0.0022726,0.0057945,-0.00028238,0.019451,0.292056,0.0804,1.173492,0.001062563,0.00382425,0.003683,0.26635,0.000547263,-3.20981E-05,-0.000142038,0.000362156,-1.76488E-05,0.001215688
0.012022,2.4691,0.67,9.7791,0.0071162,0.014533,0.95591,0.0030917,-0.00026793,-0.00021234,0.0042712,-0.00080964,0.016682,0.296292,0.0804,1.173492,0.000751375,0.00177905,0.00363325,0.2389775,0.000193231,-1.67456E-05,-1.32713E-05,0.00026695,-5.06025E-05,0.001042625
0.0043177,2.5058,0.67,9.7791,0.0014462,0.0064548,0.42516,0.00019835,-4.58E-05,-3.75E-05,0.0016702,-0.00032089,0.0067668,0.300696,0.0804,1.173492,0.000269856,0.00036155,0.0016137,0.10629,1.23969E-05,-2.86381E-06,-2.34456E-06,0.000104388,-2.00556E-05,0.000422925
2.31E-06,2.544,0.67,9.7791,-1.50E-05,-3.43E-15,6.71E-18,4.62E-06,1.03E-15,-1.97E-20,2.29E-25,-4.39E-30,2.97E-33,0.30528,0.0804,1.173492,1.44431E-07,-3.76175E-06,-8.563E-16,1.67805E-18,2.88863E-07,6.43438E-17,-1.23063E-21,1.43313E-26,-2.74406E-31,1.85669E-34
