K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0028973,2.3674,0.67,6.7583,0.055422,0.014884,1.1692,0.00087911,5.07E-05,-1.00E-05,0.0016951,-0.00019049,0.0032203,0.284088,0.0804,0.810996,0.000181081,0.0138555,0.003721,0.2923,5.49444E-05,3.17181E-06,-6.27875E-07,0.000105944,-1.19056E-05,0.000201269
0.0034193,2.3999,0.67,6.7583,0.042232,0.014655,1.1353,0.0010361,4.77E-05,0.00013721,0.0021171,-0.00010717,0.0036855,0.287988,0.0804,0.810996,0.000213706,0.010558,0.00366375,0.283825,6.47563E-05,2.98181E-06,8.57563E-06,0.000132319,-6.69813E-06,0.000230344
0.0032204,2.4338,0.67,6.7583,0.027375,0.032053,1.11,0.0009396,0.0001116,0.00049167,0.0020452,1.58E-05,0.003456,0.292056,0.0804,0.810996,0.000201275,0.00684375,0.00801325,0.2775,0.000058725,0.000006975,3.07294E-05,0.000127825,9.90125E-07,0.000216
0.0022487,2.4691,0.67,6.7583,0.012508,0.043138,0.99171,0.00042808,0.00014177,0.00039507,0.00159,0.00024532,0.0024795,0.296292,0.0804,0.810996,0.000140544,0.003127,0.0107845,0.2479275,0.000026755,8.86063E-06,2.46919E-05,0.000099375,1.53325E-05,0.000154969
0.00082798,2.5058,0.67,6.7583,0.0029462,0.019198,0.44132,2.80E-05,2.44E-05,6.95E-05,0.0006222,9.90E-05,0.0010058,0.300696,0.0804,0.810996,5.17488E-05,0.00073655,0.0047995,0.11033,1.74863E-06,1.52538E-06,4.34481E-06,3.88875E-05,6.18638E-06,6.28625E-05
5.78E-07,2.544,0.67,6.7583,0.00037737,8.14E-14,1.11E-17,1.16E-06,2.49E-16,8.75E-21,5.38E-26,1.89E-30,2.28E-33,0.30528,0.0804,0.810996,3.615E-08,9.43425E-05,2.034E-14,2.76825E-18,7.23E-08,1.55931E-17,5.47006E-22,3.36306E-27,1.18306E-31,1.42375E-34
0,2.5837,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0.0028887,2.3674,0.67,6.7666,0.055223,0.01489,1.1705,0.00087771,4.73E-05,-1.16E-05,0.0016874,-0.00019149,0.0032123,0.284088,0.0804,0.811992,0.000180544,0.01380575,0.0037225,0.292625,5.48569E-05,2.95706E-06,-7.25813E-07,0.000105463,-1.19681E-05,0.000200769
0.0034065,2.3999,0.67,6.7666,0.042096,0.01459,1.1366,0.0010358,4.78E-05,0.00013417,0.0021065,-0.00011178,0.0036707,0.287988,0.0804,0.811992,0.000212906,0.010524,0.0036475,0.28415,6.47375E-05,2.98538E-06,8.38563E-06,0.000131656,-6.98625E-06,0.000229419
