K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0024161,0.19372,0.67,6.7583,-0.022228,0.025656,1.2641,0.0010278,0.00032799,-0.00089513,0.00084305,-0.0005258,0.0029613,0.0232464,0.0804,0.810996,0.000151006,-0.005557,0.006414,0.316025,6.42375E-05,2.04994E-05,-5.59456E-05,5.26906E-05,-3.28625E-05,0.000185081
0.0017884,0.22242,0.67,6.7583,-0.031811,0.026526,1.2757,0.00092276,0.00035845,-0.0002773,0.00092493,-0.00042913,0.0017292,0.0266904,0.0804,0.810996,0.000111775,-0.00795275,0.0066315,0.318925,5.76725E-05,2.24031E-05,-1.73313E-05,5.78081E-05,-2.68206E-05,0.000108075
0.0015466,0.24993,0.67,6.7583,-0.040797,0.021573,1.2888,0.00086364,0.00031472,-2.69E-05,0.00085711,-0.00021088,0.0013724,0.0299916,0.0804,0.810996,9.66625E-05,-0.01019925,0.00539325,0.3222,5.39775E-05,0.00001967,-1.67888E-06,5.35694E-05,-0.00001318,0.000085775
0.0015579,0.27629,0.67,6.7583,-0.049186,0.021724,1.29,0.00089875,0.00032731,3.64E-05,0.00081671,-5.18E-05,0.0014003,0.0331548,0.0804,0.810996,9.73688E-05,-0.0122965,0.005431,0.3225,5.61719E-05,2.04569E-05,2.27463E-06,5.10444E-05,-3.24038E-06,8.75188E-05
0.0015975,0.30154,0.67,6.7583,-0.057288,0.016726,1.2961,0.000972,0.0003143,-0.00011467,0.0008263,-0.00032019,0.0013968,0.0361848,0.0804,0.810996,9.98438E-05,-0.014322,0.0041815,0.324025,0.00006075,1.96438E-05,-7.16688E-06,5.16438E-05,-2.00119E-05,0.0000873
0.0016239,0.32572,0.67,6.7583,-0.065489,0.0069515,1.3024,0.001064,0.00029214,-0.00031011,0.00088005,-0.00030886,0.0013037,0.0390864,0.0804,0.810996,0.000101494,-0.01637225,0.001737875,0.3256,0.0000665,1.82588E-05,-1.93819E-05,5.50031E-05,-1.93038E-05,8.14813E-05
0.0017032,0.34887,0.67,6.7583,-0.073733,0.0028528,1.3142,0.0012074,0.00028823,-0.00030621,0.0010271,-3.80E-06,0.001172,0.0418644,0.0804,0.810996,0.00010645,-0.01843325,0.0007132,0.32855,7.54625E-05,1.80144E-05,-1.91381E-05,6.41938E-05,-2.37225E-07,0.00007325
0.0019223,0.37102,0.67,6.7583,-0.081366,0.00063546,1.3178,0.0014381,0.00022413,-0.00023887,0.0010061,4.83E-05,0.0014003,0.0445224,0.0804,0.810996,0.000120144,-0.0203415,0.000158865,0.32945,8.98813E-05,1.40081E-05,-1.49294E-05,6.28813E-05,3.02163E-06,8.75188E-05
0.0020964,0.39221,0.67,6.7583,-0.08847,-0.0033787,1.32,0.0017294,0.00014864,1.39E-05,0.00089341,1.84E-05,0.00157,0.0470652,0.0804,0.810996,0.000131025,-0.0221175,-0.000844675,0.33,0.000108088,0.00000929,8.65813E-07,5.58381E-05,1.15075E-06,0.000098125
0.0022728,0.41248,0.67,6.7583,-0.096159,-0.006519,1.3168,0.0020251,0.00017537,5.90E-05,0.00095474,-0.00017956,0.0015657,0.0494976,0.0804,0.810996,0.00014205,-0.02403975,-0.00162975,0.3292,0.000126569,1.09606E-05,3.6845E-06,5.96713E-05,-1.12225E-05,9.78563E-05
