K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
2.47E-08,-0.044001,0.67,6.7583,-0.00033808,-9.46E-14,2.30E-17,4.95E-08,1.38E-17,-3.99E-21,3.87E-27,-1.11E-30,3.62E-34,-0.00528012,0.0804,0.810996,1.54638E-09,-0.00008452,-2.36605E-14,5.74675E-18,3.09275E-09,8.65313E-19,-2.49094E-22,2.42119E-28,-6.96313E-32,2.26481E-35
0.0009833,-0.0058053,0.67,6.7583,-0.0010755,0.010856,0.46555,1.54E-05,1.83E-05,-2.46E-05,0.00074808,-0.00026216,0.0012031,-0.000696636,0.0804,0.810996,6.14563E-05,-0.000268875,0.002714,0.1163875,9.62688E-07,1.14413E-06,-1.53763E-06,0.000046755,-0.000016385,7.51938E-05
0.0025582,0.030909,0.67,6.7583,-0.0035931,0.024384,1.0452,0.00024504,0.0001066,-0.00013978,0.0019102,-0.00066046,0.0029611,0.00370908,0.0804,0.810996,0.000159888,-0.000898275,0.006096,0.2613,0.000015315,6.6625E-06,-8.73625E-06,0.000119388,-4.12788E-05,0.000185069
0.0033257,0.066184,0.67,6.7583,-0.0048244,0.025241,1.1729,0.00061829,0.00013123,-0.00041512,0.0022509,-0.0007399,0.0037822,0.00794208,0.0804,0.810996,0.000207856,-0.0012061,0.00631025,0.293225,3.86431E-05,8.20188E-06,-0.000025945,0.000140681,-4.62438E-05,0.000236388
0.0035549,0.10006,0.67,6.7583,-0.0035131,0.023374,1.2115,0.00089264,-3.02E-05,-0.00081673,0.0017902,-0.00045825,0.004427,0.0120072,0.0804,0.810996,0.000222181,-0.000878275,0.0058435,0.302875,0.00005579,-1.88588E-06,-5.10456E-05,0.000111888,-2.86406E-05,0.000276688
0.0031689,0.13258,0.67,6.7583,-0.0062151,0.019284,1.2346,0.0010309,-9.83E-06,-0.00076618,0.0012603,-3.37E-05,0.0040466,0.0159096,0.0804,0.810996,0.000198056,-0.001553775,0.004821,0.30865,6.44313E-05,-6.1465E-07,-4.78863E-05,7.87688E-05,-2.10475E-06,0.000252913
0,-0.125,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
6.21E-08,-0.044001,0.67,6.7666,-0.00021047,-5.90E-14,3.66E-18,1.24E-07,3.47E-17,-8.38E-21,9.69E-27,-2.34E-30,6.02E-34,-0.00528012,0.0804,0.811992,3.88113E-09,-5.26175E-05,-1.47483E-14,9.1455E-19,7.7625E-09,2.168E-18,-5.23488E-22,6.05506E-28,-1.46188E-31,3.76481E-35
0.00098253,-0.0058053,0.67,6.7666,-0.00093736,0.010831,0.46566,1.54E-05,1.84E-05,-2.48E-05,0.00074914,-0.00026167,0.0012005,-0.000696636,0.0804,0.811992,6.14081E-05,-0.00023434,0.00270775,0.116415,9.65063E-07,1.14694E-06,-1.55131E-06,4.68213E-05,-1.63544E-05,7.50313E-05
0.002556,0.030909,0.67,6.7666,-0.0035417,0.02433,1.0455,0.00024446,0.00010686,-0.00014101,0.0019129,-0.00065923,0.0029545,0.00370908,0.0804,0.811992,0.00015975,-0.000885425,0.0060825,0.261375,1.52788E-05,6.67875E-06,-8.81313E-06,0.000119556,-4.12019E-05,0.000184656
0.0033268,0.066184,0.67,6.7666,-0.0047416,0.025205,1.1732,0.00061723,0.00013075,-0.00041801,0.0022538,-0.000733,0.0037826,0.00794208,0.0804,0.811992,0.000207925,-0.0011854,0.00630125,0.2933,3.85769E-05,8.17188E-06,-2.61256E-05,0.000140863,-4.58125E-05,0.000236413
0.0035541,0.10006,0.67,6.7666,-0.0034144,0.023296,1.2118,0.00089267,-3.08E-05,-0.00081789,0.0017911,-0.00045069,0.0044244,0.0120072,0.0804,0.811992,0.000222131,-0.0008536,0.005824,0.30295,5.57919E-05,-1.92231E-06,-5.11181E-05,0.000111944,-2.81681E-05,0.000276525
0.0031693,0.13258,0.67,6.7666,-0.0060624,0.019149,1.2349,0.0010349,-8.31E-06,-0.00076594,0.0012597,-3.27E-05,0.0040439,0.0159096,0.0804,0.811992,0.000198081,-0.0015156,0.00478725,0.308725,6.46813E-05,-5.19306E-07,-4.78713E-05,7.87313E-05,-2.04194E-06,0.000252744
0,-0.125,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
1.59E-07,-0.044001,0.67,6.775,-0.00021774,-6.08E-14,5.96E-18,3.18E-07,8.89E-17,-8.67E-22,2.49E-26,-2.40E-31,5.65E-34,-0.00528012,0.0804,0.813,9.935E-09,-0.000054435,-1.52063E-14,1.49123E-18,1.987E-08,5.55556E-18,-5.41919E-23,1.55325E-27,-1.49819E-32,3.53363E-35
0.00098216,-0.0058053,0.67,6.775,-0.00093465,0.010807,0.46577,1.56E-05,1.83E-05,-2.51E-05,0.00075084,-0.00026121,0.0011978,-0.000696636,0.0804,0.813,0.000061385,-0.000233663,0.00270175,0.1164425,9.77125E-07,1.14244E-06,-1.56856E-06,4.69275E-05,-1.63256E-05,7.48625E-05
0.0025549,0.030909,0.67,6.775,-0.0034932,0.024274,1.0457,0.00024444,0.00010643,-0.00014258,0.0019172,-0.00065806,0.002948,0.00370908,0.0804,0.813,0.000159681,-0.0008733,0.0060685,0.261425,1.52775E-05,6.65188E-06,-8.91125E-06,0.000119825,-4.11288E-05,0.00018425
0.0033298,0.066184,0.67,6.775,-0.0046632,0.025169,1.1735,0.00061651,0.00012977,-0.00042168,0.0022596,-0.00072583,0.0037835,0.00794208,0.0804,0.813,0.000208113,-0.0011658,0.00629225,0.293375,3.85319E-05,8.11063E-06,-0.000026355,0.000141225,-4.53644E-05,0.000236469
0.0035554,0.10006,0.67,6.775,-0.0033188,0.02322,1.212,0.00089433,-3.01E-05,-0.00081984,0.0017948,-0.00044339,0.0044216,0.0120072,0.0804,0.813,0.000222213,-0.0008297,0.005805,0.303,5.58956E-05,-1.87931E-06,-0.00005124,0.000112175,-2.77119E-05,0.00027635
0.0031735,0.13258,0.67,6.775,-0.0059128,0.019016,1.2352,0.0010431,-6.09E-06,-0.00076612,0.0012624,-3.20E-05,0.0040415,0.0159096,0.0804,0.813,0.000198344,-0.0014782,0.004754,0.3088,6.51938E-05,-3.80425E-07,-4.78825E-05,0.0000789,-2.00069E-06,0.000252594
0,-0.125,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
1.99E-07,-0.044001,0.67,6.7833,-0.0002296,-6.42E-14,-1.37E-17,3.99E-07,1.12E-16,2.17E-20,3.12E-26,6.06E-30,1.90E-33,-0.00528012,0.0804,0.813996,1.24644E-08,-0.0000574,-1.60465E-14,-3.4265E-18,2.49281E-08,6.96875E-18,1.35544E-21,1.94825E-27,3.78456E-31,1.18788E-34
0.00098134,-0.0058053,0.67,6.7833,-0.00093612,0.010782,0.46587,1.58E-05,1.83E-05,-2.53E-05,0.00075167,-0.00026066,0.0011952,-0.000696636,0.0804,0.813996,6.13338E-05,-0.00023403,0.0026955,0.1164675,9.89688E-07,1.14588E-06,-1.58156E-06,4.69794E-05,-1.62913E-05,0.0000747
0.0025536,0.030909,0.67,6.7833,-0.0034426,0.024219,1.0459,0.00024637,0.00010675,-0.00014376,0.0019193,-0.00065667,0.0029414,0.00370908,0.0804,0.813996,0.0001596,-0.00086065,0.00605475,0.261475,1.53981E-05,6.67188E-06,-0.000008985,0.000119956,-4.10419E-05,0.000183838
