K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,4.7844,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.574128,0,0,0,0.00E+00,0,0,0,0,0,0
0,-0.083719,0.67,4.7844,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.574128,0,0,0,0.00E+00,0,0,0,0,0,0
1.47E-07,-0.044001,0.67,4.7844,-0.00027306,-7.45E-14,3.37E-18,2.94E-07,8.02E-17,-4.45E-21,2.19E-26,-1.21E-30,1.04E-34,-0.00528012,0.0804,0.574128,9.18E-09,-0.000068265,-1.86363E-14,8.43E-19,1.83606E-08,5.01194E-18,-2.77938E-22,1.36813E-27,-7.58063E-32,6.49188E-36
0.0010586,-0.0058053,0.67,4.7844,-0.0011674,0.010692,0.37332,1.59E-05,-1.25E-05,-2.89E-05,0.00050767,-0.00039537,0.0015937,-0.000696636,0.0804,0.574128,6.61625E-05,-0.00029185,0.002673,9.33E-02,9.91625E-07,-7.7925E-07,-1.80344E-06,3.17294E-05,-2.47106E-05,9.96063E-05
0.0027535,0.030909,0.67,4.7844,-0.0043536,0.024121,0.84135,0.0002485,-7.28E-05,-0.00016463,0.0013109,-0.0010037,0.0039475,0.00370908,0.0804,0.574128,0.000172094,-0.0010884,0.00603025,2.10E-01,1.55313E-05,-4.54975E-06,-1.02894E-05,8.19313E-05,-6.27313E-05,0.000246719
0.0036212,0.066184,0.67,4.7844,-0.0079716,0.01264,0.96424,0.00052174,2.48E-05,-0.00023304,0.001494,-0.0013934,0.0052266,0.00794208,0.0804,0.574128,0.000226325,-0.0019929,0.00316,2.41E-01,3.26088E-05,1.54788E-06,-0.000014565,0.000093375,-8.70875E-05,0.000326663
0.0042999,0.10006,0.67,4.7844,-0.0087661,0.0068395,0.99231,0.00057523,8.19E-05,-0.00020604,0.0010003,-0.00062903,0.0070243,0.0120072,0.0804,0.574128,0.000268744,-0.002191525,0.001709875,2.48E-01,3.59519E-05,5.11888E-06,-1.28775E-05,6.25188E-05,-3.93144E-05,0.000439019
0.003526,0.13258,0.67,4.7844,-0.0087651,0.017104,0.99935,0.00053082,3.95E-05,-0.00013474,0.00062946,-0.00020593,0.0058918,0.0159096,0.0804,0.574128,0.000220375,-0.002191275,0.004276,2.50E-01,3.31763E-05,2.47038E-06,-8.42125E-06,3.93413E-05,-1.28706E-05,0.000368238
0.0027218,0.16379,0.67,4.7844,-0.010086,0.02148,1.0267,0.0004154,-1.30E-07,-0.00024369,0.00059523,-0.00068699,0.004433,0.0196548,0.0804,0.574128,0.000170113,-0.0025215,0.00537,2.57E-01,2.59625E-05,-8.12063E-09,-1.52306E-05,3.72019E-05,-4.29369E-05,0.000277063
0.0028606,0.19372,0.67,4.7844,-0.013487,0.025538,1.0506,0.00040036,-0.0001574,-0.00019296,0.00082342,-0.0008583,0.0044974,0.0232464,0.0804,0.574128,0.000178788,-0.00337175,0.0063845,2.63E-01,2.50225E-05,-9.8375E-06,-0.00001206,5.14638E-05,-5.36438E-05,0.000281088
0.0020666,0.22242,0.67,4.7844,-0.016629,0.026307,1.0652,0.00042452,-0.00022387,-5.53E-05,0.00091154,-0.00036616,0.0027972,0.0266904,0.0804,0.574128,0.000129163,-0.00415725,0.00657675,2.66E-01,2.65325E-05,-1.39919E-05,-3.45738E-06,5.69713E-05,-0.000022885,0.000174825
0.001364,0.24993,0.67,4.7844,-0.016693,0.028997,1.0816,0.00032726,-0.00017512,1.79E-05,0.00056842,0.00018862,0.0018324,0.0299916,0.0804,0.574128,0.00008525,-0.00417325,0.00724925,2.70E-01,2.04538E-05,-0.000010945,1.11969E-06,3.55263E-05,1.17888E-05,0.000114525
0.0012532,0.27629,0.67,4.7844,-0.017182,0.032758,1.0904,0.00023999,-9.69E-05,6.83E-06,0.00046443,0.00010558,0.0018019,0.0331548,0.0804,0.574128,0.000078325,-0.0042955,0.0081895,2.73E-01,1.49994E-05,-6.05388E-06,4.26813E-07,2.90269E-05,6.59875E-06,0.000112619
0.0010817,0.30154,0.67,4.7844,-0.020918,0.030847,1.0865,0.00024906,-7.57E-05,-0.00019261,0.00043445,0.00014213,0.0014799,0.0361848,0.0804,0.574128,6.76063E-05,-0.0052295,0.00771175,2.72E-01,1.55663E-05,-4.73238E-06,-1.20381E-05,2.71531E-05,8.88313E-06,9.24938E-05
