K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.02609,0.16379,0.67,9.7636,-0.022358,0.019605,1.1134,0.021438,-0.0018359,0.0088117,0.0087228,-0.0014546,0.022019,0.0196548,0.0804,1.171632,0.001630625,-0.0055895,0.00490125,2.78E-01,0.001339875,-0.000114744,0.000550731,0.000545175,-9.09125E-05,0.001376188
0.029903,0.19372,0.67,9.7636,-0.027851,0.017413,1.08,0.025292,-0.0018107,0.011537,0.010947,-0.00092451,0.023566,0.0232464,0.0804,1.171632,0.001868938,-0.00696275,0.00435325,2.70E-01,0.00158075,-0.000113169,0.000721063,0.000684188,-5.77819E-05,0.001472875
0.03256,0.22242,0.67,9.7636,-0.031355,0.016592,1.0433,0.027898,-0.0015659,0.013234,0.012571,-0.0010848,0.024649,0.0266904,0.0804,1.171632,0.002035,-0.00783875,0.004148,2.61E-01,0.001743625,-9.78688E-05,0.000827125,0.000785688,-0.0000678,0.001540563
0.03533,0.24993,0.67,9.7636,-0.033212,0.016137,1.0076,0.029337,-0.00093044,0.01443,0.013701,-0.001762,0.027623,0.0299916,0.0804,1.171632,0.002208125,-0.008303,0.00403425,2.52E-01,0.001833563,-5.81525E-05,0.000901875,0.000856313,-0.000110125,0.001726438
0.03849,0.27629,0.67,9.7636,-0.034673,0.013822,0.97168,0.030837,-0.00026334,0.015494,0.014276,-0.0022978,0.031868,0.0331548,0.0804,1.171632,0.002405625,-0.00866825,0.0034555,2.43E-01,0.001927313,-1.64588E-05,0.000968375,0.00089225,-0.000143613,0.00199175
0.040686,0.30154,0.67,9.7636,-0.036376,0.011297,0.93544,0.032453,7.94E-05,0.016379,0.014499,-0.0024144,0.034421,0.0361848,0.0804,1.171632,0.002542875,-0.009094,0.00282425,2.34E-01,0.002028313,4.96075E-06,0.001023688,0.000906188,-0.0001509,0.002151313
0.042252,0.32572,0.67,9.7636,-0.038936,0.013285,0.90139,0.033239,-0.00037656,0.016142,0.015209,-0.0026467,0.036056,0.0390864,0.0804,1.171632,0.00264075,-0.009734,0.00332125,2.25E-01,0.002077438,-0.000023535,0.001008875,0.000950563,-0.000165419,0.0022535
0.043006,0.34887,0.67,9.7636,-0.042968,0.017314,0.87339,0.033441,-0.0010034,0.015348,0.015633,-0.0031202,0.036939,0.0418644,0.0804,1.171632,0.002687875,-0.010742,0.0043285,2.18E-01,0.002090063,-6.27125E-05,0.00095925,0.000977063,-0.000195013,0.002308688
0.043194,0.37102,0.67,9.7636,-0.048103,0.020668,0.84763,0.033645,-0.0012163,0.015675,0.016067,-0.0034215,0.036677,0.0445224,0.0804,1.171632,0.002699625,-0.01202575,0.005167,2.12E-01,0.002102813,-7.60188E-05,0.000979688,0.001004188,-0.000213844,0.002292313
0.043031,0.39221,0.67,9.7636,-0.052931,0.023673,0.82947,0.033808,-0.0014958,0.015619,0.016962,-0.0036147,0.035292,0.0470652,0.0804,1.171632,0.002689438,-0.01323275,0.00591825,2.07E-01,0.002113,-9.34875E-05,0.000976188,0.001060125,-0.000225919,0.00220575
0.042407,0.41248,0.67,9.7636,-0.057013,0.026796,0.81472,0.033785,-0.0021019,0.015892,0.017086,-0.0040429,0.033942,0.0494976,0.0804,1.171632,0.002650438,-0.01425325,0.006699,2.04E-01,0.002111563,-0.000131369,0.00099325,0.001067875,-0.000252681,0.002121375
0.04157,0.43187,0.67,9.7636,-0.061794,0.028607,0.79961,0.033698,-0.0026978,0.015394,0.016608,-0.0044338,0.032834,0.0518244,0.0804,1.171632,0.002598125,-0.0154485,0.00715175,2.00E-01,0.002106125,-0.000168613,0.000962125,0.001038,-0.000277113,0.002052125
0.041173,0.4504,0.67,9.7636,-0.066495,0.028418,0.78305,0.033552,-0.0034523,0.014345,0.016633,-0.005105,0.03216,0.054048,0.0804,1.171632,0.002573313,-0.01662375,0.0071045,1.96E-01,0.002097,-0.000215769,0.000896563,0.001039563,-0.000319063,0.00201
0.040479,0.46812,0.67,9.7636,-0.070001,0.027146,0.77143,0.033431,-0.0040174,0.013181,0.016594,-0.0055198,0.030932,0.0561744,0.0804,1.171632,0.002529938,-0.01750025,0.0067865,1.93E-01,0.002089438,-0.000251088,0.000823813,0.001037125,-0.000344988,0.00193325
0.039554,0.48504,0.67,9.7636,-0.073307,0.028779,0.76529,0.033428,-0.0040238,0.011972,0.016202,-0.0054577,0.029477,0.0582048,0.0804,1.171632,0.002472125,-0.01832675,0.00719475,1.91E-01,0.00208925,-0.000251488,0.00074825,0.001012625,-0.000341106,0.001842313
0.038607,0.50122,0.67,9.7636,-0.076252,0.032798,0.75876,0.033081,-0.0036867,0.010822,0.015769,-0.0050776,0.028364,0.0601464,0.0804,1.171632,0.002412938,-0.019063,0.0081995,1.90E-01,0.002067563,-0.000230419,0.000676375,0.000985563,-0.00031735,0.00177275
0.037673,0.51667,0.67,9.7636,-0.07896,0.034893,0.75332,0.032676,-0.0027842,0.0094671,0.015233,-0.0044188,0.027436,0.0620004,0.0804,1.171632,0.002354563,-0.01974,0.00872325,1.88E-01,0.00204225,-0.000174013,0.000591694,0.000952063,-0.000276175,0.00171475
0.037613,0.53142,0.67,9.7636,-0.082218,0.034196,0.75096,0.032558,-0.0016386,0.0087592,0.015364,-0.0035988,0.027305,0.0637704,0.0804,1.171632,0.002350813,-0.0205545,0.008549,1.88E-01,0.002034875,-0.000102413,0.00054745,0.00096025,-0.000224925,0.001706563
0.037768,0.54551,0.67,9.7636,-0.085956,0.032156,0.7512,0.032222,-0.0010752,0.0082112,0.015699,-0.0029891,0.027614,0.0654612,0.0804,1.171632,0.0023605,-0.021489,0.008039,1.88E-01,0.002013875,-0.0000672,0.0005132,0.000981188,-0.000186819,0.001725875
0.037246,0.55896,0.67,9.7636,-0.089994,0.03113,0.7497,0.031721,-0.0011095,0.0072134,0.015427,-0.002948,0.027344,0.0670752,0.0804,1.171632,0.002327875,-0.0224985,0.0077825,1.87E-01,0.001982563,-6.93438E-05,0.000450838,0.000964188,-0.00018425,0.001709
0.036776,0.5718,0.67,9.7636,-0.094487,0.03055,0.74897,0.031445,-0.0013939,0.0058484,0.015518,-0.0030653,0.026589,0.068616,0.0804,1.171632,0.0022985,-0.02362175,0.0076375,1.87E-01,0.001965313,-8.71188E-05,0.000365525,0.000969875,-0.000191581,0.001661813
0.03678,0.58405,0.67,9.7636,-0.099065,0.029017,0.74965,0.031229,-0.0017928,0.004723,0.016093,-0.0028611,0.026239,0.070086,0.0804,1.171632,0.00229875,-0.02476625,0.00725425,1.87E-01,0.001951813,-0.00011205,0.000295188,0.001005813,-0.000178819,0.001639938
0.037034,0.59575,0.67,9.7636,-0.10324,0.027153,0.74898,0.030986,-0.0021013,0.004155,0.016628,-0.0028834,0.026453,0.07149,0.0804,1.171632,0.002314625,-0.02581,0.00678825,1.87E-01,0.001936625,-0.000131331,0.000259688,0.00103925,-0.000180213,0.001653313
0.037392,0.6069,0.67,9.7636,-0.10675,0.026241,0.75002,0.030981,-0.0022247,0.0037693,0.01776,-0.0031206,0.026044,0.072828,0.0804,1.171632,0.002337,-0.0266875,0.00656025,1.88E-01,0.001936313,-0.000139044,0.000235581,0.00111,-0.000195038,0.00162775
0.037586,0.61755,0.67,9.7636,-0.10908,0.026288,0.75288,0.031119,-0.0022097,0.0031635,0.018408,-0.0031609,0.025646,0.074106,0.0804,1.171632,0.002349125,-0.02727,0.006572,1.88E-01,0.001944938,-0.000138106,0.000197719,0.0011505,-0.000197556,0.001602875
0.03751,0.6277,0.67,9.7636,-0.1107,0.024749,0.75428,0.031097,-0.0021587,0.0026634,0.018351,-0.0030769,0.025573,0.075324,0.0804,1.171632,0.002344375,-0.027675,0.00618725,1.89E-01,0.001943563,-0.000134919,0.000166463,0.001146938,-0.000192306,0.001598313
