K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.171632,0,0,0,0.00E+00,0,0,0,0,0,0
0,-0.083719,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.171632,0,0,0,0.00E+00,0,0,0,0,0,0
2.04E-06,-0.044001,0.67,9.7636,0.00026697,7.67E-14,9.08E-18,4.08E-06,1.17E-15,5.52E-20,3.36E-25,1.60E-29,1.56E-32,-0.00528012,0.0804,1.171632,1.27506E-07,6.67425E-05,1.91833E-14,2.27E-18,2.55006E-07,7.32313E-17,3.44875E-21,2.10306E-26,9.96938E-31,9.7475E-34
0.0039532,-0.0058053,0.67,9.7636,-0.00079786,0.011244,0.44441,0.00018353,-2.65E-05,-1.33E-05,0.0014114,8.60E-05,0.0063115,-0.000696636,0.0804,1.171632,0.000247075,-0.000199465,0.002811,1.11E-01,1.14706E-05,-1.65444E-06,-0.000000834,8.82125E-05,5.37763E-06,0.000394469
0.010996,0.030909,0.67,9.7636,-0.0051825,0.025264,0.99845,0.0028638,-0.00015423,-7.59E-05,0.0036008,0.00020373,0.015528,0.00370908,0.0804,1.171632,0.00068725,-0.001295625,0.006316,2.50E-01,0.000178988,-9.63938E-06,-4.74519E-06,0.00022505,1.27331E-05,0.0009705
0.015426,0.066184,0.67,9.7636,-0.010424,0.027878,1.1168,0.00823,-0.00049116,0.0011866,0.0048766,-0.00047813,0.017745,0.00794208,0.0804,1.171632,0.000964125,-0.002606,0.0069695,2.79E-01,0.000514375,-3.06975E-05,7.41625E-05,0.000304788,-2.98831E-05,0.001109063
0.018227,0.10006,0.67,9.7636,-0.013883,0.026735,1.1388,0.013106,-0.00065583,0.0036128,0.005589,-0.00083209,0.017758,0.0120072,0.0804,1.171632,0.001139188,-0.00347075,0.00668375,2.85E-01,0.000819125,-4.09894E-05,0.0002258,0.000349313,-5.20056E-05,0.001109875
0,-0.125,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.173492,0,0,0,0.00E+00,0,0,0,0,0,0
0,-0.083719,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.173492,0,0,0,0.00E+00,0,0,0,0,0,0
2.47E-06,-0.044001,0.67,9.7791,0.00052019,1.49E-13,1.81E-17,4.94E-06,1.42E-15,8.63E-20,4.07E-25,2.49E-29,1.67E-32,-0.00528012,0.0804,1.173492,1.54413E-07,0.000130048,3.736E-14,4.54E-18,3.08825E-07,8.8675E-17,5.39338E-21,2.54638E-26,1.55656E-30,1.04213E-33
