K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,4.7844,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.574128,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,4.7844,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.574128,0,0,0,0,0,0,0,0,0,0
6.83E-08,-0.044001,0.67,4.7844,-0.00023666,-6.45E-14,4.58E-18,1.37E-07,3.74E-17,5.85E-23,1.02E-26,1.75E-32,7.26E-35,-0.00528012,0.0804,0.574128,4.2715E-09,-0.000059165,-1.61365E-14,1.14508E-18,8.54313E-09,2.33606E-18,3.65575E-24,6.3875E-28,1.09156E-33,4.53706E-36
0.0015133,-0.0058053,0.67,4.7844,-0.00046892,0.0057155,0.35959,1.90E-05,-2.23E-05,-5.60E-05,0.00058337,-0.00032484,0.0024242,-0.000696636,0.0804,0.574128,9.45813E-05,-0.00011723,0.001428875,0.0898975,1.18719E-06,-1.39244E-06,-3.49688E-06,3.64606E-05,-2.03025E-05,0.000151513
0.0039099,0.030909,0.67,4.7844,-0.0011533,0.012911,0.81093,0.00030096,-0.00013048,-0.00031926,0.0015085,-0.00082608,0.0060103,0.00370908,0.0804,0.574128,0.000244369,-0.000288325,0.00322775,0.2027325,0.00001881,-0.000008155,-1.99538E-05,9.42813E-05,-0.00005163,0.000375644
0.0044847,0.066184,0.67,4.7844,-0.0025659,-0.00030532,0.9443,0.00060928,-7.91E-05,-0.00036737,0.001721,-0.0014469,0.0066391,0.00794208,0.0804,0.574128,0.000280294,-0.000641475,-0.00007633,0.236075,0.00003808,-4.9455E-06,-2.29606E-05,0.000107563,-9.04313E-05,0.000414944
0.0043914,0.10006,0.67,4.7844,-0.0034872,-0.0053203,0.98809,0.00059087,-2.05E-05,-0.00026059,0.0012459,-0.00066295,0.0069461,0.0120072,0.0804,0.574128,0.000274463,-0.0008718,-0.001330075,0.2470225,3.69294E-05,-1.27819E-06,-1.62869E-05,7.78688E-05,-4.14344E-05,0.000434131
0.0035704,0.13258,0.67,4.7844,-0.0034425,0.0051072,1.0011,0.00048524,-1.49E-05,-0.00020316,0.00085449,-0.00012227,0.0058011,0.0159096,0.0804,0.574128,0.00022315,-0.000860625,0.0012768,0.250275,3.03275E-05,-9.28875E-07,-1.26975E-05,5.34056E-05,-7.64188E-06,0.000362569
0.0026494,0.16379,0.67,4.7844,-0.0037437,0.0089129,1.0315,0.00038508,-3.35E-05,-9.55E-05,0.00067424,-0.00074315,0.0042395,0.0196548,0.0804,0.574128,0.000165588,-0.000935925,0.002228225,0.257875,2.40675E-05,-2.09138E-06,-5.96975E-06,0.00004214,-4.64469E-05,0.000264969
0.0026291,0.19372,0.67,4.7844,-0.0056419,0.01402,1.0457,0.00038803,-0.00018997,5.59E-05,0.00079911,-0.00077712,0.004071,0.0232464,0.0804,0.574128,0.000164319,-0.001410475,0.003505,0.261425,2.42519E-05,-1.18731E-05,3.4945E-06,4.99444E-05,-0.00004857,0.000254438
0.0019531,0.22242,0.67,4.7844,-0.007095,0.014787,1.0605,0.00041136,-0.00022805,3.08E-05,0.00094822,-0.00045798,0.0025466,0.0266904,0.0804,0.574128,0.000122069,-0.00177375,0.00369675,0.265125,0.00002571,-1.42531E-05,1.92669E-06,5.92638E-05,-2.86238E-05,0.000159163
0.0012701,0.24993,0.67,4.7844,-0.0057396,0.01635,1.0804,0.00033067,-0.00017558,7.32E-06,0.00063632,-9.47E-06,0.0015733,0.0299916,0.0804,0.574128,7.93813E-05,-0.0014349,0.0040875,0.2701,2.06669E-05,-1.09738E-05,4.57731E-07,0.00003977,-5.91619E-07,9.83313E-05
0.00099881,0.27629,0.67,4.7844,-0.0040067,0.021065,1.091,0.00026589,-8.50E-05,7.87E-05,0.00044402,2.21E-06,0.0012877,0.0331548,0.0804,0.574128,6.24256E-05,-0.001001675,0.00526625,0.27275,1.66181E-05,-5.30956E-06,4.91613E-06,2.77513E-05,1.37844E-07,8.04813E-05
0.00080695,0.30154,0.67,4.7844,-0.0052283,0.021384,1.0914,0.00026129,-5.81E-05,-8.33E-05,0.00041825,2.22E-06,0.00093435,0.0361848,0.0804,0.574128,5.04344E-05,-0.001307075,0.005346,0.27285,1.63306E-05,-3.63219E-06,-5.20438E-06,2.61406E-05,1.38844E-07,5.83969E-05
0.00068029,0.32572,0.67,4.7844,-0.0091988,0.018287,1.0863,0.00031763,-7.97E-05,-0.00010327,0.00033197,-3.11E-05,0.00071097,0.0390864,0.0804,0.574128,4.25181E-05,-0.0022997,0.00457175,0.271575,1.98519E-05,-0.000004982,-6.45438E-06,2.07481E-05,-1.94331E-06,4.44356E-05
0.00068237,0.34887,0.67,4.7844,-0.014537,0.018262,1.088,0.00040972,-5.91E-05,-3.33E-05,0.00028664,-9.10E-05,0.00066838,0.0418644,0.0804,0.574128,4.26481E-05,-0.00363425,0.0045655,0.272,2.56075E-05,-3.69169E-06,-2.08019E-06,0.000017915,-5.68944E-06,4.17738E-05
0.00098036,0.37102,0.67,4.7844,-0.019583,0.017485,1.0842,0.00053525,-4.37E-06,0.00013178,0.00032835,-0.0002157,0.0010971,0.0445224,0.0804,0.574128,6.12725E-05,-0.00489575,0.00437125,0.27105,3.34531E-05,-2.7305E-07,8.23625E-06,2.05219E-05,-1.34813E-05,6.85688E-05
0.0010811,0.39221,0.67,4.7844,-0.023334,0.013141,1.0793,0.00067943,6.10E-05,0.00039283,0.00036361,-0.00012345,0.0011191,0.0470652,0.0804,0.574128,6.75688E-05,-0.0058335,0.00328525,0.269825,4.24644E-05,3.81269E-06,2.45519E-05,2.27256E-05,-7.71563E-06,6.99438E-05
0.0008989,0.41248,0.67,4.7844,-0.026604,0.0094983,1.0816,0.00076636,8.44E-05,0.00034131,0.0004474,4.45E-05,0.00058403,0.0494976,0.0804,0.574128,5.61813E-05,-0.006651,0.002374575,0.2704,4.78975E-05,5.27469E-06,2.13319E-05,2.79625E-05,2.77881E-06,3.65019E-05
0.0010146,0.43187,0.67,4.7844,-0.029898,0.0082992,1.0859,0.00074528,6.15E-05,0.00021639,0.00068826,8.43E-05,0.00059561,0.0518244,0.0804,0.574128,6.34125E-05,-0.0074745,0.0020748,0.271475,0.00004658,3.8425E-06,1.35244E-05,4.30163E-05,5.26963E-06,3.72256E-05
0.0012059,0.4504,0.67,4.7844,-0.032826,0.0066442,1.0899,0.00067919,0.00011342,0.0001096,0.00092159,-2.93E-05,0.00081093,0.054048,0.0804,0.574128,7.53688E-05,-0.0082065,0.00166105,0.272475,4.24494E-05,7.08875E-06,0.00000685,5.75994E-05,-1.82825E-06,5.06831E-05
0.0012191,0.46812,0.67,4.7844,-0.034626,0.0026316,1.0898,0.00064016,0.00015392,-4.04E-05,0.0011457,-2.68E-05,0.00065228,0.0561744,0.0804,0.574128,7.61938E-05,-0.0086565,0.0006579,0.27245,0.00004001,0.00000962,-2.52756E-06,7.16063E-05,-1.67356E-06,4.07675E-05
0.0014908,0.48504,0.67,4.7844,-0.035069,-0.00076324,1.0905,0.00062636,0.00010413,-7.84E-05,0.0015807,0.00021376,0.00077465,0.0582048,0.0804,0.574128,0.000093175,-0.00876725,-0.00019081,0.272625,3.91475E-05,6.50813E-06,-4.90206E-06,9.87938E-05,0.00001336,4.84156E-05
0.0019165,0.50122,0.67,4.7844,-0.035318,-0.0041056,1.0988,0.00061357,5.15E-05,-5.56E-05,0.0019588,0.00044918,0.0012605,0.0601464,0.0804,0.574128,0.000119781,-0.0088295,-0.0010264,0.2747,3.83481E-05,3.21675E-06,-3.47594E-06,0.000122425,2.80738E-05,7.87813E-05
0.0019072,0.51667,0.67,4.7844,-0.035905,-0.0074133,1.1029,0.0005992,1.23E-05,-7.85E-05,0.0018761,0.00032818,0.001339,0.0620004,0.0804,0.574128,0.0001192,-0.00897625,-0.001853325,0.275725,0.00003745,7.675E-07,-4.90919E-06,0.000117256,2.05113E-05,8.36875E-05
0.0016134,0.53142,0.67,4.7844,-0.036627,-0.01115,1.1036,0.00059858,4.73E-05,-0.00013081,0.001543,0.00013946,0.0010853,0.0637704,0.0804,0.574128,0.000100838,-0.00915675,-0.0027875,0.2759,3.74113E-05,2.95769E-06,-8.17563E-06,9.64375E-05,8.71625E-06,6.78313E-05
0.0013946,0.54551,0.67,4.7844,-0.037419,-0.015425,1.1033,0.00060908,8.33E-05,-3.85E-05,0.0013023,0.00018143,0.00087781,0.0654612,0.0804,0.574128,8.71625E-05,-0.00935475,-0.00385625,0.275825,3.80675E-05,5.20431E-06,-2.40731E-06,8.13938E-05,1.13394E-05,5.48631E-05
0.0012024,0.55896,0.67,4.7844,-0.038327,-0.019003,1.1096,0.00060415,6.83E-05,8.56E-05,0.0011282,6.67E-05,0.00067241,0.0670752,0.0804,0.574128,0.00007515,-0.00958175,-0.00475075,0.2774,3.77594E-05,4.2685E-06,5.35219E-06,7.05125E-05,4.16844E-06,4.20256E-05
0.0010213,0.5718,0.67,4.7844,-0.039692,-0.021824,1.1183,0.00058508,1.94E-05,0.00015167,0.00096369,6.81E-05,0.00049374,0.068616,0.0804,0.574128,6.38313E-05,-0.009923,-0.005456,0.279575,3.65675E-05,1.21431E-06,9.47938E-06,6.02306E-05,0.000004254,3.08588E-05
0.0009753,0.58405,0.67,4.7844,-0.041669,-0.024603,1.1248,0.00058115,-2.55E-05,0.00014776,0.00088859,8.11E-05,0.00048086,0.070086,0.0804,0.574128,6.09563E-05,-0.01041725,-0.00615075,0.2812,3.63219E-05,-1.59319E-06,0.000009235,5.55369E-05,5.0705E-06,3.00538E-05
0.0010126,0.59575,0.67,4.7844,-0.043882,-0.026575,1.127,0.00059704,-4.02E-05,8.21E-05,0.00089728,6.86E-05,0.00053082,0.07149,0.0804,0.574128,6.32875E-05,-0.0109705,-0.00664375,0.28175,0.000037315,-2.5115E-06,5.13025E-06,0.00005608,4.28813E-06,3.31763E-05
0.0010496,0.6069,0.67,4.7844,-0.04555,-0.026951,1.1256,0.00062465,-5.02E-05,-1.31E-05,0.00091024,4.62E-05,0.00056428,0.072828,0.0804,0.574128,0.0000656,-0.0113875,-0.00673775,0.2814,3.90406E-05,-3.13925E-06,-0.000000821,0.00005689,0.000002888,3.52675E-05
0.0010943,0.61755,0.67,4.7844,-0.046395,-0.027355,1.1239,0.00065699,-5.55E-05,-9.66E-05,0.00088874,-4.32E-05,0.00064278,0.074106,0.0804,0.574128,6.83938E-05,-0.01159875,-0.00683875,0.280975,4.10619E-05,-3.46594E-06,-6.0375E-06,5.55463E-05,-2.70113E-06,4.01738E-05
0.00116,0.6277,0.67,4.7844,-0.046815,-0.028527,1.1248,0.00069205,-5.25E-05,-0.00016283,0.00084842,-0.00011375,0.00077961,0.075324,0.0804,0.574128,0.0000725,-0.01170375,-0.00713175,0.2812,4.32531E-05,-3.28231E-06,-1.01769E-05,5.30263E-05,-7.10938E-06,4.87256E-05
0.0012379,0.63738,0.67,4.7844,-0.047131,-0.029904,1.1251,0.00073459,-4.39E-05,-0.00022238,0.00080738,-0.00014021,0.00093374,0.0764856,0.0804,0.574128,7.73688E-05,-0.01178275,-0.007476,0.281275,4.59119E-05,-2.74606E-06,-1.38988E-05,5.04613E-05,-8.76313E-06,5.83588E-05
0.0013155,0.64661,0.67,4.7844,-0.047362,-0.030924,1.1246,0.00078585,-3.40E-05,-0.00030429,0.00075485,-0.00015692,0.0010903,0.0775932,0.0804,0.574128,8.22188E-05,-0.0118405,-0.007731,0.28115,4.91156E-05,-2.12431E-06,-1.90181E-05,4.71781E-05,-9.8075E-06,6.81438E-05
0.0013733,0.65542,0.67,4.7844,-0.047517,-0.031627,1.125,0.0008446,-2.32E-05,-0.00037396,0.00070936,-0.00014591,0.0011926,0.0786504,0.0804,0.574128,8.58313E-05,-0.01187925,-0.00790675,0.28125,5.27875E-05,-1.45131E-06,-2.33725E-05,0.000044335,-9.11938E-06,7.45375E-05
0.0013926,0.66381,0.67,4.7844,-0.047682,-0.032453,1.1258,0.00090455,-7.58E-06,-0.00039239,0.00068519,-0.00012513,0.0011955,0.0796572,0.0804,0.574128,8.70375E-05,-0.0119205,-0.00811325,0.28145,5.65344E-05,-4.73994E-07,-2.45244E-05,4.28244E-05,-7.82063E-06,7.47188E-05
0.001391,0.67207,0.67,4.7844,-0.04788,-0.033534,1.1265,0.00095977,7.18E-06,-0.00033823,0.00066954,-0.00011666,0.0011527,0.0806484,0.0804,0.574128,8.69375E-05,-0.01197,-0.0083835,0.281625,5.99856E-05,4.48756E-07,-2.11394E-05,4.18463E-05,-7.29125E-06,7.20438E-05
0.0013939,0.68032,0.67,4.7844,-0.048084,-0.034526,1.1271,0.0010007,9.17E-06,-0.0002168,0.0006589,-0.00012099,0.0011282,0.0816384,0.0804,0.574128,8.71188E-05,-0.012021,-0.0086315,0.281775,6.25438E-05,5.72863E-07,-0.00001355,4.11813E-05,-7.56188E-06,7.05125E-05
0.0014213,0.68858,0.67,4.7844,-0.048288,-0.035141,1.1271,0.0010211,-3.45E-06,-7.24E-05,0.00065038,-0.00013355,0.0011712,0.0826296,0.0804,0.574128,8.88313E-05,-0.012072,-0.00878525,0.281775,6.38188E-05,-2.15625E-07,-4.52794E-06,4.06488E-05,-8.34688E-06,0.0000732
0.0014887,0.69683,0.67,4.7844,-0.048469,-0.035291,1.126,0.0010272,-2.65E-05,6.91E-05,0.00064023,-0.00013276,0.00131,0.0836196,0.0804,0.574128,9.30438E-05,-0.01211725,-0.00882275,0.2815,0.0000642,-1.65475E-06,0.000004316,4.00144E-05,-8.2975E-06,0.000081875
0.001588,0.70509,0.67,4.7844,-0.048614,-0.03495,1.1236,0.0010245,-4.68E-05,0.00018085,0.0006331,-0.00010903,0.0015184,0.0846108,0.0804,0.574128,0.00009925,-0.0121535,-0.0087375,0.2809,6.40313E-05,-2.92425E-06,1.13031E-05,3.95688E-05,-6.81438E-06,0.0000949
0.0017045,0.71335,0.67,4.7844,-0.048742,-0.034195,1.1203,0.0010253,-5.22E-05,0.00026648,0.00063258,-6.77E-05,0.0017511,0.085602,0.0804,0.574128,0.000106531,-0.0121855,-0.00854875,0.280075,6.40813E-05,-3.26488E-06,0.000016655,3.95363E-05,-4.2295E-06,0.000109444
0.0017906,0.7216,0.67,4.7844,-0.048935,-0.033332,1.1165,0.0010399,-4.05E-05,0.00034012,0.00064369,-1.62E-05,0.0018976,0.086592,0.0804,0.574128,0.000111913,-0.01223375,-0.008333,0.279125,6.49938E-05,-2.53113E-06,2.12575E-05,4.02306E-05,-1.01344E-06,0.0001186
0.0018496,0.72986,0.67,4.7844,-0.049101,-0.032587,1.1123,0.0010563,-2.21E-05,0.00042411,0.00066287,4.40E-05,0.00198,0.0875832,0.0804,0.574128,0.0001156,-0.01227525,-0.00814675,0.278075,6.60188E-05,-1.38425E-06,2.65069E-05,4.14294E-05,2.74806E-06,0.00012375
0.0019161,0.73811,0.67,4.7844,-0.049002,-0.031878,1.1077,0.0010707,-9.48E-06,0.00051101,0.00067714,0.000104,0.0020844,0.0885732,0.0804,0.574128,0.000119756,-0.0122505,-0.0079695,0.276925,6.69188E-05,-5.92431E-07,3.19381E-05,4.23213E-05,0.0000065,0.000130275
0.0019766,0.74637,0.67,4.7844,-0.048546,-0.030883,1.1035,0.001096,-1.46E-05,0.00059941,0.00067866,0.00014152,0.0021786,0.0895644,0.0804,0.574128,0.000123538,-0.0121365,-0.00772075,0.275875,0.0000685,-9.09438E-07,3.74631E-05,4.24163E-05,0.000008845,0.000136163
0.0020383,0.75463,0.67,4.7844,-0.047886,-0.029801,1.0995,0.0011309,-4.38E-05,0.00070103,0.00067247,0.00014285,0.0022733,0.0905556,0.0804,0.574128,0.000127394,-0.0119715,-0.00745025,0.274875,7.06813E-05,-2.73875E-06,4.38144E-05,4.20294E-05,8.92813E-06,0.000142081
0.0021229,0.76288,0.67,4.7844,-0.047309,-0.028696,1.0959,0.0011615,-8.01E-05,0.00080601,0.000674,0.00011398,0.0024102,0.0915456,0.0804,0.574128,0.000132681,-0.01182725,-0.007174,0.273975,7.25938E-05,-5.00794E-06,5.03756E-05,0.000042125,7.12375E-06,0.000150638
0.0022294,0.77114,0.67,4.7844,-0.046691,-0.027695,1.0922,0.001185,-0.00010336,0.00088764,0.00069774,5.93E-05,0.0025759,0.0925368,0.0804,0.574128,0.000139338,-0.01167275,-0.00692375,0.27305,7.40625E-05,-0.00000646,5.54775E-05,4.36088E-05,3.70763E-06,0.000160994
0.002327,0.7794,0.67,4.7844,-0.045817,-0.027149,1.089,0.00121,-0.00012213,0.00092973,0.00074111,-2.96E-05,0.0027029,0.093528,0.0804,0.574128,0.000145438,-0.01145425,-0.00678725,0.27225,0.000075625,-7.63313E-06,5.81081E-05,4.63194E-05,-1.84881E-06,0.000168931
0.0023971,0.78765,0.67,4.7844,-0.044654,-0.026644,1.0866,0.0012387,-0.00013872,0.00092722,0.00078881,-0.0001507,0.0027668,0.094518,0.0804,0.574128,0.000149819,-0.0111635,-0.006661,0.27165,7.74188E-05,-0.00000867,5.79513E-05,4.93006E-05,-9.41875E-06,0.000172925
0.0024267,0.79591,0.67,4.7844,-0.043087,-0.025817,1.084,0.0012827,-0.00015198,0.0008559,0.00083549,-0.00028752,0.0027352,0.0955092,0.0804,0.574128,0.000151669,-0.01077175,-0.00645425,0.271,8.01688E-05,-9.49875E-06,5.34938E-05,5.22181E-05,-0.00001797,0.00017095
