K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.006511,2.3999,0.67,9.7636,0.0086232,-0.0080407,0.98737,0.0027618,-2.68E-05,0.00082305,0.003241,-0.00066992,0.0070193,0.287988,0.0804,1.171632,0.000406938,0.0021558,-0.002010175,0.2468425,0.000172613,-1.67581E-06,5.14406E-05,0.000202563,-0.00004187,0.000438706
0.00607,2.4338,0.67,9.7636,0.0052956,-0.0017898,0.94264,0.0019695,-8.81E-05,0.00082991,0.0035128,-0.00045906,0.0066577,0.292056,0.0804,1.171632,0.000379375,0.0013239,-0.00044745,0.23566,0.000123094,-5.50519E-06,5.18694E-05,0.00021955,-2.86913E-05,0.000416106
0.0042337,2.4691,0.67,9.7636,0.0022264,0.0005103,0.81975,0.00072729,-9.27E-05,0.00039456,0.0027318,-0.00013884,0.0050082,0.296292,0.0804,1.171632,0.000264606,0.0005566,0.000127575,0.2049375,4.54556E-05,-5.79388E-06,0.00002466,0.000170738,-8.6775E-06,0.000313013
0.0015641,2.5058,0.67,9.7636,0.0020097,0.00022431,0.36358,4.57E-05,-1.58E-05,6.91E-05,0.001061,-5.48E-05,0.0020215,0.300696,0.0804,1.171632,9.77563E-05,0.000502425,5.60775E-05,0.090895,2.85844E-06,-9.8975E-07,4.31988E-06,6.63125E-05,-3.42731E-06,0.000126344
8.09E-08,2.544,0.67,9.7636,0.0015569,3.47E-13,7.35E-17,1.62E-07,3.61E-17,-2.41E-21,8.07E-27,-5.43E-31,4.82E-34,0.30528,0.0804,1.171632,5.05494E-09,0.000389225,8.67025E-14,1.8376E-17,1.011E-08,2.25825E-18,-1.50544E-22,5.04438E-28,-3.39331E-32,3.01475E-35
0,2.5837,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.310044,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.315,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0.0065243,2.3999,0.67,9.7791,0.0086575,-0.0079041,0.98734,0.0027776,-1.12E-05,0.00082103,0.0032463,-0.00066034,0.0070248,0.287988,0.0804,1.173492,0.000407769,0.002164375,-0.001976025,0.246835,0.0001736,-6.98063E-07,5.13144E-05,0.000202894,-4.12713E-05,0.00043905
0.0060731,2.4338,0.67,9.7791,0.0053071,-0.0017829,0.94281,0.0019771,-7.92E-05,0.00083006,0.0035091,-0.00046137,0.0066599,0.292056,0.0804,1.173492,0.000379569,0.001326775,-0.000445725,0.2357025,0.000123569,-4.94856E-06,5.18788E-05,0.000219319,-2.88356E-05,0.000416244
0.0042427,2.4691,0.67,9.7791,0.0022259,0.00050018,0.81989,0.00072927,-8.75E-05,0.00039945,0.0027274,-0.00014867,0.0050287,0.296292,0.0804,1.173492,0.000265169,0.000556475,0.000125045,0.2049725,4.55794E-05,-5.47163E-06,2.49656E-05,0.000170463,-9.29188E-06,0.000314294
