K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0033406,0.16379,0.67,9.7636,-0.0028842,0.019261,1.0901,0.0011781,0.0001025,-0.00057779,0.0011953,-0.0003206,0.0043077,0.0196548,0.0804,1.171632,0.000208788,-0.00072105,0.00481525,0.272525,7.36313E-05,6.40625E-06,-3.61119E-05,7.47063E-05,-2.00375E-05,0.000269231
0.0030985,0.19372,0.67,9.7636,-0.0043556,0.014666,1.0975,0.001295,0.00018129,-0.00055112,0.0010198,-0.00039822,0.0038821,0.0232464,0.0804,1.171632,0.000193656,-0.0010889,0.0036665,0.274375,8.09375E-05,1.13306E-05,-0.000034445,6.37375E-05,-2.48888E-05,0.000242631
0.0028318,0.22242,0.67,9.7636,-0.0065474,0.013534,1.113,0.0014253,0.0002542,-0.00059113,0.00088054,-0.00044872,0.0033578,0.0266904,0.0804,1.171632,0.000176988,-0.00163685,0.0033835,0.27825,8.90813E-05,1.58875E-05,-3.69456E-05,5.50338E-05,-0.000028045,0.000209863
0.0027849,0.24993,0.67,9.7636,-0.0098268,0.013943,1.1184,0.0016284,0.00030154,-0.00067299,0.00084808,-0.00047823,0.0030932,0.0299916,0.0804,1.171632,0.000174056,-0.0024567,0.00348575,0.2796,0.000101775,1.88463E-05,-4.20619E-05,0.000053005,-2.98894E-05,0.000193325
0.0027611,0.27629,0.67,9.7636,-0.01384,0.012729,1.1279,0.0019339,0.00036234,-0.00067883,0.00092531,-0.00038997,0.0026629,0.0331548,0.0804,1.171632,0.000172569,-0.00346,0.00318225,0.281975,0.000120869,2.26463E-05,-4.24269E-05,5.78319E-05,-2.43731E-05,0.000166431
0.0029905,0.30154,0.67,9.7636,-0.018584,0.010946,1.135,0.002302,0.00048632,-0.00068712,0.0011746,-0.00032165,0.0025044,0.0361848,0.0804,1.171632,0.000186906,-0.004646,0.0027365,0.28375,0.000143875,0.000030395,-0.000042945,7.34125E-05,-2.01031E-05,0.000156525
0.0033841,0.32572,0.67,9.7636,-0.024299,0.0060657,1.1394,0.0027954,0.00064586,-0.0005448,0.001412,-0.00034206,0.0025608,0.0390864,0.0804,1.171632,0.000211506,-0.00607475,0.001516425,0.28485,0.000174713,4.03663E-05,-0.00003405,0.00008825,-2.13788E-05,0.00016005
0.0037363,0.34887,0.67,9.7636,-0.030303,-0.00022712,1.1488,0.003431,0.00074204,-0.00011676,0.001463,-0.00017796,0.0025786,0.0418644,0.0804,1.171632,0.000233519,-0.00757575,-0.00005678,0.2872,0.000214438,4.63775E-05,-7.2975E-06,9.14375E-05,-1.11225E-05,0.000161163
0.004255,0.37102,0.67,9.7636,-0.03573,-0.0080659,1.1487,0.0040301,0.00082824,0.00036129,0.0016632,-4.26E-05,0.0028167,0.0445224,0.0804,1.171632,0.000265938,-0.0089325,-0.002016475,0.287175,0.000251881,0.000051765,2.25806E-05,0.00010395,-2.66088E-06,0.000176044
0.0049543,0.39221,0.67,9.7636,-0.040194,-0.016072,1.1422,0.0045449,0.00084181,0.0009031,0.0019922,-7.37E-05,0.0033715,0.0470652,0.0804,1.171632,0.000309644,-0.0100485,-0.004018,0.28555,0.000284056,5.26131E-05,5.64438E-05,0.000124513,-4.60419E-06,0.000210719
