K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
4.80E-08,-0.044001,0.67,9.7636,-9.68E-05,-2.78E-14,6.17E-19,9.60E-08,2.75E-17,-4.52E-21,7.89E-27,-1.29E-30,8.33E-34,-0.00528012,0.0804,1.171632,2.99969E-09,-2.41968E-05,-6.946E-15,1.54325E-19,5.99938E-09,1.72E-18,-2.8275E-22,4.93125E-28,-8.0775E-32,5.20375E-35
0.0014837,-0.0058053,0.67,9.7636,-0.00049023,0.010322,0.38684,2.12E-05,3.50E-06,-6.14E-05,0.00082319,-0.00019858,0.002123,-0.000696636,0.0804,1.171632,9.27313E-05,-0.000122558,0.0025805,0.09671,1.32456E-06,2.18594E-07,-3.83731E-06,5.14494E-05,-1.24113E-05,0.000132688
0.0038543,0.030909,0.67,9.7636,-0.0019378,0.02326,0.87126,0.00033667,2.08E-05,-0.00035003,0.0021171,-0.00050382,0.0052547,0.00370908,0.0804,1.171632,0.000240894,-0.00048445,0.005815,0.217815,2.10419E-05,1.29988E-06,-2.18769E-05,0.000132319,-3.14888E-05,0.000328419
0.0047665,0.066184,0.67,9.7636,-0.0041861,0.021856,1.0088,0.00082738,7.82E-05,-0.00049303,0.0025785,-0.00087358,0.0061272,0.00794208,0.0804,1.171632,0.000297906,-0.001046525,0.005464,0.2522,5.17113E-05,4.88688E-06,-3.08144E-05,0.000161156,-5.45988E-05,0.00038295
0.0045835,0.10006,0.67,9.7636,-0.0047965,0.021195,1.0502,0.0010481,5.35E-05,-0.00038335,0.0021201,-0.00076604,0.0059988,0.0120072,0.0804,1.171632,0.000286469,-0.001199125,0.00529875,0.26255,6.55063E-05,3.34625E-06,-2.39594E-05,0.000132506,-4.78775E-05,0.000374925
0,-0.125,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.173492,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.173492,0,0,0,0,0,0,0,0,0,0
7.62E-08,-0.044001,0.67,9.7791,3.41E-05,9.80E-15,2.17E-18,1.52E-07,4.37E-17,-2.92E-21,1.26E-26,-8.30E-31,8.46E-34,-0.00528012,0.0804,1.173492,4.76069E-09,0.000008514,2.44978E-15,5.4315E-19,9.52125E-09,2.73288E-18,-1.8235E-22,7.84438E-28,-5.19056E-32,5.2885E-35
0.0014867,-0.0058053,0.67,9.7791,-0.00035885,0.010324,0.3868,2.12E-05,3.06E-06,-6.10E-05,0.00082439,-0.00020162,0.0021279,-0.000696636,0.0804,1.173492,9.29188E-05,-8.97125E-05,0.002581,0.0967,1.32244E-06,1.91238E-07,-3.81181E-06,5.15244E-05,-1.26013E-05,0.000132994
0.0038612,0.030909,0.67,9.7791,-0.0019352,0.023265,0.87117,0.00033523,1.82E-05,-0.00034771,0.0021203,-0.00051155,0.0052669,0.00370908,0.0804,1.173492,0.000241325,-0.0004838,0.00581625,0.2177925,2.09519E-05,1.14013E-06,-2.17319E-05,0.000132519,-3.19719E-05,0.000329181
0.0047742,0.066184,0.67,9.7791,-0.0041674,0.021861,1.0086,0.00082379,7.57E-05,-0.00049149,0.002581,-0.00087245,0.0061437,0.00794208,0.0804,1.173492,0.000298388,-0.00104185,0.00546525,0.25215,5.14869E-05,4.73213E-06,-3.07181E-05,0.000161313,-5.45281E-05,0.000383981
0.0045804,0.10006,0.67,9.7791,-0.0047557,0.021241,1.0501,0.0010455,5.12E-05,-0.00038054,0.0021196,-0.0007614,0.0059958,0.0120072,0.0804,1.173492,0.000286275,-0.001188925,0.00531025,0.262525,6.53438E-05,3.19906E-06,-2.37838E-05,0.000132475,-4.75875E-05,0.000374738
0,-0.125,0.67,9.7947,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.175364,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7947,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.175364,0,0,0,0,0,0,0,0,0,0
2.19E-07,-0.044001,0.67,9.7947,0.00047075,1.35E-13,5.48E-18,4.38E-07,1.26E-16,7.80E-21,3.61E-26,2.25E-30,6.75E-34,-0.00528012,0.0804,1.175364,1.36856E-08,0.000117688,3.3785E-14,1.36985E-18,2.73719E-08,7.86125E-18,4.87325E-22,2.25775E-27,1.40494E-31,4.217E-35
0.0014906,-0.0058053,0.67,9.7947,7.88E-05,0.010328,0.38676,2.15E-05,3.14E-06,-6.06E-05,0.00082662,-0.0002035,0.0021331,-0.000696636,0.0804,1.175364,9.31625E-05,1.97015E-05,0.002582,0.09669,1.34269E-06,1.96013E-07,-3.78788E-06,5.16638E-05,-1.27188E-05,0.000133319
0.0038708,0.030909,0.67,9.7947,-0.0019305,0.023274,0.87108,0.00033585,1.87E-05,-0.00034553,0.0021261,-0.00051631,0.0052797,0.00370908,0.0804,1.175364,0.000241925,-0.000482625,0.0058185,0.21777,2.09906E-05,1.16794E-06,-2.15956E-05,0.000132881,-3.22694E-05,0.000329981
0.0047819,0.066184,0.67,9.7947,-0.0041516,0.021871,1.0084,0.00082548,7.52E-05,-0.00048799,0.0025778,-0.00086816,0.0061606,0.00794208,0.0804,1.175364,0.000298869,-0.0010379,0.00546775,0.2521,5.15925E-05,4.70131E-06,-3.04994E-05,0.000161113,-0.00005426,0.000385038
0.0045776,0.10006,0.67,9.7947,-0.0047215,0.021285,1.0501,0.0010507,4.78E-05,-0.00037612,0.0021123,-0.00075271,0.0059922,0.0120072,0.0804,1.175364,0.0002861,-0.001180375,0.00532125,0.262525,6.56688E-05,2.98888E-06,-2.35075E-05,0.000132019,-4.70444E-05,0.000374513
0,-0.125,0.67,9.8103,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.177236,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.8103,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.177236,0,0,0,0,0,0,0,0,0,0
5.91E-07,-0.044001,0.67,9.8103,0.00068054,1.95E-13,-1.95E-17,1.18E-06,3.39E-16,-5.19E-20,9.74E-26,-1.49E-29,5.07E-33,-0.00528012,0.0804,1.177236,3.69288E-08,0.000170135,4.8845E-14,-4.8825E-18,7.38563E-08,2.12056E-17,-3.24588E-21,6.0885E-27,-9.3075E-31,3.1715E-34
0.0014938,-0.0058053,0.67,9.8103,0.0002886,0.010334,0.38672,2.20E-05,2.99E-06,-5.95E-05,0.00082722,-0.00020548,0.0021384,-0.000696636,0.0804,1.177236,9.33625E-05,0.00007215,0.0025835,0.09668,1.37369E-06,1.86656E-07,-3.72013E-06,5.17013E-05,-1.28425E-05,0.00013365
0.0038763,0.030909,0.67,9.8103,-0.0019305,0.023288,0.87098,0.00033189,1.78E-05,-0.00033936,0.0021277,-0.00052135,0.005293,0.00370908,0.0804,1.177236,0.000242269,-0.000482625,0.005822,0.217745,2.07431E-05,1.11281E-06,-0.00002121,0.000132981,-3.25844E-05,0.000330813
0.0047884,0.066184,0.67,9.8103,-0.0041348,0.021892,1.0082,0.00081933,7.31E-05,-0.00048403,0.0025764,-0.00086646,0.006181,0.00794208,0.0804,1.177236,0.000299275,-0.0010337,0.005473,0.25205,5.12081E-05,4.56669E-06,-3.02519E-05,0.000161025,-5.41538E-05,0.000386313
0.0045763,0.10006,0.67,9.8103,-0.0046851,0.021334,1.0501,0.0010488,4.20E-05,-0.00037609,0.0021127,-0.00074975,0.0059912,0.0120072,0.0804,1.177236,0.000286019,-0.001171275,0.0053335,0.262525,0.00006555,2.62519E-06,-2.35056E-05,0.000132044,-4.68594E-05,0.00037445
0,-0.125,0.67,9.8259,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.179108,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.8259,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.179108,0,0,0,0,0,0,0,0,0,0
