K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0043079,2.3674,0.67,6.7583,0.02295,-0.013776,1.0311,0.0012613,-0.00015778,0.00059025,0.0025925,0.0001813,0.004762,0.284088,0.0804,0.810996,0.000269244,0.0057375,-0.003444,0.257775,7.88313E-05,-9.86125E-06,3.68906E-05,0.000162031,1.13313E-05,0.000297625
0.0040729,2.3999,0.67,6.7583,0.015373,-0.0019518,1.0035,0.0012202,-0.00024741,0.00041153,0.0029214,5.88E-05,0.0040041,0.287988,0.0804,0.810996,0.000254556,0.00384325,-0.00048795,0.250875,7.62625E-05,-1.54631E-05,2.57206E-05,0.000182588,3.67219E-06,0.000250256
0.0040932,2.4338,0.67,6.7583,0.0089521,0.012275,0.97068,0.00094748,-0.0002258,0.00055356,0.0029286,0.00012575,0.0043102,0.292056,0.0804,0.810996,0.000255825,0.002238025,0.00306875,0.24267,5.92175E-05,-1.41125E-05,3.45975E-05,0.000183038,7.85938E-06,0.000269388
0.0034406,2.4691,0.67,6.7583,0.004052,0.01841,0.85147,0.00038705,-9.99E-05,0.00037792,0.0025815,0.00029415,0.0039127,0.296292,0.0804,0.810996,0.000215038,0.001013,0.0046025,0.2128675,2.41906E-05,-6.24231E-06,0.00002362,0.000161344,1.83844E-05,0.000244544
0.0013053,2.5058,0.67,6.7583,0.0012278,0.0081733,0.3779,2.46E-05,-1.71E-05,6.63E-05,0.0010047,0.00011749,0.0015812,0.300696,0.0804,0.810996,8.15813E-05,0.00030695,0.002043325,0.094475,0.000001539,-1.06656E-06,4.14281E-06,6.27938E-05,7.34313E-06,0.000098825
1.86E-07,2.544,0.67,6.7583,0.00040002,8.64E-14,-1.38E-17,3.72E-07,8.02E-17,3.66E-21,1.73E-26,7.93E-31,9.63E-34,0.30528,0.0804,0.810996,1.16144E-08,0.000100005,2.16015E-14,-3.45925E-18,2.32294E-08,5.01438E-18,2.28675E-22,1.08244E-27,4.95338E-32,6.01725E-35
0,2.5837,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0.0042968,2.3674,0.67,6.7666,0.022947,-0.013861,1.0319,0.0012568,-0.00015554,0.00058795,0.0025868,0.00017398,0.0047499,0.284088,0.0804,0.811992,0.00026855,0.00573675,-0.00346525,0.257975,0.00007855,-9.72125E-06,3.67469E-05,0.000161675,1.08738E-05,0.000296869
0.0040629,2.3999,0.67,6.7666,0.015392,-0.0020347,1.0042,0.0012198,-0.00024593,0.00041032,0.0029121,5.47E-05,0.0039938,0.287988,0.0804,0.811992,0.000253931,0.003848,-0.000508675,0.25105,7.62375E-05,-1.53706E-05,0.000025645,0.000182006,3.41788E-06,0.000249613
0.0040923,2.4338,0.67,6.7666,0.0089973,0.012171,0.9713,0.0009496,-0.00022706,0.0005549,0.0029198,0.0001295,0.0043153,0.292056,0.0804,0.811992,0.000255769,0.002249325,0.00304275,0.242825,0.00005935,-1.41913E-05,3.46813E-05,0.000182488,8.09375E-06,0.000269706
0.0034448,2.4691,0.67,6.7666,0.0040866,0.018303,0.85217,0.00038776,-9.98E-05,0.00037785,0.0025714,0.00030124,0.0039305,0.296292,0.0804,0.811992,0.0002153,0.00102165,0.00457575,0.2130425,0.000024235,-6.2345E-06,2.36156E-05,0.000160713,1.88275E-05,0.000245656
0.0013069,2.5058,0.67,6.7666,0.0014707,0.0081259,0.37822,2.45E-05,-1.70E-05,6.63E-05,0.0010008,0.0001203,0.0015885,0.300696,0.0804,0.811992,8.16813E-05,0.000367675,0.002031475,0.094555,1.53081E-06,-1.06525E-06,4.14213E-06,0.00006255,7.51875E-06,9.92813E-05
9.81E-08,2.544,0.67,6.7666,0.00063578,1.37E-13,-3.23E-17,1.96E-07,4.24E-17,-5.48E-21,9.16E-27,-1.18E-30,4.52E-34,0.30528,0.0804,0.811992,6.13244E-09,0.000158945,3.432E-14,-8.08375E-18,1.2265E-08,2.64919E-18,-3.42694E-22,5.72238E-28,-7.3875E-32,2.82631E-35
0,2.5837,0.67,6.7666,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7666,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0.0042886,2.3674,0.67,6.775,0.022941,-0.013947,1.0327,0.0012532,-0.0001544,0.00058223,0.0025875,0.00016941,0.0047364,0.284088,0.0804,0.813,0.000268038,0.00573525,-0.00348675,0.258175,0.000078325,-0.00000965,3.63894E-05,0.000161719,1.05881E-05,0.000296025
0.0040618,2.3999,0.67,6.775,0.015408,-0.0021218,1.0049,0.0012239,-0.00024875,0.00040938,0.0029142,5.12E-05,0.0039854,0.287988,0.0804,0.813,0.000253863,0.003852,-0.00053045,0.251225,7.64938E-05,-1.55469E-05,2.55863E-05,0.000182138,0.000003197,0.000249088
0.0041018,2.4338,0.67,6.775,0.0090317,0.012061,0.9719,0.00095898,-0.00022731,0.00055725,0.0029222,0.00013186,0.0043224,0.292056,0.0804,0.813,0.000256363,0.002257925,0.00301525,0.242975,5.99363E-05,-1.42069E-05,3.48281E-05,0.000182638,8.24125E-06,0.00027015
0.0034554,2.4691,0.67,6.775,0.004111,0.018191,0.85286,0.00039203,-9.82E-05,0.00038016,0.0025696,0.00030784,0.0039492,0.296292,0.0804,0.813,0.000215963,0.00102775,0.00454775,0.213215,2.45019E-05,-6.13463E-06,0.00002376,0.0001606,0.00001924,0.000246825
0.0013104,2.5058,0.67,6.775,0.0012081,0.0080762,0.37853,2.46E-05,-1.68E-05,6.67E-05,0.0010002,0.00012292,0.0015961,0.300696,0.0804,0.813,0.0000819,0.000302025,0.00201905,0.0946325,1.53975E-06,-1.04806E-06,4.16769E-06,6.25125E-05,7.6825E-06,9.97563E-05
3.62E-08,2.544,0.67,6.775,0.00036818,7.95E-14,-2.05E-17,7.24E-08,1.56E-17,-1.04E-21,3.37E-27,-2.24E-31,6.40E-35,0.30528,0.0804,0.813,2.26275E-09,0.000092045,1.9867E-14,-5.1335E-18,4.52544E-09,9.77E-19,-6.50438E-23,2.10931E-28,-1.40138E-32,3.99794E-36
0,2.5837,0.67,6.775,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.775,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0.0042709,2.3674,0.67,6.7833,0.02293,-0.014026,1.0335,0.0012419,-0.00015298,0.00057436,0.0025778,0.00016233,0.0047221,0.284088,0.0804,0.813996,0.000266931,0.0057325,-0.0035065,0.258375,7.76188E-05,-9.56125E-06,3.58975E-05,0.000161113,1.01456E-05,0.000295131
0.0040521,2.3999,0.67,6.7833,0.015418,-0.002207,1.0056,0.0012211,-0.00024898,0.00040766,0.0029062,4.79E-05,0.0039769,0.287988,0.0804,0.813996,0.000253256,0.0038545,-0.00055175,0.2514,7.63188E-05,-1.55613E-05,2.54788E-05,0.000181638,2.99175E-06,0.000248556
0.0041048,2.4338,0.67,6.7833,0.0090595,0.011949,0.9725,0.00096356,-0.00022334,0.00055839,0.0029165,0.00013578,0.0043295,0.292056,0.0804,0.813996,0.00025655,0.002264875,0.00298725,0.243125,6.02225E-05,-1.39588E-05,3.48994E-05,0.000182281,8.48625E-06,0.000270594
0.0034622,2.4691,0.67,6.7833,0.0041315,0.018077,0.85355,0.00039361,-9.37E-05,0.00038232,0.0025621,0.0003145,0.0039687,0.296292,0.0804,0.813996,0.000216388,0.001032875,0.00451925,0.2133875,2.46006E-05,-5.85325E-06,0.000023895,0.000160131,1.96563E-05,0.000248044
0.001313,2.5058,0.67,6.7833,0.0012427,0.0080259,0.37884,2.48E-05,-1.60E-05,6.71E-05,0.00099725,0.00012557,0.001604,0.300696,0.0804,0.813996,8.20625E-05,0.000310675,0.002006475,0.09471,1.54744E-06,-9.99938E-07,4.19138E-06,6.23281E-05,7.84813E-06,0.00010025
4.78E-08,2.544,0.67,6.7833,0.00039856,8.60E-14,-1.15E-17,9.57E-08,2.07E-17,-7.40E-22,4.47E-27,-1.59E-31,4.09E-35,0.30528,0.0804,0.813996,2.98994E-09,0.00009964,2.1488E-14,-2.8735E-18,5.97994E-09,1.292E-18,-4.62525E-23,2.79138E-28,-9.96625E-33,2.55338E-36
0,2.5837,0.67,6.7833,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7833,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0.0042608,2.3674,0.67,6.7916,0.022912,-0.01411,1.0343,0.0012338,-0.00015089,0.0005695,0.0025797,0.00015766,0.0047081,0.284088,0.0804,0.814992,0.0002663,0.005728,-0.0035275,0.258575,7.71125E-05,-9.43063E-06,3.55938E-05,0.000161231,9.85375E-06,0.000294256
