K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0027986,0.19372,0.67,6.7583,-0.0082655,0.0064725,1.0999,0.00066174,7.88E-05,-0.00049994,0.001014,-0.00041379,0.0039215,0.0232464,0.0804,0.810996,0.000174913,-0.002066375,0.001618125,0.274975,4.13588E-05,4.92213E-06,-3.12463E-05,0.000063375,-2.58619E-05,0.000245094
0.0024294,0.22242,0.67,6.7583,-0.015265,0.013487,1.1057,0.0005534,0.00015219,-0.00041152,0.00085845,-0.00055446,0.0034469,0.0266904,0.0804,0.810996,0.000151838,-0.00381625,0.00337175,0.276425,3.45875E-05,9.51188E-06,-0.00002572,5.36531E-05,-3.46538E-05,0.000215431
0.0021631,0.24993,0.67,6.7583,-0.021293,0.020402,1.1344,0.00049403,0.00012864,-0.00045532,0.00085375,-0.00070738,0.0029784,0.0299916,0.0804,0.810996,0.000135194,-0.00532325,0.0051005,0.2836,3.08769E-05,0.00000804,-2.84575E-05,5.33594E-05,-4.42113E-05,0.00018615
0.0015673,0.27629,0.67,6.7583,-0.028575,0.016778,1.151,0.00047921,0.00013402,-0.00012791,0.00075488,-0.00054695,0.0019005,0.0331548,0.0804,0.810996,9.79563E-05,-0.00714375,0.0041945,0.28775,2.99506E-05,8.37625E-06,-7.99438E-06,0.00004718,-3.41844E-05,0.000118781
0.0013462,0.30154,0.67,6.7583,-0.036453,0.01365,1.1503,0.00052769,0.00020021,7.59E-05,0.00058582,-0.00017163,0.0015788,0.0361848,0.0804,0.810996,8.41375E-05,-0.00911325,0.0034125,0.287575,3.29806E-05,1.25131E-05,4.74331E-06,3.66138E-05,-1.07269E-05,0.000098675
0.0011996,0.32572,0.67,6.7583,-0.042311,0.013827,1.1464,0.00062663,0.00031504,0.00015736,0.00071274,-3.93E-05,0.0010599,0.0390864,0.0804,0.810996,0.000074975,-0.01057775,0.00345675,0.2866,3.91644E-05,0.00001969,0.000009835,4.45463E-05,-2.45619E-06,6.62438E-05
0.001279,0.34887,0.67,6.7583,-0.046411,0.010033,1.1476,0.000719,0.00037927,-6.70E-06,0.00082317,-0.00017731,0.0010158,0.0418644,0.0804,0.810996,7.99375E-05,-0.01160275,0.00250825,0.2869,4.49375E-05,2.37044E-05,-4.18619E-07,5.14481E-05,-1.10819E-05,6.34875E-05
0.0012602,0.37102,0.67,6.7583,-0.050862,0.0033642,1.1575,0.00073392,0.00034828,-3.92E-05,0.00081404,-0.00021325,0.00097251,0.0445224,0.0804,0.810996,7.87625E-05,-0.0127155,0.00084105,0.289375,0.00004587,2.17675E-05,-0.000002447,5.08775E-05,-1.33281E-05,6.07819E-05
0.0011469,0.39221,0.67,6.7583,-0.056049,-0.0019268,1.1571,0.00071304,0.00032258,-1.13E-05,0.00095278,-1.98E-05,0.00062802,0.0470652,0.0804,0.810996,7.16813E-05,-0.01401225,-0.0004817,0.289275,0.000044565,2.01613E-05,-7.04375E-07,5.95488E-05,-1.23706E-06,3.92513E-05
0.0014289,0.41248,0.67,6.7583,-0.062058,-0.0065709,1.1652,0.00077232,0.000336,-0.0001585,0.0013209,0.00013834,0.00076462,0.0494976,0.0804,0.810996,8.93063E-05,-0.0155145,-0.001642725,0.2913,0.00004827,0.000021,-9.90625E-06,8.25563E-05,8.64625E-06,4.77888E-05
0.0018369,0.43187,0.67,6.7583,-0.06923,-0.0098698,1.1783,0.00092102,0.00040402,-0.00025898,0.0016974,-3.16E-05,0.0010553,0.0518244,0.0804,0.810996,0.000114806,-0.0173075,-0.00246745,0.294575,5.75638E-05,2.52513E-05,-1.61863E-05,0.000106088,-1.97475E-06,6.59563E-05
0.0018433,0.4504,0.67,6.7583,-0.076609,-0.013969,1.1837,0.0010753,0.00039679,-0.00029421,0.001633,-9.84E-05,0.0009782,0.054048,0.0804,0.810996,0.000115206,-0.01915225,-0.00349225,0.295925,6.72063E-05,2.47994E-05,-1.83881E-05,0.000102063,-6.1525E-06,6.11375E-05
0.0016043,0.46812,0.67,6.7583,-0.082773,-0.020862,1.186,0.0012008,0.00027388,-0.0001624,0.001329,4.39E-05,0.00067867,0.0561744,0.0804,0.810996,0.000100269,-0.02069325,-0.0052155,0.2965,0.00007505,1.71175E-05,-0.00001015,8.30625E-05,2.74381E-06,4.24169E-05
0.0015499,0.48504,0.67,6.7583,-0.087118,-0.026954,1.1853,0.001313,0.00018543,-3.22E-05,0.0011537,6.41E-05,0.00063312,0.0582048,0.0804,0.810996,9.68688E-05,-0.0217795,-0.0067385,0.296325,8.20625E-05,1.15894E-05,-2.01031E-06,7.21063E-05,4.00788E-06,0.00003957
0.0015718,0.50122,0.67,6.7583,-0.090599,-0.031812,1.1862,0.0013961,0.00010644,4.31E-05,0.0010991,0.00013455,0.00064844,0.0601464,0.0804,0.810996,9.82375E-05,-0.02264975,-0.007953,0.29655,8.72563E-05,6.6525E-06,2.69081E-06,6.86938E-05,8.40938E-06,4.05275E-05
0.0015813,0.51667,0.67,6.7583,-0.094254,-0.03587,1.1867,0.0014124,1.14E-05,0.00014276,0.0010909,0.00013812,0.00065931,0.0620004,0.0804,0.810996,9.88313E-05,-0.0235635,-0.0089675,0.296675,0.000088275,7.11438E-07,8.9225E-06,6.81813E-05,8.6325E-06,4.12069E-05
0.0016257,0.53142,0.67,6.7583,-0.098298,-0.039274,1.1904,0.0013739,-5.73E-05,0.00022437,0.0010005,0.00023366,0.00087713,0.0637704,0.0804,0.810996,0.000101606,-0.0245745,-0.0098185,0.2976,8.58688E-05,-3.58256E-06,1.40231E-05,6.25313E-05,1.46038E-05,5.48206E-05
0.0016175,0.54551,0.67,6.7583,-0.10259,-0.040853,1.1934,0.0013157,-8.89E-05,0.00031759,0.0009526,0.00030081,0.00096675,0.0654612,0.0804,0.810996,0.000101094,-0.0256475,-0.01021325,0.29835,8.22313E-05,-5.55594E-06,1.98494E-05,5.95375E-05,1.88006E-05,6.04219E-05
0.0015776,0.55896,0.67,6.7583,-0.1067,-0.041174,1.1909,0.0012718,-0.00011434,0.00032663,0.00099899,0.00020628,0.00088446,0.0670752,0.0804,0.810996,0.0000986,-0.026675,-0.0102935,0.297725,7.94875E-05,-7.14625E-06,2.04144E-05,6.24369E-05,1.28925E-05,5.52788E-05
0.0017669,0.5718,0.67,6.7583,-0.11049,-0.040985,1.1887,0.0012813,-7.76E-05,0.00042476,0.0011236,7.65E-05,0.0011289,0.068616,0.0804,0.810996,0.000110431,-0.0276225,-0.01024625,0.297175,8.00813E-05,-4.85138E-06,2.65475E-05,0.000070225,4.78138E-06,7.05563E-05
0.002125,0.58405,0.67,6.7583,-0.11436,-0.039969,1.1862,0.0013405,2.24E-05,0.00054847,0.0013527,-1.55E-05,0.0015567,0.070086,0.0804,0.810996,0.000132813,-0.02859,-0.00999225,0.29655,8.37813E-05,0.000001401,3.42794E-05,8.45438E-05,-9.70875E-07,9.72938E-05
0.0025795,0.59575,0.67,6.7583,-0.11847,-0.039412,1.1815,0.0014283,0.00010154,0.0006048,0.0016356,-7.42E-05,0.002095,0.07149,0.0804,0.810996,0.000161219,-0.0296175,-0.009853,0.295375,8.92688E-05,6.34625E-06,0.0000378,0.000102225,-4.63719E-06,0.000130938
0.0031788,0.6069,0.67,6.7583,-0.12244,-0.038734,1.1755,0.0015388,0.00016172,0.0007414,0.0019549,-0.00016348,0.0028638,0.072828,0.0804,0.810996,0.000198675,-0.03061,-0.0096835,0.293875,0.000096175,1.01075E-05,4.63375E-05,0.000122181,-1.02175E-05,0.000178988
0.0043152,0.61755,0.67,6.7583,-0.1255,-0.038076,1.1649,0.0016426,0.00017981,0.0011751,0.0022409,-0.00017751,0.0047469,0.074106,0.0804,0.810996,0.0002697,-0.031375,-0.009519,0.291225,0.000102663,1.12381E-05,7.34438E-05,0.000140056,-1.10944E-05,0.000296681
0.0063371,0.6277,0.67,6.7583,-0.12694,-0.037191,1.1439,0.001755,0.00014478,0.0020006,0.0024383,-1.27E-05,0.008481,0.075324,0.0804,0.810996,0.000396069,-0.031735,-0.00929775,0.285975,0.000109688,9.04875E-06,0.000125038,0.000152394,-7.93813E-07,0.000530063
0.0090185,0.63738,0.67,6.7583,-0.127,-0.035771,1.114,0.0019987,0.00013614,0.0029459,0.0025637,1.04E-05,0.013475,0.0764856,0.0804,0.810996,0.000563656,-0.03175,-0.00894275,0.2785,0.000124919,8.50875E-06,0.000184119,0.000160231,6.51813E-07,0.000842188
0.01143,0.64661,0.67,6.7583,-0.12704,-0.034524,1.0842,0.0024905,0.00014741,0.0037593,0.0026755,-0.00025828,0.017693,0.0775932,0.0804,0.810996,0.000714375,-0.03176,-0.008631,0.27105,0.000155656,9.21313E-06,0.000234956,0.000167219,-1.61425E-05,0.001105813
0.012685,0.65542,0.67,6.7583,-0.12799,-0.033213,1.0627,0.0032358,9.04E-05,0.0040553,0.0028659,-0.00054616,0.019269,0.0786504,0.0804,0.810996,0.000792813,-0.0319975,-0.00830325,0.265675,0.000202238,5.65025E-06,0.000253456,0.000179119,-0.000034135,0.001204313
0.013362,0.66381,0.67,6.7583,-0.12971,-0.031768,1.0472,0.0041379,2.24E-05,0.0038143,0.0030049,-0.00082597,0.019582,0.0796572,0.0804,0.810996,0.000835125,-0.0324275,-0.007942,0.2618,0.000258619,1.40144E-06,0.000238394,0.000187806,-5.16231E-05,0.001223875
0.013749,0.67207,0.67,6.7583,-0.13209,-0.030122,1.0344,0.0050994,4.49E-05,0.0032817,0.0028994,-0.0011968,0.019499,0.0806484,0.0804,0.810996,0.000859313,-0.0330225,-0.0075305,0.2586,0.000318713,2.80813E-06,0.000205106,0.000181213,-0.0000748,0.001218688
0.013662,0.68032,0.67,6.7583,-0.13534,-0.029134,1.0251,0.0060386,1.05E-05,0.0024965,0.0027567,-0.0015563,0.018528,0.0816384,0.0804,0.810996,0.000853875,-0.033835,-0.0072835,0.256275,0.000377413,0.000000659,0.000156031,0.000172294,-9.72688E-05,0.001158
0.013285,0.68858,0.67,6.7583,-0.13935,-0.030698,1.0194,0.0068616,-0.00016465,0.0013953,0.0028312,-0.0014299,0.016877,0.0826296,0.0804,0.810996,0.000830313,-0.0348375,-0.0076745,0.25485,0.00042885,-1.02906E-05,8.72063E-05,0.00017695,-8.93688E-05,0.001054813
0.013094,0.69683,0.67,6.7583,-0.14393,-0.035148,1.0176,0.0074956,-0.00030035,-3.56E-05,0.0029943,-0.00091893,0.015697,0.0836196,0.0804,0.810996,0.000818375,-0.0359825,-0.008787,0.2544,0.000468475,-1.87719E-05,-0.000002228,0.000187144,-5.74331E-05,0.000981063
0.012973,0.70509,0.67,6.7583,-0.1488,-0.039794,1.0187,0.0079218,-0.00035901,-0.0015578,0.0031436,-0.00068105,0.01488,0.0846108,0.0804,0.810996,0.000810813,-0.0372,-0.0099485,0.254675,0.000495113,-2.24381E-05,-9.73625E-05,0.000196475,-4.25656E-05,0.00093
