K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
1.70E-08,-0.044001,0.67,6.7583,-0.00088337,-2.47E-13,6.68E-17,3.40E-08,9.52E-18,-2.19E-21,2.67E-27,-6.12E-31,1.51E-34,-0.00528012,0.0804,0.810996,1.06338E-09,-0.000220843,-6.17725E-14,1.66918E-17,2.12675E-09,5.95231E-19,-1.36675E-22,1.66594E-28,-3.82388E-32,9.42188E-36
0.001467,-0.0058053,0.67,6.7583,-0.0014887,0.007093,0.39333,1.44E-05,1.45E-05,-6.11E-05,0.00066868,-0.0005247,0.002251,-0.000696636,0.0804,0.810996,9.16875E-05,-0.000372175,0.00177325,0.0983325,9.0025E-07,9.04563E-07,-3.81781E-06,4.17925E-05,-3.27938E-05,0.000140688
0.0037595,0.030909,0.67,6.7583,-0.0029692,0.016,0.88561,0.00022933,8.50E-05,-0.000348,0.0017205,-0.0013279,0.0055692,0.00370908,0.0804,0.810996,0.000234969,-0.0007423,0.004,0.2214025,1.43331E-05,5.31075E-06,-0.00002175,0.000107531,-8.29938E-05,0.000348075
0.0048092,0.066184,0.67,6.7583,-0.0039908,0.014782,1.0187,0.00058074,0.00014878,-0.000622,0.0026414,-0.0015553,0.0063963,0.00794208,0.0804,0.810996,0.000300575,-0.0009977,0.0036955,0.254675,3.62963E-05,9.29875E-06,-0.000038875,0.000165088,-9.72063E-05,0.000399769
0.0043895,0.10006,0.67,6.7583,-0.0011825,0.010972,1.0609,0.00078355,0.00012982,-0.00058846,0.0027721,-0.0011028,0.0052234,0.0120072,0.0804,0.810996,0.000274344,-0.000295625,0.002743,0.265225,4.89719E-05,8.11375E-06,-3.67788E-05,0.000173256,-0.000068925,0.000326463
0.0037539,0.13258,0.67,6.7583,0.00082498,0.0099269,1.0683,0.00079965,0.00010763,-0.00052684,0.0018326,-0.00057659,0.0048755,0.0159096,0.0804,0.810996,0.000234619,0.000206245,0.002481725,0.267075,4.99781E-05,6.72688E-06,-3.29275E-05,0.000114538,-3.60369E-05,0.000304719
0,-0.125,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
1.87E-08,-0.044001,0.67,6.7666,-0.00085087,-2.38E-13,5.23E-17,3.74E-08,1.05E-17,-1.58E-21,2.93E-27,-4.43E-31,8.14E-35,-0.00528012,0.0804,0.811992,1.16981E-09,-0.000212718,-5.95E-14,1.30848E-17,2.33956E-09,6.5475E-19,-9.89563E-23,1.83225E-28,-2.76888E-32,5.08669E-36
0.0014761,-0.0058053,0.67,6.7666,-0.0014502,0.0070816,0.39339,1.44E-05,1.46E-05,-6.19E-05,0.00066678,-0.00053015,0.002271,-0.000696636,0.0804,0.811992,9.22563E-05,-0.00036255,0.0017704,0.0983475,8.98375E-07,9.1325E-07,-3.86638E-06,4.16738E-05,-3.31344E-05,0.000141938
0.0037816,0.030909,0.67,6.7666,-0.0029397,0.015975,0.88574,0.00022878,8.58E-05,-0.00035242,0.0017157,-0.0013418,0.0056187,0.00370908,0.0804,0.811992,0.00023635,-0.000734925,0.00399375,0.221435,1.42988E-05,5.36188E-06,-2.20263E-05,0.000107231,-8.38625E-05,0.000351169
0.0048258,0.066184,0.67,6.7666,-0.003937,0.01481,1.0189,0.00058011,0.00015062,-0.00063065,0.0026394,-0.0015637,0.0064321,0.00794208,0.0804,0.811992,0.000301613,-0.00098425,0.0037025,0.254725,3.62569E-05,9.41375E-06,-3.94156E-05,0.000164963,-9.77313E-05,0.000402006
0.0043865,0.10006,0.67,6.7666,-0.0011107,0.011026,1.0612,0.00078375,0.00013205,-0.00059375,0.0027714,-0.0011007,0.0052179,0.0120072,0.0804,0.811992,0.000274156,-0.000277675,0.0027565,0.2653,4.89844E-05,8.25313E-06,-3.71094E-05,0.000173213,-6.87938E-05,0.000326119
0.0037429,0.13258,0.67,6.7666,0.00090396,0.0099331,1.0688,0.00080123,0.00010907,-0.00052673,0.0018308,-0.00056996,0.0048538,0.0159096,0.0804,0.811992,0.000233931,0.00022599,0.002483275,0.2672,5.00769E-05,6.81688E-06,-3.29206E-05,0.000114425,-3.56225E-05,0.000303363
0,-0.125,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
2.12E-08,-0.044001,0.67,6.775,-0.00084529,-2.36E-13,6.13E-18,4.24E-08,1.19E-17,-9.48E-22,3.32E-27,-2.65E-31,6.26E-35,-0.00528012,0.0804,0.813,1.32413E-09,-0.000211323,-5.911E-14,1.53268E-18,2.64819E-09,7.41188E-19,-5.92581E-23,2.07463E-28,-1.65775E-32,3.90994E-36
0.0014861,-0.0058053,0.67,6.775,-0.0014382,0.0070712,0.39344,1.44E-05,1.48E-05,-6.30E-05,0.00066718,-0.00053582,0.0022907,-0.000696636,0.0804,0.813,9.28813E-05,-0.00035955,0.0017678,0.09836,9.01875E-07,9.23625E-07,-3.93775E-06,4.16988E-05,-3.34888E-05,0.000143169
0.0038069,0.030909,0.67,6.775,-0.0029087,0.015952,0.88587,0.00022961,8.68E-05,-0.00035894,0.0017167,-0.0013561,0.0056675,0.00370908,0.0804,0.813,0.000237931,-0.000727175,0.003988,0.2214675,1.43506E-05,5.42356E-06,-2.24338E-05,0.000107294,-8.47563E-05,0.000354219
0.0048473,0.066184,0.67,6.775,-0.0038821,0.014837,1.0191,0.00058214,0.00015218,-0.00064022,0.0026448,-0.001572,0.0064676,0.00794208,0.0804,0.813,0.000302956,-0.000970525,0.00370925,0.254775,3.63838E-05,9.51125E-06,-4.00138E-05,0.0001653,-0.00009825,0.000404225
0.0043895,0.10006,0.67,6.775,-0.0010418,0.011077,1.0615,0.00078653,0.00013413,-0.00059704,0.0027791,-0.0010979,0.0052134,0.0120072,0.0804,0.813,0.000274344,-0.00026045,0.00276925,0.265375,4.91581E-05,8.38313E-06,-0.000037315,0.000173694,-6.86188E-05,0.000325838
0.0037372,0.13258,0.67,6.775,0.00097894,0.0099361,1.0693,0.00080524,0.00011157,-0.00052451,0.0018361,-0.00056197,0.004833,0.0159096,0.0804,0.813,0.000233575,0.000244735,0.002484025,0.267325,5.03275E-05,6.97313E-06,-3.27819E-05,0.000114756,-3.51231E-05,0.000302063
0,-0.125,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
9.35E-09,-0.044001,0.67,6.7833,-0.0008166,-2.28E-13,-3.63E-17,1.87E-08,5.23E-18,7.04E-22,1.46E-27,1.97E-31,5.41E-35,-0.00528012,0.0804,0.813996,5.84075E-10,-0.00020415,-5.711E-14,-9.0755E-18,1.16813E-09,3.27019E-19,4.40106E-23,9.155E-29,1.22994E-32,3.3805E-36
0.0014948,-0.0058053,0.67,6.7833,-0.0014038,0.0070622,0.3935,1.44E-05,1.50E-05,-6.37E-05,0.0006652,-0.00054188,0.00231,-0.000696636,0.0804,0.813996,0.000093425,-0.00035095,0.00176555,0.098375,9.02375E-07,9.35438E-07,-3.98169E-06,0.000041575,-3.38675E-05,0.000144375
0.0038286,0.030909,0.67,6.7833,-0.0028809,0.015932,0.886,0.00023011,8.79E-05,-0.00036295,0.0017117,-0.0013715,0.0057154,0.00370908,0.0804,0.813996,0.000239288,-0.000720225,0.003983,0.2215,1.43819E-05,5.49319E-06,-2.26844E-05,0.000106981,-8.57188E-05,0.000357213
0.0048645,0.066184,0.67,6.7833,-0.0038287,0.014865,1.0193,0.00058327,0.00015436,-0.00064883,0.002642,-0.0015811,0.0065037,0.00794208,0.0804,0.813996,0.000304031,-0.000957175,0.00371625,0.254825,3.64544E-05,9.6475E-06,-4.05519E-05,0.000165125,-9.88188E-05,0.000406481
