K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.018081,2.3999,0.67,9.7636,0.0096624,0.047085,1.0413,0.011048,-0.0012584,-0.0019457,0.0085745,0.00039493,0.016539,0.287988,0.0804,1.171632,0.000652724,0.001835856,0.00894615,0.197847,0.000398833,-4.54282E-05,-7.02398E-05,0.000309539,1.4257E-05,0.000597058
0.016412,2.4338,0.67,9.7636,0.0070894,0.058186,1.0068,0.007058,-0.00078867,-0.00010648,0.0081525,0.00044006,0.017613,0.292056,0.0804,1.171632,0.000592473,0.001346986,0.01105534,0.191292,0.000254794,-2.8471E-05,-3.84393E-06,0.000294305,1.58862E-05,0.000635829
0.012113,2.4691,0.67,9.7636,0.0035336,0.058336,0.88525,0.0025011,-0.000287,0.00058845,0.0065534,9.82E-05,0.015172,0.296292,0.0804,1.171632,0.000437279,0.000671384,0.01108384,0.1681975,9.02897E-05,-1.03607E-05,2.1243E-05,0.000236578,3.54502E-06,0.000547709
0.0043862,2.5058,0.67,9.7636,-0.0003715,0.025775,0.39124,0.00015723,-4.85E-05,0.00010267,0.0025245,4.85E-05,0.0060907,0.300696,0.0804,1.171632,0.000158342,-0.000070585,0.00489725,0.0743356,5.676E-06,-1.75085E-06,3.70639E-06,9.11345E-05,1.75085E-06,0.000219874
2.59E-07,2.544,0.67,9.7636,-0.0010963,-2.44E-13,-3.80E-17,5.17E-07,1.15E-16,1.98E-20,2.56E-26,4.38E-30,2.19E-33,0.30528,0.0804,1.171632,9.3499E-09,-0.000208297,-4.636E-14,-7.22E-18,1.86637E-08,4.1515E-18,7.1478E-22,9.2416E-28,1.58118E-31,7.9059E-35
0,2.5837,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.310044,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.315,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0.018232,2.3999,0.67,9.7791,0.0097984,0.047105,1.0398,0.011161,-0.0012824,-0.001935,0.0086983,0.00042086,0.016603,0.287988,0.0804,1.173492,0.000658175,0.001861696,0.00894995,0.197562,0.000402912,-4.62946E-05,-6.98535E-05,0.000314009,1.5193E-05,0.000599368
0.016558,2.4338,0.67,9.7791,0.0072607,0.058079,1.0056,0.007184,-0.00083247,-0.00010536,0.0082399,0.00044772,0.017693,0.292056,0.0804,1.173492,0.000597744,0.001379533,0.01103501,0.191064,0.000259342,-3.00522E-05,-3.8035E-06,0.00029746,1.61627E-05,0.000638717
0.012208,2.4691,0.67,9.7791,0.0035957,0.058302,0.88421,0.0025458,-0.00029311,0.00059274,0.0066013,9.93E-05,0.015269,0.296292,0.0804,1.173492,0.000440709,0.000683183,0.01107738,0.1679999,9.19034E-05,-1.05813E-05,2.13979E-05,0.000238307,3.58473E-06,0.000551211
