K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
1.55E-07,-0.044001,0.67,9.7636,-0.0017915,-5.14E-13,1.63E-17,3.10E-07,8.88E-17,-3.12E-23,2.55E-26,6.61E-34,1.60E-33,-0.00528012,0.0804,1.171632,5.5955E-09,-0.000340385,-9.766E-14,3.097E-18,1.1191E-08,3.20568E-18,-1.12632E-24,9.2055E-28,2.38621E-35,5.776E-35
0.00097231,-0.0058053,0.67,9.7636,-0.0023744,0.0042218,0.43003,2.76E-05,-1.70E-05,-4.34E-05,0.00049575,-0.00026002,0.0014213,-0.000696636,0.0804,1.171632,3.51004E-05,-0.000451136,0.000802142,0.0817057,9.9636E-07,-6.137E-07,-1.56674E-06,1.78966E-05,-9.38672E-06,5.13089E-05
0.0026242,0.030909,0.67,9.7636,-0.0028428,0.0095522,0.97151,0.0004355,-9.95E-05,-0.00024776,0.0012826,-0.00065966,0.0035303,0.00370908,0.0804,1.171632,9.47336E-05,-0.000540132,0.001814918,0.1845869,1.57216E-05,-3.59195E-06,-8.94414E-06,4.63019E-05,-2.38137E-05,0.000127444
0.0033175,0.066184,0.67,9.7636,-0.0067919,0.0061364,1.1015,0.0011703,-9.74E-05,-0.00033903,0.0017195,-0.00062915,0.0037453,0.00794208,0.0804,1.171632,0.000119762,-0.001290461,0.001165916,0.209285,4.22478E-05,-3.51614E-06,-1.2239E-05,6.2074E-05,-2.27123E-05,0.000135205
0.0039016,0.10006,0.67,9.7636,-0.010864,0.0021734,1.1308,0.0016272,-4.43E-05,-0.00021521,0.0017136,-0.00033914,0.0044624,0.0120072,0.0804,1.171632,0.000140848,-0.00206416,0.000412946,0.214852,5.87419E-05,-1.59923E-06,-7.76908E-06,6.1861E-05,-1.2243E-05,0.000161093
0,-0.125,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.173492,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.173492,0,0,0,0,0,0,0,0,0,0
4.09E-07,-0.044001,0.67,9.7791,-0.0019545,-5.61E-13,2.08E-18,8.19E-07,2.35E-16,5.62E-22,6.74E-26,1.80E-31,2.31E-33,-0.00528012,0.0804,1.173492,1.47649E-08,-0.000371355,-1.0659E-13,3.952E-19,2.95659E-08,8.4835E-18,2.02882E-23,2.43314E-27,6.498E-33,8.3391E-35
0.00097815,-0.0058053,0.67,9.7791,-0.0025298,0.0042084,0.42978,2.83E-05,-1.74E-05,-4.43E-05,0.00049871,-0.00025784,0.0014293,-0.000696636,0.0804,1.173492,3.53112E-05,-0.000480662,0.000799596,0.0816582,1.02163E-06,-6.2814E-07,-1.59923E-06,1.80034E-05,-9.30802E-06,5.15977E-05
0.0026394,0.030909,0.67,9.7791,-0.0028056,0.0095218,0.97096,0.00043821,-0.00010194,-0.00025342,0.0012903,-0.00065412,0.0035503,0.00370908,0.0804,1.173492,9.52823E-05,-0.000533064,0.001809142,0.1844824,1.58194E-05,-3.68003E-06,-9.14846E-06,4.65798E-05,-2.36137E-05,0.000128166
0.0033291,0.066184,0.67,9.7791,-0.0067215,0.0061324,1.1011,0.0011759,-9.83E-05,-0.00034094,0.0017201,-0.00062192,0.0037623,0.00794208,0.0804,1.173492,0.000120181,-0.001277085,0.001165156,0.209209,4.245E-05,-3.54863E-06,-1.23079E-05,6.20956E-05,-2.24513E-05,0.000135819
0.0039006,0.10006,0.67,9.7791,-0.010791,0.0021946,1.1306,0.0016327,-4.32E-05,-0.00021344,0.0017123,-0.00033091,0.0044561,0.0120072,0.0804,1.173492,0.000140812,-0.00205029,0.000416974,0.214814,5.89405E-05,-1.55952E-06,-7.70518E-06,6.1814E-05,-1.19459E-05,0.000160865
0,-0.125,0.67,9.7947,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.175364,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7947,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.175364,0,0,0,0,0,0,0,0,0,0
7.65E-07,-0.044001,0.67,9.7947,-0.002061,-5.91E-13,-7.87E-18,1.53E-06,4.39E-16,8.69E-21,1.26E-25,2.52E-30,2.12E-33,-0.00528012,0.0804,1.175364,2.76165E-08,-0.00039159,-1.1229E-13,-1.4953E-18,5.5233E-08,1.58479E-17,3.13709E-22,4.5486E-27,9.0972E-32,7.6532E-35
0.00098444,-0.0058053,0.67,9.7947,-0.0026281,0.0041952,0.42953,2.91E-05,-1.79E-05,-4.52E-05,0.00050204,-0.00025596,0.0014378,-0.000696636,0.0804,1.175364,3.55383E-05,-0.000499339,0.000797088,0.0816107,1.05051E-06,-6.4619E-07,-1.63172E-06,1.81236E-05,-9.24016E-06,5.19046E-05
0.0026551,0.030909,0.67,9.7947,-0.0027661,0.009492,0.9704,0.0004399,-0.00010488,-0.00025825,0.001299,-0.00064936,0.0035713,0.00370908,0.0804,1.175364,9.58491E-05,-0.000525559,0.00180348,0.184376,1.58804E-05,-3.78617E-06,-9.32283E-06,4.68939E-05,-2.34419E-05,0.000128924
0.00334,0.066184,0.67,9.7947,-0.0066457,0.0061336,1.1007,0.0011796,-9.95E-05,-0.00034371,0.0017203,-0.00061572,0.00378,0.00794208,0.0804,1.175364,0.000120574,-0.001262683,0.001165384,0.209133,4.25836E-05,-3.59195E-06,-1.24079E-05,6.21028E-05,-2.22275E-05,0.000136458
0.0038962,0.10006,0.67,9.7947,-0.010709,0.0022179,1.1304,0.001637,-4.05E-05,-0.00021641,0.0017056,-0.00032362,0.0044499,0.0120072,0.0804,1.175364,0.000140653,-0.00203471,0.000421401,0.214776,5.90957E-05,-1.46205E-06,-7.8124E-06,6.15722E-05,-1.16827E-05,0.000160641
0,-0.125,0.67,9.8103,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.177236,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.8103,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.177236,0,0,0,0,0,0,0,0,0,0
8.95E-07,-0.044001,0.67,9.8103,-0.0022374,-6.42E-13,8.20E-17,1.79E-06,5.14E-16,-4.64E-20,1.48E-25,-1.33E-29,5.39E-33,-0.00528012,0.0804,1.177236,3.23095E-08,-0.000425106,-1.2198E-13,1.558E-17,6.4619E-08,1.85554E-17,-1.67504E-21,5.3428E-27,-4.8013E-31,1.94579E-34
0.00099099,-0.0058053,0.67,9.8103,-0.0027962,0.0041813,0.42928,2.94E-05,-1.82E-05,-4.63E-05,0.00050608,-0.00025393,0.0014465,-0.000696636,0.0804,1.177236,3.57747E-05,-0.000531278,0.000794447,0.0815632,1.06134E-06,-6.5702E-07,-1.67143E-06,1.82695E-05,-9.16687E-06,5.22187E-05
0.0026715,0.030909,0.67,9.8103,-0.0027256,0.0094607,0.96984,0.00044043,-0.0001065,-0.00026452,0.0013095,-0.00064421,0.0035931,0.00370908,0.0804,1.177236,9.64412E-05,-0.000517864,0.001797533,0.1842696,1.58995E-05,-3.84465E-06,-9.54917E-06,4.7273E-05,-2.3256E-05,0.000129711
0.0033504,0.066184,0.67,9.8103,-0.0065659,0.0061375,1.1003,0.0011821,-0.00010072,-0.00034913,0.0017199,-0.00060846,0.0037988,0.00794208,0.0804,1.177236,0.000120949,-0.001247521,0.001166125,0.209057,4.26738E-05,-3.63599E-06,-1.26036E-05,6.20884E-05,-2.19654E-05,0.000137137
0.0038946,0.10006,0.67,9.8103,-0.010617,0.0022461,1.1302,0.0016412,-4.00E-05,-0.00021785,0.0017034,-0.00031518,0.0044447,0.0120072,0.0804,1.177236,0.000140595,-0.00201723,0.000426759,0.214738,5.92473E-05,-0.000001444,-7.86439E-06,6.14927E-05,-1.1378E-05,0.000160454
0,-0.125,0.67,9.8259,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.179108,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.8259,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.179108,0,0,0,0,0,0,0,0,0,0
