K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.005828,2.3674,0.67,6.7583,0.061817,0.046325,1.109,0.003254,0.0009562,0.0013943,0.0024322,0.00022952,0.0059699,0.284088,0.0804,0.810996,0.000210391,0.01174523,0.00880175,0.21071,0.000117469,3.45188E-05,5.03342E-05,8.78024E-05,8.28567E-06,0.000215513
0.005014,2.3999,0.67,6.7583,0.048366,0.064093,1.0821,0.0025522,0.00079611,0.0016576,0.0027278,0.00032915,0.004748,0.287988,0.0804,0.810996,0.000181005,0.00918954,0.01217767,0.205599,9.21344E-05,2.87396E-05,5.98394E-05,9.84736E-05,1.18823E-05,0.000171403
0.004145,2.4338,0.67,6.7583,0.03144,0.079244,1.0492,0.0015951,0.00035288,0.0013001,0.0028321,0.00020947,0.0038627,0.292056,0.0804,0.810996,0.000149635,0.0059736,0.01505636,0.199348,5.75831E-05,1.2739E-05,4.69336E-05,0.000102239,7.56187E-06,0.000139443
0.0029108,2.4691,0.67,6.7583,0.014146,0.075959,0.92433,0.00058608,5.75E-05,0.00065245,0.002083,7.43E-05,0.0031525,0.296292,0.0804,0.810996,0.00010508,0.00268774,0.01443221,0.1756227,2.11575E-05,2.07575E-06,2.35534E-05,7.51963E-05,2.68223E-06,0.000113805
0.0010542,2.5058,0.67,6.7583,0.0035263,0.033593,0.40879,3.70E-05,1.00E-05,0.00011412,0.00080415,3.24E-05,0.0012673,0.300696,0.0804,0.810996,3.80566E-05,0.000669997,0.00638267,0.0776701,1.3357E-06,0.000000361,4.11973E-06,2.90298E-05,1.16964E-06,4.57495E-05
1.59E-07,2.544,0.67,6.7583,0.00062127,1.34E-13,-1.49E-18,3.18E-07,6.87E-17,-9.56E-21,1.48E-26,-2.06E-30,1.87E-33,0.30528,0.0804,0.810996,5.7399E-09,0.000118041,2.546E-14,-2.831E-19,1.14798E-08,2.48007E-18,-3.45116E-22,5.3428E-28,-7.4366E-32,6.7507E-35
0,2.5837,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0.0058253,2.3674,0.67,6.7666,0.061726,0.046114,1.11,0.0032545,0.00095473,0.0013792,0.0024296,0.0002238,0.0059665,0.284088,0.0804,0.811992,0.000210293,0.01172794,0.00876166,0.2109,0.000117487,3.44658E-05,4.97891E-05,8.77086E-05,8.07918E-06,0.000215391
0.0050139,2.3999,0.67,6.7666,0.048344,0.063952,1.0835,0.0025544,0.0007994,0.0016501,0.0027225,0.00032825,0.0047508,0.287988,0.0804,0.811992,0.000181002,0.00918536,0.01215088,0.205865,9.22138E-05,2.88583E-05,5.95686E-05,9.82823E-05,1.18498E-05,0.000171504
0.0041453,2.4338,0.67,6.7666,0.031386,0.0792,1.0507,0.0016006,0.0003567,0.0012979,0.002827,0.00021154,0.0038631,0.292056,0.0804,0.811992,0.000149645,0.00596334,0.015048,0.199633,5.77817E-05,1.28769E-05,4.68542E-05,0.000102055,7.63659E-06,0.000139458
0.0029097,2.4691,0.67,6.7666,0.014101,0.075974,0.92573,0.00058853,5.93E-05,0.00065099,0.0020838,7.56E-05,0.003147,0.296292,0.0804,0.811992,0.00010504,0.00267919,0.01443506,0.1758887,2.12459E-05,2.14073E-06,2.35007E-05,7.52252E-05,2.72916E-06,0.000113607
0.0010535,2.5058,0.67,6.7666,0.0036652,0.0336,0.40942,3.74E-05,1.03E-05,0.00011387,0.00080451,3.29E-05,0.0012651,0.300696,0.0804,0.811992,3.80314E-05,0.000696388,0.006384,0.0777898,1.35014E-06,3.7183E-07,4.11071E-06,2.90428E-05,1.18769E-06,4.56701E-05
2.65E-07,2.544,0.67,6.7666,0.00076938,1.66E-13,-3.64E-17,5.29E-07,1.14E-16,-2.93E-20,2.46E-26,-6.32E-30,1.78E-33,0.30528,0.0804,0.811992,9.5665E-09,0.000146182,3.154E-14,-6.916E-18,1.90969E-08,4.1154E-18,-1.05773E-21,8.8806E-28,-2.28152E-31,6.4258E-35
0,2.5837,0.67,6.7666,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7666,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0.0058249,2.3674,0.67,6.775,0.061633,0.045906,1.111,0.0032578,0.00095425,0.0013642,0.0024304,0.00021603,0.0059616,0.284088,0.0804,0.813,0.000210279,0.01171027,0.00872214,0.21109,0.000117607,3.44484E-05,4.92476E-05,8.77374E-05,7.79868E-06,0.000215214
0.005018,2.3999,0.67,6.775,0.048321,0.063806,1.0849,0.0025607,0.00080287,0.0016416,0.0027218,0.00032779,0.0047535,0.287988,0.0804,0.813,0.00018115,0.00918099,0.01212314,0.206131,9.24413E-05,2.89836E-05,5.92618E-05,9.8257E-05,1.18332E-05,0.000171601
0.0041474,2.4338,0.67,6.775,0.03133,0.079151,1.0523,0.0016055,0.00036004,0.0012954,0.0028253,0.0002144,0.003864,0.292056,0.0804,0.813,0.000149721,0.0059527,0.01503869,0.199937,5.79586E-05,1.29974E-05,4.67639E-05,0.000101993,7.73984E-06,0.00013949
0.0029098,2.4691,0.67,6.775,0.014054,0.075987,0.92712,0.00059152,5.99E-05,0.00064979,0.0020862,7.77E-05,0.0031418,0.296292,0.0804,0.813,0.000105044,0.00267026,0.01443753,0.1761528,2.13539E-05,2.16239E-06,2.34574E-05,7.53118E-05,2.80497E-06,0.000113419
0.0010531,2.5058,0.67,6.775,0.0038454,0.033607,0.41005,3.75E-05,1.04E-05,0.00011367,0.0008055,3.38E-05,0.0012631,0.300696,0.0804,0.813,3.80169E-05,0.000730626,0.00638533,0.0779095,1.35375E-06,3.7544E-07,4.10349E-06,2.90786E-05,1.22018E-06,4.55979E-05
2.19E-07,2.544,0.67,6.775,0.00095927,2.07E-13,-3.92E-17,4.39E-07,9.45E-17,-1.58E-20,2.04E-26,-3.40E-30,8.84E-34,0.30528,0.0804,0.813,7.9059E-09,0.000182261,3.933E-14,-7.448E-18,1.58479E-08,3.41145E-18,-5.7038E-22,7.3644E-28,-1.2274E-31,3.19124E-35
0,2.5837,0.67,6.775,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.775,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0.0058218,2.3674,0.67,6.7833,0.061537,0.045699,1.1119,0.0032593,0.00095262,0.0013468,0.0024265,0.00020997,0.0059578,0.284088,0.0804,0.813996,0.000210167,0.01169203,0.00868281,0.211261,0.000117661,3.43896E-05,4.86195E-05,8.75967E-05,7.57992E-06,0.000215077
0.0050209,2.3999,0.67,6.7833,0.048303,0.063654,1.0863,0.0025688,0.00080672,0.0016295,0.0027153,0.00032824,0.0047578,0.287988,0.0804,0.813996,0.000181254,0.00917757,0.01209426,0.206397,9.27337E-05,2.91226E-05,5.8825E-05,9.80223E-05,1.18495E-05,0.000171757
0.0041478,2.4338,0.67,6.7833,0.031283,0.079097,1.0538,0.0016113,0.00036414,0.0012916,0.0028195,0.00021782,0.0038648,0.292056,0.0804,0.813996,0.000149736,0.00594377,0.01502843,0.200222,5.81679E-05,1.31455E-05,4.66268E-05,0.000101784,7.8633E-06,0.000139519
0.0029089,2.4691,0.67,6.7833,0.014011,0.075999,0.9285,0.00059458,6.12E-05,0.00064819,0.0020862,7.95E-05,0.0031369,0.296292,0.0804,0.813996,0.000105011,0.00266209,0.01443981,0.176415,2.14643E-05,2.20932E-06,2.33997E-05,7.53118E-05,2.86995E-06,0.000113242
0.0010522,2.5058,0.67,6.7833,0.0045121,0.033614,0.41067,3.77E-05,1.07E-05,0.00011339,0.00080557,3.45E-05,0.0012612,0.300696,0.0804,0.813996,3.79844E-05,0.000857299,0.00638666,0.0780273,1.36097E-06,3.8627E-07,4.09338E-06,2.90811E-05,1.24545E-06,4.55293E-05
2.05E-07,2.544,0.67,6.7833,0.0016347,3.53E-13,-4.32E-17,4.11E-07,8.85E-17,-8.54E-21,1.91E-26,-1.84E-30,3.40E-34,0.30528,0.0804,0.813996,7.4005E-09,0.000310593,6.707E-14,-8.208E-18,1.48371E-08,3.19485E-18,-3.08294E-22,6.8951E-28,-6.6424E-32,1.2274E-35
0,2.5837,0.67,6.7833,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7833,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0.005825,2.3674,0.67,6.7916,0.061434,0.045494,1.1129,0.0032675,0.00095126,0.0013304,0.0024254,0.00020546,0.0059571,0.284088,0.0804,0.814992,0.000210283,0.01167246,0.00864386,0.211451,0.000117957,3.43405E-05,4.80274E-05,8.75569E-05,7.41711E-06,0.000215051
0.0050292,2.3999,0.67,6.7916,0.048282,0.063498,1.0876,0.0025829,0.00080929,0.0016185,0.0027131,0.00032901,0.0047624,0.287988,0.0804,0.814992,0.000181554,0.00917358,0.01206462,0.206644,9.32427E-05,2.92154E-05,5.84279E-05,9.79429E-05,1.18773E-05,0.000171923
0.0041572,2.4338,0.67,6.7916,0.031239,0.079038,1.0553,0.001632,0.00036794,0.0012892,0.0028175,0.00022113,0.003865,0.292056,0.0804,0.814992,0.000150075,0.00593541,0.01501722,0.200507,5.89152E-05,1.32826E-05,4.65401E-05,0.000101712,7.98279E-06,0.000139527
0.0029132,2.4691,0.67,6.7916,0.013972,0.07601,0.92987,0.00060516,6.36E-05,0.0006474,0.0020893,8.13E-05,0.003132,0.296292,0.0804,0.814992,0.000105167,0.00265468,0.0144419,0.1766753,2.18463E-05,2.29596E-06,2.33711E-05,7.54237E-05,2.93493E-06,0.000113065
0.0010521,2.5058,0.67,6.7916,0.004217,0.033619,0.41128,3.82E-05,1.11E-05,0.00011326,0.0008068,3.52E-05,0.0012593,0.300696,0.0804,0.814992,3.79808E-05,0.00080123,0.00638761,0.0781432,1.37902E-06,4.0071E-07,4.08869E-06,2.91255E-05,1.27072E-06,4.54607E-05
1.39E-07,2.544,0.67,6.7916,0.0013477,2.91E-13,-1.03E-17,2.78E-07,6.01E-17,-3.87E-21,1.30E-26,-8.34E-31,4.30E-34,0.30528,0.0804,0.814992,5.0179E-09,0.000256063,5.529E-14,-1.957E-18,1.00358E-08,2.16961E-18,-1.39707E-22,4.693E-28,-3.01074E-32,1.5523E-35
0,2.5837,0.67,6.7916,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.814992,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7916,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.814992,0,0,0,0,0,0,0,0,0,0
0.0058217,2.3674,0.67,6.8,0.061328,0.045289,1.1138,0.0032667,0.00095023,0.0013175,0.0024221,0.0001988,0.0059546,0.284088,0.0804,0.816,0.000210163,0.01165232,0.00860491,0.211622,0.000117928,3.43033E-05,4.75618E-05,8.74378E-05,7.17668E-06,0.000214961
0.0050297,2.3999,0.67,6.8,0.048257,0.063338,1.089,0.0025855,0.00081428,0.001612,0.002708,0.00032859,0.0047659,0.287988,0.0804,0.816,0.000181572,0.00916883,0.01203422,0.20691,9.33366E-05,2.93955E-05,5.81932E-05,9.77588E-05,1.18621E-05,0.000172049
0.0041576,2.4338,0.67,6.8,0.031191,0.078975,1.0568,0.0016369,0.00037285,0.001288,0.0028128,0.00022404,0.0038654,0.292056,0.0804,0.816,0.000150089,0.00592629,0.01500525,0.200792,5.90921E-05,1.34599E-05,4.64968E-05,0.000101542,8.08784E-06,0.000139541
0.0029133,2.4691,0.67,6.8,0.013931,0.076019,0.93122,0.00060959,6.54E-05,0.00064638,0.00209,8.37E-05,0.0031271,0.296292,0.0804,0.816,0.00010517,0.00264689,0.01444361,0.1769318,2.20062E-05,2.36094E-06,2.33343E-05,0.000075449,3.02157E-06,0.000112888
0.0010515,2.5058,0.67,6.8,0.0035256,0.033624,0.41189,3.85E-05,1.14E-05,0.00011308,0.00080711,3.61E-05,0.0012574,0.300696,0.0804,0.816,3.79592E-05,0.000669864,0.00638856,0.0782591,1.38985E-06,4.1154E-07,4.08219E-06,2.91367E-05,1.30321E-06,4.53921E-05
1.37E-07,2.544,0.67,6.8,0.00066479,1.43E-13,2.79E-17,2.75E-07,5.94E-17,8.86E-21,1.28E-26,1.92E-30,4.54E-34,0.30528,0.0804,0.816,4.9457E-09,0.00012631,2.717E-14,5.301E-18,9.9275E-09,2.14434E-18,3.19846E-22,4.6208E-28,6.9312E-32,1.63894E-35
0,2.5837,0.67,6.8,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.816,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.8,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.816,0,0,0,0,0,0,0,0,0,0
0.0058126,2.3674,0.67,6.8083,0.061216,0.045083,1.1147,0.0032536,0.00094623,0.0013008,0.0024209,0.00019442,0.0059508,0.284088,0.0804,0.816996,0.000209835,0.01163104,0.00856577,0.211793,0.000117455,3.41589E-05,4.69589E-05,8.73945E-05,7.01856E-06,0.000214824
0.0050253,2.3999,0.67,6.8083,0.048234,0.063171,1.0903,0.0025752,0.00081718,0.001601,0.0027044,0.0003304,0.004771,0.287988,0.0804,0.816996,0.000181413,0.00916446,0.01200249,0.207157,9.29647E-05,2.95002E-05,5.77961E-05,9.76288E-05,1.19274E-05,0.000172233
0.0041479,2.4338,0.67,6.8083,0.031147,0.078906,1.0583,0.0016192,0.00037677,0.0012862,0.0028088,0.00022755,0.0038677,0.292056,0.0804,0.816996,0.000149739,0.00591793,0.01499214,0.201077,5.84531E-05,1.36014E-05,4.64318E-05,0.000101398,8.21456E-06,0.000139624
0.0029062,2.4691,0.67,6.8083,0.013892,0.076025,0.93256,0.00059811,6.62E-05,0.00064695,0.0020916,8.61E-05,0.0031228,0.296292,0.0804,0.816996,0.000104914,0.00263948,0.01444475,0.1771864,2.15918E-05,2.38982E-06,2.33549E-05,7.55068E-05,3.10821E-06,0.000112733
0.0010507,2.5058,0.67,6.8083,0.0040055,0.033628,0.4125,3.78E-05,1.15E-05,0.00011318,0.00080778,3.70E-05,0.0012557,0.300696,0.0804,0.816996,3.79303E-05,0.000761045,0.00638932,0.078375,1.36458E-06,4.1515E-07,4.0858E-06,2.91609E-05,1.3357E-06,4.53308E-05
1.75E-07,2.544,0.67,6.8083,0.0011527,2.49E-13,7.18E-18,3.50E-07,7.56E-17,6.09E-21,1.63E-26,1.32E-30,2.74E-34,0.30528,0.0804,0.816996,6.3175E-09,0.000219013,4.731E-14,1.3642E-18,1.2635E-08,2.72916E-18,2.19849E-22,5.8843E-28,4.7652E-32,9.8914E-36
0,2.5837,0.67,6.8083,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.816996,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.8083,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.816996,0,0,0,0,0,0,0,0,0,0
0.0058229,2.3674,0.67,6.8166,0.061096,0.044876,1.1156,0.0032765,0.0009436,0.0012848,0.0024201,0.00018662,0.0059492,0.284088,0.0804,0.817992,0.000210207,0.01160824,0.00852644,0.211964,0.000118282,3.4064E-05,4.63813E-05,8.73656E-05,6.73698E-06,0.000214766
0.0050422,2.3999,0.67,6.8166,0.04821,0.063,1.0915,0.0026035,0.00081926,0.0015897,0.0027028,0.00032984,0.0047781,0.287988,0.0804,0.817992,0.000182023,0.0091599,0.01197,0.207385,9.39864E-05,2.95753E-05,5.73882E-05,9.75711E-05,1.19072E-05,0.000172489
0.0041649,2.4338,0.67,6.8166,0.031108,0.078833,1.0597,0.0016504,0.00037955,0.0012826,0.0028086,0.00023091,0.0038708,0.292056,0.0804,0.817992,0.000150353,0.00591052,0.01497827,0.201343,5.95794E-05,1.37018E-05,4.63019E-05,0.00010139,8.33585E-06,0.000139736
0.0029128,2.4691,0.67,6.8166,0.013856,0.076027,0.93389,0.00061066,6.66E-05,0.00064724,0.0020962,8.85E-05,0.0031188,0.296292,0.0804,0.817992,0.000105152,0.00263264,0.01444513,0.1774391,2.20448E-05,2.40426E-06,2.33654E-05,7.56728E-05,3.19485E-06,0.000112589
0.0010511,2.5058,0.67,6.8166,0.004204,0.03363,0.4131,3.84E-05,1.16E-05,0.00011324,0.00080962,3.80E-05,0.0012542,0.300696,0.0804,0.817992,3.79447E-05,0.00079876,0.0063897,0.078489,1.38624E-06,4.1876E-07,4.08796E-06,2.92273E-05,1.3718E-06,4.52766E-05
8.76E-08,2.544,0.67,6.8166,0.0013584,2.93E-13,2.70E-17,1.75E-07,3.77E-17,3.50E-21,8.13E-27,7.56E-31,2.21E-34,0.30528,0.0804,0.817992,3.16236E-09,0.000258096,5.567E-14,5.13E-18,6.3175E-09,1.36097E-18,1.2635E-22,2.93493E-28,2.72916E-32,7.9781E-36
0,2.5837,0.67,6.8166,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.817992,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.8166,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.817992,0,0,0,0,0,0,0,0,0,0
0.0058346,2.3674,0.67,6.825,0.060967,0.044668,1.1165,0.0033056,0.00094105,0.0012702,0.0024099,0.00018116,0.0059537,0.284088,0.0804,0.819,0.000210629,0.01158373,0.00848692,0.212135,0.000119332,3.39719E-05,4.58542E-05,8.69974E-05,6.53988E-06,0.000214929
0.0050597,2.3999,0.67,6.825,0.048181,0.062825,1.0928,0.0026413,0.00082099,0.0015804,0.0026911,0.00033007,0.0047869,0.287988,0.0804,0.819,0.000182655,0.00915439,0.01193675,0.207632,9.53509E-05,2.96377E-05,5.70524E-05,9.71487E-05,1.19155E-05,0.000172807
0.0041868,2.4338,0.67,6.825,0.031071,0.078756,1.0612,0.0017031,0.00038242,0.0012797,0.0027967,0.0002349,0.0038739,0.292056,0.0804,0.819,0.000151143,0.00590349,0.01496364,0.201628,6.14819E-05,1.38054E-05,4.61972E-05,0.000100961,8.47989E-06,0.000139848
0.0029248,2.4691,0.67,6.825,0.013823,0.076029,0.9352,0.00064336,6.81E-05,0.00064525,0.0020912,9.16E-05,0.0031151,0.296292,0.0804,0.819,0.000105585,0.00262637,0.01444551,0.177688,2.32253E-05,2.45841E-06,2.32935E-05,7.54923E-05,3.30676E-06,0.000112455
