K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.002963,0.19372,0.67,6.7583,-0.017389,0.0068348,1.228,0.0011472,-2.70E-05,-0.00042859,0.0013104,-0.00020734,0.0034684,0.0232464,0.0804,0.810996,0.000106964,-0.00330391,0.001298612,0.23332,4.14139E-05,-9.747E-07,-1.54721E-05,4.73054E-05,-7.48497E-06,0.000125209
0.003289,0.22242,0.67,6.7583,-0.016247,0.0075851,1.2258,0.0014209,9.61E-05,-0.00076167,0.0013307,-0.00027037,0.0038263,0.0266904,0.0804,0.810996,0.000118733,-0.00308693,0.001441169,0.232902,5.12945E-05,3.46921E-06,-2.74963E-05,4.80383E-05,-9.76036E-06,0.000138129
0.0029265,0.24993,0.67,6.7583,-0.01753,0.0082811,1.246,0.0015862,0.00016845,-0.00052068,0.0014502,-0.00055982,0.0028166,0.0299916,0.0804,0.810996,0.000105647,-0.0033307,0.001573409,0.23674,5.72618E-05,6.08105E-06,-1.87965E-05,5.23522E-05,-2.02095E-05,0.000101679
0.0028912,0.27629,0.67,6.7583,-0.020523,0.0096907,1.242,0.0015281,0.00025371,-0.00055449,0.0012873,-0.00056928,0.0029669,0.0331548,0.0804,0.810996,0.000104372,-0.00389937,0.001841233,0.23598,5.51644E-05,9.15893E-06,-2.00171E-05,4.64715E-05,-2.0551E-05,0.000107105
0.0024942,0.30154,0.67,6.7583,-0.021719,0.01008,1.2348,0.0015036,0.00025622,-0.00068756,0.00093442,-0.00050469,0.0025504,0.0361848,0.0804,0.810996,9.00406E-05,-0.00412661,0.0019152,0.234612,5.428E-05,9.24954E-06,-2.48209E-05,3.37326E-05,-1.82193E-05,9.20694E-05
0.0027314,0.32572,0.67,6.7583,-0.022984,0.014093,1.2401,0.0016632,0.00020022,-0.00065155,0.0010324,-0.00070245,0.0027672,0.0390864,0.0804,0.810996,9.86035E-05,-0.00436696,0.00267767,0.235619,6.00415E-05,7.22794E-06,-2.3521E-05,3.72696E-05,-2.53584E-05,9.98959E-05
0.0033722,0.34887,0.67,6.7583,-0.025652,0.022051,1.2502,0.0019264,0.00032591,-0.0004028,0.001466,-0.0010232,0.0033519,0.0418644,0.0804,0.810996,0.000121736,-0.00487388,0.00418969,0.237538,6.9543E-05,1.17654E-05,-1.45411E-05,5.29226E-05,-3.69375E-05,0.000121004
0.0034182,0.37102,0.67,6.7583,-0.027728,0.026195,1.2457,0.0021504,0.00038793,-0.00028536,0.0015576,-0.00078364,0.0031284,0.0445224,0.0804,0.810996,0.000123397,-0.00526832,0.00497705,0.236683,7.76294E-05,1.40043E-05,-1.03015E-05,5.62294E-05,-2.82894E-05,0.000112935
0.0036569,0.39221,0.67,6.7583,-0.028856,0.024804,1.2457,0.0023624,0.00031624,-0.00060843,0.0013298,-0.00066247,0.0036215,0.0470652,0.0804,0.810996,0.000132014,-0.00548264,0.00471276,0.236683,8.52826E-05,1.14163E-05,-2.19643E-05,4.80058E-05,-2.39152E-05,0.000130736
0.0039541,0.41248,0.67,6.7583,-0.030832,0.020092,1.2512,0.002566,0.00018754,-0.00065679,0.0011481,-0.00070167,0.004194,0.0494976,0.0804,0.810996,0.000142743,-0.00585808,0.00381748,0.237728,9.26326E-05,6.77019E-06,-2.37101E-05,4.14464E-05,-2.53303E-05,0.000151403
