K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.015373,0.16379,0.67,9.7636,-0.017183,0.0073251,1.1472,0.013927,0.0011324,0.0044102,0.004237,-0.00022678,0.012582,0.0196548,0.0804,1.171632,0.000554965,-0.00326477,0.001391769,0.217968,0.000502765,4.08796E-05,0.000159208,0.000152956,-8.18676E-06,0.00045421
0.019206,0.19372,0.67,9.7636,-0.020633,0.0059697,1.1285,0.017301,0.0010781,0.0063262,0.006161,-0.0002942,0.014951,0.0232464,0.0804,1.171632,0.000693337,-0.00392027,0.001134243,0.214415,0.000624566,3.89194E-05,0.000228376,0.000222412,-1.06206E-05,0.000539731
0.023437,0.22242,0.67,9.7636,-0.024068,0.005211,1.1018,0.020291,0.0010672,0.0087078,0.0079206,0.00025786,0.018663,0.0266904,0.0804,1.171632,0.000846076,-0.00457292,0.00099009,0.209342,0.000732505,3.85259E-05,0.000314352,0.000285934,9.30875E-06,0.000673734
0.026844,0.24993,0.67,9.7636,-0.026587,0.0067638,1.0751,0.022672,0.0011653,0.01069,0.0082052,0.00062135,0.022812,0.0299916,0.0804,1.171632,0.000969068,-0.00505153,0.001285122,0.204269,0.000818459,4.20673E-05,0.000385909,0.000296208,2.24307E-05,0.000823513
0.029206,0.27629,0.67,9.7636,-0.028174,0.011853,1.0456,0.02474,0.0010229,0.011479,0.0088025,0.00036681,0.02487,0.0331548,0.0804,1.171632,0.001054337,-0.00535306,0.00225207,0.198664,0.000893114,3.69267E-05,0.000414392,0.00031777,1.32418E-05,0.000897807
0.031571,0.30154,0.67,9.7636,-0.030477,0.014305,1.015,0.0264,0.00064167,0.011953,0.010235,4.57E-05,0.026506,0.0361848,0.0804,1.171632,0.001139713,-0.00579063,0.00271795,0.19285,0.00095304,2.31643E-05,0.000431503,0.000369484,1.64851E-06,0.000956867
0.033233,0.32572,0.67,9.7636,-0.033424,0.014029,0.98135,0.027356,0.00054717,0.012368,0.011496,-0.00024408,0.027613,0.0390864,0.0804,1.171632,0.001199711,-0.00635056,0.00266551,0.1864565,0.000987552,1.97528E-05,0.000446485,0.000415006,-8.81129E-06,0.000996829
0.034529,0.34887,0.67,9.7636,-0.035635,0.014423,0.94633,0.027813,0.0011123,0.012613,0.012836,-0.00044762,0.028409,0.0418644,0.0804,1.171632,0.001246497,-0.00677065,0.00274037,0.1798027,0.001004049,4.0154E-05,0.000455329,0.00046338,-1.61591E-05,0.001025565
0.03595,0.37102,0.67,9.7636,-0.03713,0.016645,0.91173,0.027724,0.0015914,0.012703,0.014175,-0.00081985,0.030001,0.0445224,0.0804,1.171632,0.001297795,-0.0070547,0.00316255,0.1732287,0.001000836,5.74495E-05,0.000458578,0.000511718,-2.95966E-05,0.001083036
0.036461,0.39221,0.67,9.7636,-0.038471,0.019178,0.87908,0.027388,0.0016085,0.012783,0.014909,-0.0012648,0.030624,0.0470652,0.0804,1.171632,0.001316242,-0.00730949,0.00364382,0.1670252,0.000988707,5.80669E-05,0.000461466,0.000538215,-4.56593E-05,0.001105526
