K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
2.00E-07,-0.044001,0.67,6.7583,-8.64E-05,-2.43E-14,-3.67E-20,4.00E-07,1.12E-16,-2.85E-20,3.13E-26,-7.97E-30,2.23E-33,-0.00528012,0.0804,0.810996,7.22036E-09,-1.64137E-05,-4.61814E-15,-6.98174E-21,1.44407E-08,4.04176E-18,-1.02871E-21,1.13119E-27,-2.8776E-31,8.03658E-35
0.00073318,-0.0058053,0.67,6.7583,-0.0022717,0.016508,0.47499,1.65E-05,-9.46E-06,-1.51E-05,0.0006574,-0.00016086,0.0007925,-0.000696636,0.0804,0.810996,2.64678E-05,-0.000431623,0.00313652,0.0902481,5.94062E-07,-3.41427E-07,-5.43413E-07,2.37321E-05,-5.80705E-06,2.86093E-05
0.0019563,0.030909,0.67,6.7583,-0.010637,0.037235,1.0711,0.00025626,-5.53E-05,-8.59E-05,0.0016933,-0.00040804,0.001963,0.00370908,0.0804,0.810996,7.06224E-05,-0.00202103,0.00707465,0.203509,9.25099E-06,-1.99582E-06,-3.10276E-06,6.11281E-05,-1.47302E-05,7.08643E-05
0.0028477,0.066184,0.67,6.7583,-0.021756,0.03366,1.1984,0.00063949,-6.79E-05,-0.00023945,0.0019288,-0.00084869,0.0031272,0.00794208,0.0804,0.810996,0.000102802,-0.00413364,0.0063954,0.227696,2.30856E-05,-2.44989E-06,-8.64415E-06,6.96297E-05,-3.06377E-05,0.000112892
0.0028908,0.10006,0.67,6.7583,-0.03012,0.023873,1.2195,0.0008027,1.43E-05,-0.0002108,0.0015704,-0.0011294,0.0034086,0.0120072,0.0804,0.810996,0.000104358,-0.0057228,0.00453587,0.231705,2.89775E-05,5.17855E-07,-7.60988E-06,5.66914E-05,-4.07713E-05,0.00012305
0.0024794,0.13258,0.67,6.7583,-0.03422,0.023385,1.227,0.00087634,8.09E-05,-0.00022245,0.0011844,-0.00070338,0.002898,0.0159096,0.0804,0.810996,8.95063E-05,-0.0065018,0.00444315,0.23313,3.16359E-05,2.91995E-06,-8.03045E-06,4.27568E-05,-2.5392E-05,0.000104618
0,-0.125,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
1.76E-07,-0.044001,0.67,6.7666,-0.00020249,-5.69E-14,-3.02E-19,3.53E-07,9.86E-17,-2.57E-20,2.76E-26,-7.19E-30,2.08E-33,-0.00528012,0.0804,0.811992,6.36263E-09,-3.84731E-05,-1.08044E-14,-5.73116E-20,1.27253E-08,3.55932E-18,-9.28564E-22,9.95566E-28,-2.59624E-31,7.50411E-35
0.00073427,-0.0058053,0.67,6.7666,-0.0023705,0.016415,0.47515,1.70E-05,-9.42E-06,-1.51E-05,0.00065605,-0.00016244,0.00079554,-0.000696636,0.0804,0.811992,2.65071E-05,-0.000450395,0.00311885,0.0902785,6.12112E-07,-3.39983E-07,-5.45507E-07,2.36834E-05,-5.86408E-06,2.8719E-05
0.0019627,0.030909,0.67,6.7666,-0.010553,0.037024,1.0715,0.000265,-5.51E-05,-8.63E-05,0.0016898,-0.00041201,0.0019706,0.00370908,0.0804,0.811992,7.08535E-05,-0.00200507,0.00703456,0.203585,9.5665E-06,-1.98738E-06,-3.11467E-06,6.10018E-05,-1.48736E-05,7.11387E-05
0.0028574,0.066184,0.67,6.7666,-0.021578,0.033469,1.1988,0.00065303,-6.71E-05,-0.00024059,0.0019273,-0.00085163,0.0031344,0.00794208,0.0804,0.811992,0.000103152,-0.00409982,0.00635911,0.227772,2.35744E-05,-2.42357E-06,-8.6853E-06,6.95755E-05,-3.07438E-05,0.000113152
0.0028961,0.10006,0.67,6.7666,-0.02985,0.023748,1.2197,0.000808,1.55E-05,-0.00021191,0.0015683,-0.0011273,0.0034158,0.0120072,0.0804,0.811992,0.000104549,-0.0056715,0.00451212,0.231743,2.91688E-05,5.59983E-07,-7.64995E-06,5.66156E-05,-4.06955E-05,0.00012331
0.0024864,0.13258,0.67,6.7666,-0.033897,0.02333,1.2272,0.00088069,8.19E-05,-0.00022233,0.0011819,-0.00069953,0.0029102,0.0159096,0.0804,0.811992,8.9759E-05,-0.00644043,0.0044327,0.233168,3.17929E-05,2.95547E-06,-8.02611E-06,4.26666E-05,-2.5253E-05,0.000105058
0,-0.125,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
4.59E-08,-0.044001,0.67,6.775,-0.00058582,-1.64E-13,-3.20E-18,9.18E-08,2.57E-17,-2.10E-21,7.17E-27,-5.87E-31,1.71E-34,-0.00528012,0.0804,0.813,1.6562E-09,-0.000111306,-3.11562E-14,-6.08551E-19,3.31236E-09,9.26182E-19,-7.58678E-23,2.58971E-28,-2.1181E-32,6.16299E-36
0.00073512,-0.0058053,0.67,6.775,-0.0027369,0.016322,0.47529,1.67E-05,-9.44E-06,-1.52E-05,0.00065487,-0.0001645,0.00079865,-0.000696636,0.0804,0.813,2.65378E-05,-0.000520011,0.00310118,0.0903051,6.03556E-07,-3.4064E-07,-5.49334E-07,2.36408E-05,-5.93845E-06,2.88313E-05
0.0019652,0.030909,0.67,6.775,-0.01047,0.036816,1.0718,0.00026537,-5.52E-05,-8.69E-05,0.0016868,-0.00041721,0.0019783,0.00370908,0.0804,0.813,7.09437E-05,-0.0019893,0.00699504,0.203642,9.57986E-06,-1.99113E-06,-3.13644E-06,6.08935E-05,-1.50613E-05,7.14166E-05
0.0028594,0.066184,0.67,6.775,-0.021404,0.033278,1.1991,0.00065005,-6.69E-05,-0.00024231,0.0019278,-0.00085488,0.003141,0.00794208,0.0804,0.813,0.000103224,-0.00406676,0.00632282,0.227829,2.34668E-05,-2.41487E-06,-8.74739E-06,6.95936E-05,-3.08612E-05,0.00011339
0.0028988,0.10006,0.67,6.775,-0.029586,0.023624,1.2199,0.00080575,1.48E-05,-0.00021414,0.0015692,-0.0011246,0.0034227,0.0120072,0.0804,0.813,0.000104647,-0.00562134,0.00448856,0.231781,2.90876E-05,5.35688E-07,-7.73045E-06,5.66481E-05,-4.05981E-05,0.000123559
0.0024943,0.13258,0.67,6.775,-0.033578,0.023275,1.2275,0.00088481,8.09E-05,-0.0002222,0.0011811,-0.0006945,0.0029227,0.0159096,0.0804,0.813,9.00442E-05,-0.00637982,0.00442225,0.233225,3.19416E-05,2.91995E-06,-8.02142E-06,4.26377E-05,-2.50715E-05,0.000105509
0,-0.125,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
6.87E-08,-0.044001,0.67,6.7833,-0.00055453,-1.55E-13,-1.87E-17,1.37E-07,3.84E-17,5.87E-21,1.08E-26,1.64E-30,6.52E-34,-0.00528012,0.0804,0.813996,2.47956E-09,-0.000105361,-2.94804E-14,-3.54616E-18,4.95906E-09,1.38765E-18,2.11791E-22,3.88292E-28,5.90813E-32,2.35545E-35
0.00073593,-0.0058053,0.67,6.7833,-0.0026892,0.01623,0.47544,1.60E-05,-9.44E-06,-1.53E-05,0.00065408,-0.00016634,0.00080176,-0.000696636,0.0804,0.813996,2.65671E-05,-0.000510948,0.0030837,0.0903336,5.78539E-07,-3.40881E-07,-5.5168E-07,2.36123E-05,-6.00487E-06,2.89435E-05
0.0019621,0.030909,0.67,6.7833,-0.01039,0.036607,1.0721,0.0002536,-5.52E-05,-8.72E-05,0.0016847,-0.00042183,0.0019859,0.00370908,0.0804,0.813996,7.08318E-05,-0.0019741,0.00695533,0.203699,9.15496E-06,-1.99254E-06,-3.14958E-06,6.08177E-05,-1.52281E-05,7.1691E-05
