K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,4.7844,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.574128,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,4.7844,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.574128,0,0,0,0,0,0,0,0,0,0
1.37E-07,-0.044001,0.67,4.7844,-0.00029456,-8.06E-14,1.38E-18,2.74E-07,7.48E-17,-1.06E-21,2.05E-26,-2.89E-31,1.08E-34,-0.00528012,0.0804,0.574128,4.93992E-09,-5.59664E-05,-1.53083E-14,2.61459E-19,9.87949E-09,2.7018E-18,-3.83887E-23,7.38859E-28,-1.04358E-32,3.9071E-36
0.0013788,-0.0058053,0.67,4.7844,-0.0014508,0.015557,0.3449,1.32E-05,-2.53E-05,-2.94E-05,0.00096597,5.30E-05,0.0017784,-0.000696636,0.0804,0.574128,4.97747E-05,-0.000275652,0.00295583,0.065531,4.76953E-07,-9.1416E-07,-1.06083E-06,3.48715E-05,1.91464E-06,6.42002E-05
0.0035865,0.030909,0.67,4.7844,-0.0056519,0.035294,0.7824,0.00020648,-0.00014919,-0.00016861,0.002518,0.00012813,0.0044486,0.00370908,0.0804,0.574128,0.000129473,-0.001073861,0.00670586,0.148656,7.45393E-06,-5.38576E-06,-6.08682E-06,9.08998E-05,4.62549E-06,0.000160594
0.0045496,0.066184,0.67,4.7844,-0.012267,0.029511,0.8889,0.00053167,-0.00031044,-0.00053075,0.0022358,0.00019954,0.0063318,0.00794208,0.0804,0.574128,0.000164241,-0.00233073,0.00560709,0.168891,1.91933E-05,-1.12069E-05,-1.91601E-05,8.07124E-05,7.20339E-06,0.000228578
0.0049179,0.10006,0.67,4.7844,-0.016729,0.017333,0.92335,0.00078636,-0.00021764,-0.00052049,0.0012299,8.68E-06,0.0078195,0.0120072,0.0804,0.574128,0.000177536,-0.00317851,0.00329327,0.1754365,2.83876E-05,-7.8568E-06,-1.87897E-05,4.43994E-05,3.13334E-07,0.000282284
0.0044194,0.13258,0.67,4.7844,-0.015414,0.008888,0.95555,0.00078167,5.29E-05,-0.00011097,0.0012838,-0.00091352,0.0067733,0.0159096,0.0804,0.574128,0.00015954,-0.00292866,0.00168872,0.1815545,2.82183E-05,1.90817E-06,-4.00602E-06,4.63452E-05,-3.29781E-05,0.000244516
0.0030086,0.16379,0.67,4.7844,-0.011354,-0.0029452,0.99031,0.00060394,0.00014552,-0.00010117,0.0013405,-0.00073525,0.0040727,0.0196548,0.0804,0.574128,0.00010861,-0.00215726,-0.000559588,0.1881589,2.18022E-05,5.25327E-06,-3.65224E-06,4.83921E-05,-2.65425E-05,0.000147024
0.0021048,0.19372,0.67,4.7844,-0.0080367,-0.009885,1.0066,0.00058512,0.00012337,-0.00020496,0.0011394,6.98E-05,0.0024851,0.0232464,0.0804,0.574128,7.59833E-05,-0.001526973,-0.00187815,0.191254,2.11228E-05,4.45366E-06,-7.39906E-06,4.11323E-05,2.52003E-06,8.97121E-05
0.0022415,0.22242,0.67,4.7844,-0.0039437,-0.0096972,1.0184,0.00079382,0.00012321,-0.00056801,0.0010028,-0.00011917,0.0026863,0.0266904,0.0804,0.574128,8.09182E-05,-0.000749303,-0.001842468,0.193496,2.86569E-05,4.44788E-06,-2.05052E-05,3.62011E-05,-4.30204E-06,9.69754E-05
0.0022365,0.24993,0.67,4.7844,-0.0017785,-0.0028655,1.0258,0.0010049,-9.15E-07,-0.00054425,0.00088986,-0.00034762,0.0025783,0.0299916,0.0804,0.574128,8.07377E-05,-0.000337915,-0.000544445,0.194902,3.62769E-05,-3.30203E-08,-1.96474E-05,3.21239E-05,-1.25491E-05,9.30766E-05
0.0019556,0.27629,0.67,4.7844,-0.0020415,0.004856,1.0247,0.0010099,-4.07E-05,-0.00049552,0.00078477,-0.00032717,0.0021165,0.0331548,0.0804,0.574128,7.05972E-05,-0.000387885,0.00092264,0.194693,3.64574E-05,-1.4688E-06,-1.78883E-05,2.83302E-05,-1.18108E-05,7.64057E-05
0.0021414,0.30154,0.67,4.7844,-0.0014502,0.0071756,1.0293,0.001026,9.61E-05,-0.000719,0.00083918,-0.00022194,0.0024175,0.0361848,0.0804,0.574128,7.73045E-05,-0.000275538,0.001363364,0.195567,3.70386E-05,3.46798E-06,-2.59559E-05,3.02944E-05,-8.01203E-06,8.72718E-05
0.0027661,0.32572,0.67,4.7844,4.58E-05,0.0024388,1.0297,0.0011371,0.00020153,-0.00079592,0.0012218,-0.00050454,0.0031732,0.0390864,0.0804,0.574128,9.98562E-05,8.69269E-06,0.000463372,0.195643,4.10493E-05,7.27523E-06,-2.87327E-05,4.4107E-05,-1.82139E-05,0.000114553
0.0032622,0.34887,0.67,4.7844,0.00018723,-0.003394,1.0431,0.0011564,0.00022074,-0.00098579,0.0015992,-0.00090984,0.0037687,0.0418644,0.0804,0.574128,0.000117765,3.55737E-05,-0.00064486,0.198189,4.1746E-05,7.96871E-06,-3.5587E-05,5.77311E-05,-3.28452E-05,0.00013605
0.0033157,0.37102,0.67,4.7844,-0.0014381,-0.0030331,1.053,0.0011224,0.0002207,-0.00071707,0.0017338,-0.0011751,0.0037752,0.0445224,0.0804,0.574128,0.000119697,-0.000273239,-0.000576289,0.20007,4.05186E-05,7.96727E-06,-2.58862E-05,6.25902E-05,-4.24211E-05,0.000136285
0.0030926,0.39221,0.67,4.7844,-0.0020542,0.0031019,1.0494,0.0011889,0.00025052,-0.00056123,0.0017229,-0.00091315,0.0032734,0.0470652,0.0804,0.574128,0.000111643,-0.000390298,0.000589361,0.199386,4.29193E-05,9.04377E-06,-2.02604E-05,6.21967E-05,-3.29647E-05,0.00011817
0.0024565,0.41248,0.67,4.7844,-0.001284,0.010421,1.0458,0.0013494,0.0002243,-0.00053743,0.0016219,-0.00049442,0.0019417,0.0494976,0.0804,0.574128,8.86797E-05,-0.00024396,0.00197999,0.198702,4.87133E-05,8.09723E-06,-1.94012E-05,5.85506E-05,-1.78486E-05,7.00954E-05
0.0021688,0.43187,0.67,4.7844,-0.00089217,0.015163,1.0487,0.0014861,0.0001737,-0.0004079,0.0016304,-0.00056287,0.0012211,0.0518244,0.0804,0.574128,7.82937E-05,-0.000169512,0.00288097,0.199253,5.36482E-05,6.27057E-06,-1.47252E-05,5.88574E-05,-2.03196E-05,4.40817E-05
0.0020555,0.4504,0.67,4.7844,-0.0013744,0.019298,1.0507,0.0014825,0.00011344,-0.00023289,0.0015543,-0.00057247,0.0010743,0.054048,0.0804,0.574128,7.42036E-05,-0.000261136,0.00366662,0.199633,5.35183E-05,4.09518E-06,-8.40733E-06,5.61102E-05,-2.06662E-05,3.87822E-05
0.0020687,0.46812,0.67,4.7844,-0.0018774,0.0215,1.05,0.0013647,0.00012961,-9.60E-05,0.0013808,-0.00064463,0.001392,0.0561744,0.0804,0.574128,7.46801E-05,-0.000356706,0.004085,0.1995,4.92657E-05,4.67892E-06,-3.4652E-06,4.98469E-05,-2.32711E-05,5.02512E-05
0.0022022,0.48504,0.67,4.7844,-0.0014212,0.020911,1.0516,0.0012512,0.00022558,-0.0001272,0.0014568,-0.00083233,0.0016965,0.0582048,0.0804,0.574128,7.94994E-05,-0.000270028,0.00397309,0.199804,4.51683E-05,8.14344E-06,-4.59192E-06,5.25905E-05,-3.00471E-05,6.12437E-05
0.0022422,0.50122,0.67,4.7844,-0.00090965,0.018008,1.0587,0.0011892,0.0002511,-0.0002118,0.0016073,-0.00092776,0.0016878,0.0601464,0.0804,0.574128,8.09434E-05,-0.000172834,0.00342152,0.201153,4.29301E-05,9.06471E-06,-7.64598E-06,5.80235E-05,-3.34921E-05,6.09296E-05
0.0024624,0.51667,0.67,4.7844,-0.00093818,0.01552,1.0611,0.0011573,0.00016115,-0.00026955,0.001767,-0.0011057,0.0020004,0.0620004,0.0804,0.574128,8.88926E-05,-0.000178254,0.0029488,0.201609,4.17785E-05,5.81752E-06,-9.73076E-06,6.37887E-05,-3.99158E-05,7.22144E-05
0.0024994,0.53142,0.67,4.7844,-0.0007241,0.016028,1.063,0.0011271,0.00010687,-0.00029808,0.0019641,-0.001159,0.0019076,0.0637704,0.0804,0.574128,9.02283E-05,-0.000137579,0.00304532,0.20197,4.06883E-05,3.85801E-06,-1.07607E-05,7.0904E-05,-4.18399E-05,6.88644E-05
0.0023654,0.54551,0.67,4.7844,-0.0006077,0.016474,1.0689,0.0010893,0.00018193,-0.0003571,0.0020865,-0.0010286,0.0015549,0.0654612,0.0804,0.574128,8.53909E-05,-0.000115463,0.00313006,0.203091,3.93237E-05,6.56767E-06,-1.28913E-05,7.53227E-05,-3.71325E-05,5.61319E-05
0.0022135,0.55896,0.67,4.7844,-0.00082099,0.016093,1.0702,0.0010417,0.00026526,-0.00034855,0.0020628,-0.00085311,0.0013224,0.0670752,0.0804,0.574128,7.99074E-05,-0.000155988,0.00305767,0.203338,3.76054E-05,9.57589E-06,-1.25827E-05,7.44671E-05,-3.07973E-05,4.77386E-05
0.0020112,0.5718,0.67,4.7844,-0.00059736,0.014517,1.066,0.00097922,0.0002586,-0.00034435,0.0017787,-0.00061113,0.0012646,0.068616,0.0804,0.574128,7.26043E-05,-0.000113498,0.00275823,0.20254,3.53498E-05,9.33546E-06,-1.2431E-05,6.42111E-05,-2.20618E-05,4.56521E-05
0.0018703,0.58405,0.67,4.7844,2.20E-05,0.010695,1.0636,0.00090604,0.0001509,-0.00038131,0.0013982,-0.0002575,0.0014363,0.070086,0.0804,0.574128,6.75178E-05,4.18931E-06,0.00203205,0.202084,3.2708E-05,5.44749E-06,-1.37653E-05,5.0475E-05,-9.29575E-06,5.18504E-05
0.0017403,0.59575,0.67,4.7844,0.00036129,0.0068638,1.0651,0.00082236,1.83E-05,-0.00039916,0.0013123,7.91E-05,0.001346,0.07149,0.0804,0.574128,6.28248E-05,6.86451E-05,0.001304122,0.202369,2.96872E-05,6.62182E-07,-1.44097E-05,4.7374E-05,2.85677E-06,4.85906E-05
0.0016732,0.6069,0.67,4.7844,0.00022607,0.0046771,1.0694,0.00074135,-3.51E-05,-0.0004062,0.0014994,0.00020914,0.0011056,0.072828,0.0804,0.574128,6.04025E-05,4.29533E-05,0.000888649,0.203186,2.67627E-05,-1.26769E-06,-1.46638E-05,5.41283E-05,7.54995E-06,3.99122E-05
0.001684,0.61755,0.67,4.7844,-0.00013198,0.0030918,1.0735,0.00069125,-2.53E-05,-0.00040578,0.0016713,0.00021105,0.0010055,0.074106,0.0804,0.574128,6.07924E-05,-2.50762E-05,0.000587442,0.203965,2.49541E-05,-9.1398E-07,-1.46487E-05,6.03339E-05,7.61891E-06,3.62986E-05
0.0017153,0.6277,0.67,4.7844,-0.00037819,0.00067008,1.0777,0.00068642,-1.54E-05,-0.00039609,0.0016932,0.00025093,0.0010511,0.075324,0.0804,0.574128,6.19223E-05,-7.18561E-05,0.000127315,0.204763,2.47798E-05,-5.55038E-07,-1.42988E-05,6.11245E-05,9.05857E-06,3.79447E-05
0.0017547,0.63738,0.67,4.7844,-0.00039495,-0.0027199,1.0822,0.00071259,-1.47E-05,-0.00036222,0.0015806,0.00037223,0.0012162,0.0764856,0.0804,0.574128,6.33447E-05,-7.50405E-05,-0.000516781,0.205618,2.57245E-05,-5.32295E-07,-1.30761E-05,5.70597E-05,1.34375E-05,4.39048E-05
0.0017859,0.64661,0.67,4.7844,-0.00034839,-0.0064786,1.0864,0.00074302,-9.93E-06,-0.00030461,0.00143,0.00048664,0.0013986,0.0775932,0.0804,0.574128,6.4471E-05,-6.61941E-05,-0.001230934,0.206416,2.6823E-05,-3.58498E-07,-1.09964E-05,0.000051623,1.75677E-05,5.04895E-05
0.001771,0.65542,0.67,4.7844,-0.00048712,-0.0098353,1.0897,0.00075985,-6.16E-07,-0.00022832,0.0013408,0.00055048,0.0014415,0.0786504,0.0804,0.574128,6.39331E-05,-9.25528E-05,-0.001868707,0.207043,2.74306E-05,-2.22481E-08,-8.24235E-06,4.84029E-05,1.98723E-05,5.20382E-05
0.00169,0.66381,0.67,4.7844,-0.00087632,-0.012351,1.0928,0.00075206,1.06E-05,-0.00015942,0.0013154,0.00057787,0.0013125,0.0796572,0.0804,0.574128,0.000061009,-0.000166501,-0.00234669,0.207632,2.71494E-05,3.82949E-07,-5.75506E-06,4.74859E-05,2.08611E-05,4.73813E-05
0.0015515,0.67207,0.67,4.7844,-0.0013886,-0.014117,1.0965,0.00071458,2.39E-05,-0.00010419,0.0013034,0.00055188,0.0010852,0.0806484,0.0804,0.574128,5.60092E-05,-0.000263834,-0.00268223,0.208335,2.57963E-05,8.62754E-07,-3.76126E-06,4.70527E-05,1.99229E-05,3.91757E-05
0.0013895,0.68032,0.67,4.7844,-0.0018352,-0.015545,1.1007,0.00065243,3.77E-05,-5.23E-05,0.0012676,0.00045695,0.00085899,0.0816384,0.0804,0.574128,5.0161E-05,-0.000348688,-0.00295355,0.209133,2.35527E-05,1.36046E-06,-1.8881E-06,4.57604E-05,1.64959E-05,3.10095E-05
0.0012378,0.68858,0.67,4.7844,-0.0021389,-0.017098,1.1051,0.00057667,4.94E-05,-8.76E-06,0.0012002,0.00030913,0.00069872,0.0826296,0.0804,0.574128,4.46846E-05,-0.000406391,-0.00324862,0.209969,2.08178E-05,1.7824E-06,-3.1612E-07,4.33272E-05,1.11596E-05,2.52238E-05
0.0011172,0.69683,0.67,4.7844,-0.0023729,-0.018889,1.1096,0.00049615,6.13E-05,1.24E-05,0.0011247,0.00011583,0.00061348,0.0836196,0.0804,0.574128,4.03309E-05,-0.000450851,-0.00358891,0.210824,1.7911E-05,2.21354E-06,4.4894E-07,4.06017E-05,4.18146E-06,2.21466E-05
0.0010503,0.70509,0.67,4.7844,-0.0026447,-0.020589,1.1144,0.00041788,7.65E-05,7.78E-07,0.0010569,-9.04E-05,0.00062582,0.0846108,0.0804,0.574128,3.79158E-05,-0.000502493,-0.00391191,0.211736,1.50855E-05,2.76313E-06,2.8101E-08,3.81541E-05,-3.26387E-06,2.25921E-05
0.001022,0.71335,0.67,4.7844,-0.0029549,-0.021837,1.1189,0.0003519,8.75E-05,-3.79E-05,0.0009839,-0.00024883,0.00070813,0.085602,0.0804,0.574128,3.68942E-05,-0.000561431,-0.00414903,0.212591,1.27036E-05,3.16045E-06,-1.36837E-06,3.55188E-05,-8.98276E-06,2.55635E-05
0.0010086,0.7216,0.67,4.7844,-0.0032414,-0.022829,1.1225,0.00030789,8.45E-05,-8.17E-05,0.00089632,-0.00035033,0.0008129,0.086592,0.0804,0.574128,3.64105E-05,-0.000615866,-0.00433751,0.213275,1.11148E-05,3.04883E-06,-2.94872E-06,3.23572E-05,-1.26469E-05,2.93457E-05
0.0010126,0.72986,0.67,4.7844,-0.0035542,-0.024029,1.1252,0.00028739,7.24E-05,-0.00010083,0.00080258,-0.00042407,0.00093519,0.0875832,0.0804,0.574128,3.65549E-05,-0.000675298,-0.00456551,0.213788,1.03748E-05,2.61447E-06,-3.63996E-06,2.89731E-05,-1.53089E-05,3.37604E-05
0.0010247,0.73811,0.67,4.7844,-0.0040118,-0.025337,1.1275,0.00028533,6.22E-05,-8.97E-05,0.00072599,-0.00046764,0.001038,0.0885732,0.0804,0.574128,3.69917E-05,-0.000762242,-0.00481403,0.214225,1.03004E-05,2.24513E-06,-3.23658E-06,2.62082E-05,-1.68818E-05,3.74718E-05
0.0010177,0.74637,0.67,4.7844,-0.0047363,-0.026565,1.1297,0.00029749,5.19E-05,-7.19E-05,0.00068134,-0.00048227,0.0010566,0.0895644,0.0804,0.574128,3.6739E-05,-0.000899897,-0.00504735,0.214643,1.07394E-05,1.8746E-06,-2.59675E-06,2.45964E-05,-1.74099E-05,3.81433E-05
0.00098561,0.75463,0.67,4.7844,-0.0056299,-0.027904,1.1321,0.00031536,3.03E-05,-5.87E-05,0.00065879,-0.0004796,0.00099708,0.0905556,0.0804,0.574128,3.55805E-05,-0.001069681,-0.00530176,0.215099,1.13845E-05,1.09307E-06,-2.12069E-06,2.37823E-05,-1.73136E-05,3.59946E-05
0.00095025,0.76288,0.67,4.7844,-0.0065596,-0.029136,1.1342,0.00033269,-5.26E-06,-4.54E-05,0.00065157,-0.00045808,0.00091625,0.0915456,0.0804,0.574128,3.4304E-05,-0.001246324,-0.00553584,0.215498,1.20101E-05,-1.89706E-07,-1.64049E-06,2.35217E-05,-1.65367E-05,3.30766E-05
0.00094433,0.77114,0.67,4.7844,-0.0073622,-0.030149,1.1349,0.000349,-5.04E-05,-3.06E-05,0.00066776,-0.00043011,0.0008719,0.0925368,0.0804,0.574128,3.40903E-05,-0.001398818,-0.00572831,0.215631,1.25989E-05,-1.81908E-06,-1.10423E-06,2.41061E-05,-1.5527E-05,3.14756E-05
0.00098294,0.7794,0.67,4.7844,-0.0079005,-0.030408,1.1331,0.00036318,-0.00010021,-1.53E-05,0.00070519,-0.00042155,0.0008975,0.093528,0.0804,0.574128,3.54841E-05,-0.001501095,-0.00577752,0.215289,1.31108E-05,-3.61758E-06,-5.53846E-07,2.54574E-05,-1.5218E-05,3.23998E-05
0.0010629,0.78765,0.67,4.7844,-0.008115,-0.029707,1.1295,0.00038161,-0.00014056,3.84E-06,0.00075676,-0.00044414,0.00098752,0.094518,0.0804,0.574128,3.83707E-05,-0.00154185,-0.00564433,0.214605,1.37761E-05,-5.07422E-06,1.38779E-07,2.7319E-05,-1.60335E-05,3.56495E-05
