K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0080279,2.3999,0.67,9.7636,0.012036,0.023138,0.97786,0.0035618,-0.00038931,0.00070612,0.004442,-0.0007921,0.0080521,0.287988,0.0804,1.171632,0.000289807,0.00228684,0.00439622,0.1857934,0.000128581,-1.40541E-05,2.54909E-05,0.000160356,-2.85948E-05,0.000290681
0.007775,2.4338,0.67,9.7636,0.0063745,0.033661,0.9341,0.0024875,-0.00019526,0.0011235,0.0041832,-0.00055002,0.0088793,0.292056,0.0804,1.171632,0.000280678,0.001211155,0.00639559,0.177479,8.97988E-05,-7.04889E-06,4.05584E-05,0.000151014,-1.98557E-05,0.000320543
0.0059518,2.4691,0.67,9.7636,0.0022906,0.035919,0.80896,0.00093,1.83E-05,0.00080415,0.0030502,-0.00018113,0.0079234,0.296292,0.0804,1.171632,0.00021486,0.000435214,0.00682461,0.1537024,0.000033573,6.61966E-07,2.90298E-05,0.000110112,-6.53879E-06,0.000286035
0.0022065,2.5058,0.67,9.7636,0.0016924,0.015841,0.35683,5.87E-05,3.30E-06,0.00014035,0.0011695,-6.67E-05,0.0031848,0.300696,0.0804,1.171632,7.96547E-05,0.000321556,0.00300979,0.0677977,2.12051E-06,1.19025E-07,5.06664E-06,4.2219E-05,-2.40892E-06,0.000114971
2.33E-07,2.544,0.67,9.7636,0.0012266,2.73E-13,4.77E-17,4.65E-07,1.04E-16,2.39E-20,2.31E-26,5.30E-30,3.66E-33,0.30528,0.0804,1.171632,8.40191E-09,0.000233054,5.19232E-14,9.06338E-18,1.68035E-08,3.74177E-18,8.61346E-22,8.33224E-28,1.9115E-31,1.31982E-34
0,2.5837,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.310044,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,9.7636,0,0,0,0,0,0,0,0,0,0.315,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0.0080403,2.3999,0.67,9.7791,0.011991,0.023132,0.97764,0.0035737,-0.00038209,0.00067694,0.0044351,-0.00079035,0.0080718,0.287988,0.0804,1.173492,0.000290255,0.00227829,0.00439508,0.1857516,0.000129011,-1.37934E-05,2.44375E-05,0.000160107,-2.85316E-05,0.000291392
0.0077904,2.4338,0.67,9.7791,0.0063534,0.033513,0.93381,0.0025011,-0.00019211,0.0011127,0.0041915,-0.00054713,0.0088882,0.292056,0.0804,1.173492,0.000281233,0.001207146,0.00636747,0.1774239,9.02897E-05,-6.93517E-06,4.01685E-05,0.000151313,-1.97514E-05,0.000320864
0.005961,2.4691,0.67,9.7791,0.0022901,0.035787,0.80871,0.00093879,2.17E-05,0.00080526,0.0030537,-0.00018761,0.0079295,0.296292,0.0804,1.173492,0.000215192,0.000435119,0.00679953,0.1536549,3.38903E-05,7.8485E-07,2.90699E-05,0.000110239,-6.77272E-06,0.000286255
