K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0036369,0.16379,0.67,9.7636,-0.0026985,-0.0023634,1.0585,0.0013607,-2.60E-05,-0.00055724,0.001585,-0.000389,0.0043282,0.0196548,0.0804,1.171632,0.000131292,-0.000512715,-0.000449046,0.201115,4.91213E-05,-9.39611E-07,-2.01164E-05,5.72185E-05,-1.40429E-05,0.000156248
0.0037281,0.19372,0.67,9.7636,-0.0016331,-0.0092363,1.0723,0.0014497,-1.39E-05,-0.00067513,0.0016382,-0.00021578,0.0043682,0.0232464,0.0804,1.171632,0.000134584,-0.000310289,-0.001754897,0.203737,5.23342E-05,-5.00996E-07,-2.43722E-05,5.9139E-05,-7.78966E-06,0.000157692
0.0038639,0.22242,0.67,9.7636,-0.0010735,-0.014665,1.0875,0.0015067,-9.47E-05,-0.0009151,0.0017187,-0.00012376,0.0045025,0.0266904,0.0804,1.171632,0.000139487,-0.000203965,-0.00278635,0.206625,5.43919E-05,-3.42022E-06,-3.30351E-05,6.20451E-05,-4.46774E-06,0.00016254
0.0036956,0.24993,0.67,9.7636,-0.0020284,-0.016707,1.0959,0.0015557,-0.00016069,-0.00079974,0.001624,-0.00023458,0.0042115,0.0299916,0.0804,1.171632,0.000133411,-0.000385396,-0.00317433,0.208221,5.61608E-05,-5.80091E-06,-2.88706E-05,5.86264E-05,-8.46834E-06,0.000152035
0.0034092,0.27629,0.67,9.7636,-0.0033011,-0.01551,1.105,0.0017042,-0.00014674,-0.00051976,0.0014872,-0.00040222,0.0036271,0.0331548,0.0804,1.171632,0.000123072,-0.000627209,-0.0029469,0.20995,6.15216E-05,-5.29731E-06,-1.87633E-05,5.36879E-05,-1.45201E-05,0.000130938
0.003228,0.30154,0.67,9.7636,-0.004416,-0.013067,1.1092,0.0019695,6.94E-06,-0.00034026,0.0013455,-0.00053945,0.003141,0.0361848,0.0804,1.171632,0.000116531,-0.00083904,-0.00248273,0.210748,7.1099E-05,2.50689E-07,-1.22834E-05,4.85726E-05,-1.94741E-05,0.00011339
0.0032956,0.32572,0.67,9.7636,-0.0055882,-0.009499,1.108,0.0023436,0.00020633,-0.0002417,0.001251,-0.00057366,0.0029966,0.0390864,0.0804,1.171632,0.000118971,-0.001061758,-0.00180481,0.21052,8.4604E-05,7.44851E-06,-8.72537E-06,4.51611E-05,-2.07091E-05,0.000108177
0.003756,0.34887,0.67,9.7636,-0.0071886,-0.0072066,1.1066,0.0027974,0.00039599,-0.00016287,0.0013193,-0.00062183,0.0033953,0.0418644,0.0804,1.171632,0.000135592,-0.001365834,-0.001369254,0.210254,0.000100986,1.42952E-05,-5.87961E-06,4.76267E-05,-2.24481E-05,0.00012257
0.0042437,0.37102,0.67,9.7636,-0.0091212,-0.0069533,1.1066,0.0033016,0.00052595,-0.00019219,0.0015068,-0.00064851,0.003679,0.0445224,0.0804,1.171632,0.000153198,-0.001733028,-0.001321127,0.210254,0.000119188,1.89868E-05,-6.93806E-06,5.43955E-05,-2.34112E-05,0.000132812
0.0046997,0.39221,0.67,9.7636,-0.011204,-0.0074911,1.1061,0.0038223,0.00065578,-0.0001804,0.0017772,-0.00070976,0.0037998,0.0470652,0.0804,1.171632,0.000169659,-0.00212876,-0.001423309,0.210159,0.000137985,2.36737E-05,-6.51244E-06,6.41569E-05,-2.56223E-05,0.000137173
0.0052987,0.41248,0.67,9.7636,-0.013214,-0.0086394,1.104,0.0044092,0.00082715,2.58E-07,0.0022327,-0.00077184,0.0039554,0.0494976,0.0804,1.171632,0.000191283,-0.00251066,-0.001641486,0.20976,0.000159172,2.98601E-05,9.31019E-09,8.06005E-05,-2.78634E-05,0.00014279
0.00602,0.43187,0.67,9.7636,-0.015002,-0.0099406,1.1007,0.0050831,0.0010543,0.0001901,0.002617,-0.00065697,0.0043399,0.0518244,0.0804,1.171632,0.000217322,-0.00285038,-0.001888714,0.209133,0.0001835,3.80602E-05,6.86261E-06,9.44737E-05,-2.37166E-05,0.00015667
0.0067701,0.4504,0.67,9.7636,-0.01653,-0.011127,1.097,0.0057473,0.0012145,0.00025229,0.0028247,-0.00049268,0.0049682,0.054048,0.0804,1.171632,0.000244401,-0.0031407,-0.00211413,0.20843,0.000207478,4.38435E-05,9.10767E-06,0.000101972,-1.77857E-05,0.000179352
0.0074896,0.46812,0.67,9.7636,-0.018062,-0.011116,1.0952,0.0065503,0.001311,0.00018624,0.0029645,-0.00042159,0.0054643,0.0561744,0.0804,1.171632,0.000270375,-0.00343178,-0.00211204,0.208088,0.000236466,4.73271E-05,6.72326E-06,0.000107018,-1.52194E-05,0.000197261
0.0082532,0.48504,0.67,9.7636,-0.019461,-0.010232,1.0914,0.0074869,0.0014561,0.00033643,0.0031494,-0.00048889,0.00587,0.0582048,0.0804,1.171632,0.000297941,-0.00369759,-0.00194408,0.207366,0.000270277,5.25652E-05,1.21451E-05,0.000113693,-1.76489E-05,0.000211907
