K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7636,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.171632,0,0,0,0,0,0,0,0,0,0
3.08E-07,-0.044001,0.67,9.7636,-0.00022267,-6.38E-14,1.30E-17,6.16E-07,1.77E-16,8.83E-21,5.08E-26,2.55E-30,1.90E-33,-0.00528012,0.0804,1.171632,1.11217E-08,-4.23073E-05,-1.21226E-14,2.46221E-18,2.22434E-08,6.38609E-18,3.18669E-22,1.83352E-27,9.19575E-32,6.84889E-35
0.001101,-0.0058053,0.67,9.7636,-5.88E-05,0.0074217,0.36661,2.35E-05,-2.52E-05,-6.37E-05,0.00072724,-6.39E-05,0.0014512,-0.000696636,0.0804,1.171632,3.97461E-05,-1.11762E-05,0.001410123,0.0696559,8.49614E-07,-9.10659E-07,-2.30015E-06,2.62534E-05,-2.30766E-06,5.23883E-05
0.0029422,0.030909,0.67,9.7636,0.00077413,0.016823,0.83072,0.00036573,-0.00014872,-0.00036556,0.0018947,-0.00016381,0.0036239,0.00370908,0.0804,1.171632,0.000106213,0.000147085,0.00319637,0.1578368,1.32029E-05,-5.36879E-06,-1.31967E-05,6.83987E-05,-5.91354E-06,0.000130823
0.0041223,0.066184,0.67,9.7636,0.0012434,0.014675,0.9554,0.00097886,-0.00033169,-0.0007041,0.0024075,3.44E-06,0.0048582,0.00794208,0.0804,1.171632,0.000148815,0.000236246,0.00278825,0.181526,3.53368E-05,-1.1974E-05,-2.5418E-05,8.69108E-05,1.24303E-07,0.000175381
0.0043216,0.10006,0.67,9.7636,0.00052169,0.0078552,1.0019,0.0013117,-0.0003197,-0.00071805,0.0023262,-9.74E-05,0.0050052,0.0120072,0.0804,1.171632,0.00015601,9.91211E-05,0.001492488,0.190361,4.73524E-05,-1.15412E-05,-2.59216E-05,8.39758E-05,-3.51697E-06,0.000180688
0,-0.125,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.173492,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7791,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.173492,0,0,0,0,0,0,0,0,0,0
2.04E-07,-0.044001,0.67,9.7791,-0.00040403,-1.16E-13,1.06E-17,4.07E-07,1.17E-16,1.16E-20,3.36E-26,3.33E-30,1.37E-33,-0.00528012,0.0804,1.173492,7.35177E-09,-7.67657E-05,-2.20096E-14,2.0083E-18,1.47035E-08,4.22226E-18,4.17027E-22,1.21249E-27,1.20065E-31,4.93559E-35
0.001105,-0.0058053,0.67,9.7791,-0.00023218,0.0074313,0.36642,2.34E-05,-2.56E-05,-6.39E-05,0.00073112,-6.29E-05,0.0014555,-0.000696636,0.0804,1.173492,3.98905E-05,-4.41142E-05,0.001411947,0.0696198,8.45679E-07,-9.22897E-07,-2.3061E-06,2.63934E-05,-2.27127E-06,5.25436E-05
0.0029534,0.030909,0.67,9.7791,0.00081307,0.016845,0.8303,0.00036734,-0.00015074,-0.00036651,0.0019048,-0.00016118,0.0036346,0.00370908,0.0804,1.173492,0.000106618,0.000154483,0.00320055,0.157757,1.3261E-05,-5.44171E-06,-1.3231E-05,6.87633E-05,-5.8186E-06,0.000131209
0.004131,0.066184,0.67,9.7791,0.0013036,0.014663,0.95512,0.00097983,-0.00033663,-0.0007047,0.0024197,1.06E-05,0.0048624,0.00794208,0.0804,1.173492,0.000149129,0.000247684,0.00278597,0.1814728,3.53719E-05,-1.21523E-05,-2.54397E-05,8.73512E-05,3.81108E-07,0.000175533
0.004323,0.10006,0.67,9.7791,0.00055068,0.0078262,1.0018,0.0013092,-0.00032452,-0.000716,0.0023326,-8.90E-05,0.0050041,0.0120072,0.0804,1.173492,0.00015606,0.000104629,0.001486978,0.190342,4.72621E-05,-1.17152E-05,-2.58476E-05,8.42069E-05,-3.21427E-06,0.000180648
0,-0.125,0.67,9.7947,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.175364,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.7947,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.175364,0,0,0,0,0,0,0,0,0,0
1.28E-07,-0.044001,0.67,9.7947,-0.00036945,-1.06E-13,2.23E-18,2.57E-07,7.36E-17,3.53E-21,2.11E-26,1.02E-30,3.93E-34,-0.00528012,0.0804,1.175364,4.63055E-09,-7.01955E-05,-2.01286E-14,4.24251E-19,9.26073E-09,2.65862E-18,1.27512E-22,7.63262E-28,3.67931E-32,1.41967E-35
0.0011091,-0.0058053,0.67,9.7947,-0.00018983,0.0074405,0.36623,2.35E-05,-2.61E-05,-6.36E-05,0.0007338,-6.24E-05,0.0014609,-0.000696636,0.0804,1.175364,4.00385E-05,-3.60677E-05,0.001413695,0.0695837,8.46653E-07,-9.43185E-07,-2.29654E-06,2.64902E-05,-2.25325E-06,5.27385E-05
0.002965,0.030909,0.67,9.7947,0.0008509,0.016866,0.82987,0.00037017,-0.00015407,-0.000365,0.0019118,-0.00015986,0.003648,0.00370908,0.0804,1.175364,0.000107037,0.000161671,0.00320454,0.1576753,1.33631E-05,-5.56193E-06,-1.31765E-05,6.9016E-05,-5.77095E-06,0.000131693
0.004142,0.066184,0.67,9.7947,0.0013618,0.014646,0.95483,0.00098584,-0.00034437,-0.00070344,0.0024289,1.59E-05,0.0048694,0.00794208,0.0804,1.175364,0.000149526,0.000258742,0.00278274,0.1814177,3.55888E-05,-1.24318E-05,-2.53942E-05,8.76833E-05,5.73593E-07,0.000175785
0.0043299,0.10006,0.67,9.7947,0.00057592,0.007789,1.0018,0.0013163,-0.00033098,-0.00071584,0.0023386,-8.43E-05,0.005005,0.0120072,0.0804,1.175364,0.000156309,0.000109425,0.00147991,0.190342,4.75184E-05,-1.19484E-05,-2.58418E-05,8.44235E-05,-3.04363E-06,0.000180681
0,-0.125,0.67,9.8103,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.177236,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.8103,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.177236,0,0,0,0,0,0,0,0,0,0
1.30E-07,-0.044001,0.67,9.8103,-0.00040805,-1.17E-13,1.92E-17,2.60E-07,7.47E-17,-6.66E-21,2.15E-26,-1.91E-30,8.37E-34,-0.00528012,0.0804,1.177236,4.69589E-09,-7.75295E-05,-2.22376E-14,3.65541E-18,9.39142E-09,2.69718E-18,-2.40422E-22,7.74634E-28,-6.89041E-32,3.02009E-35
0.0011137,-0.0058053,0.67,9.8103,-0.00022068,0.0074502,0.36604,2.35E-05,-2.62E-05,-6.36E-05,0.00073694,-6.19E-05,0.0014669,-0.000696636,0.0804,1.177236,4.02046E-05,-4.19292E-05,0.001415538,0.0695476,8.49505E-07,-9.47336E-07,-2.29665E-06,2.66035E-05,-2.23401E-06,5.29551E-05
0.0029773,0.030909,0.67,9.8103,0.00088864,0.016888,0.82945,0.00037137,-0.00015477,-0.00036502,0.00192,-0.00015844,0.0036632,0.00370908,0.0804,1.177236,0.000107481,0.000168842,0.00320872,0.1575955,1.34065E-05,-5.5872E-06,-1.31772E-05,0.000069312,-5.71968E-06,0.000132242
0.0041534,0.066184,0.67,9.8103,0.0014198,0.014622,0.95452,0.00098928,-0.00034689,-0.00070493,0.0024387,2.42E-05,0.0048788,0.00794208,0.0804,1.177236,0.000149938,0.000269762,0.00277818,0.1813588,3.5713E-05,-1.25227E-05,-2.5448E-05,8.80371E-05,8.74811E-07,0.000176125
0.0043363,0.10006,0.67,9.8103,0.00060211,0.0077477,1.0017,0.0013205,-0.00033409,-0.00071629,0.0023452,-7.26E-05,0.005007,0.0120072,0.0804,1.177236,0.00015654,0.000114401,0.001472063,0.190323,4.76701E-05,-1.20606E-05,-2.58581E-05,8.46617E-05,-2.62248E-06,0.000180753
0,-0.125,0.67,9.8259,0,0,0,0,0,0,0,0,0,-0.015,0.0804,1.179108,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,9.8259,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,1.179108,0,0,0,0,0,0,0,0,0,0
