K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0059313,2.3674,0.67,6.7583,0.022026,0.021554,1.005,0.002362,0.00043309,0.0019163,0.0030095,-0.00014737,0.0064913,0.284088,0.0804,0.810996,0.00021412,0.00418494,0.00409526,0.19095,8.52682E-05,1.56345E-05,6.91784E-05,0.000108643,-5.32006E-06,0.000234336
0.0059026,2.3999,0.67,6.7583,0.018215,0.029205,0.9841,0.0021826,0.0004225,0.0018064,0.0038009,-6.50E-05,0.0058218,0.287988,0.0804,0.810996,0.000213084,0.00346085,0.00554895,0.186979,7.87919E-05,1.52523E-05,6.5211E-05,0.000137212,-2.34697E-06,0.000210167
0.0053477,2.4338,0.67,6.7583,0.01288,0.042974,0.94409,0.001611,0.00051389,0.0014492,0.003697,0.00040531,0.0053873,0.292056,0.0804,0.810996,0.000193052,0.0024472,0.00816506,0.1793771,5.81571E-05,1.85514E-05,5.23161E-05,0.000133462,1.46317E-05,0.000194482
0.003744,2.4691,0.67,6.7583,0.0060914,0.04232,0.81862,0.0006167,0.0002092,0.0007631,0.0024603,0.00044625,0.0044109,0.296292,0.0804,0.810996,0.000135158,0.001157366,0.0080408,0.1555378,2.22629E-05,7.55212E-06,2.75479E-05,8.88168E-05,1.61096E-05,0.000159233
0.0013753,2.5058,0.67,6.7583,0.00048288,0.018675,0.36118,3.91E-05,3.56E-05,0.00013313,0.00094386,0.00017643,0.0017676,0.300696,0.0804,0.810996,4.96483E-05,9.17472E-05,0.00354825,0.0686242,1.41245E-06,1.28375E-06,4.80599E-06,3.40733E-05,6.36912E-06,6.38104E-05
2.42E-07,2.544,0.67,6.7583,-0.00076371,-1.65E-13,1.20E-17,4.84E-07,1.04E-16,-2.49E-21,2.24E-26,-5.34E-31,5.28E-34,0.30528,0.0804,0.810996,8.73115E-09,-0.000145105,-3.12664E-14,2.2724E-18,1.74623E-08,3.75945E-18,-8.98312E-23,8.09326E-28,-1.92684E-32,1.90724E-35
0,2.5837,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7583,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0.0059221,2.3674,0.67,6.7666,0.022019,0.021506,1.0056,0.0023563,0.00043507,0.0019133,0.0030059,-0.00013434,0.006482,0.284088,0.0804,0.811992,0.000213788,0.00418361,0.00408614,0.191064,8.50624E-05,1.5706E-05,6.90701E-05,0.000108513,-4.84967E-06,0.000234
0.005902,2.3999,0.67,6.7666,0.01819,0.029149,0.98474,0.0021825,0.00042061,0.0018058,0.0037944,-6.12E-05,0.0058271,0.287988,0.0804,0.811992,0.000213062,0.0034561,0.00553831,0.1871006,7.87883E-05,1.5184E-05,6.51894E-05,0.000136978,-2.20842E-06,0.000210358
0.0053561,2.4338,0.67,6.7666,0.01285,0.042947,0.94472,0.0016146,0.00050922,0.001446,0.0036897,0.00040307,0.0054078,0.292056,0.0804,0.811992,0.000193355,0.0024415,0.00815993,0.1794968,5.82871E-05,1.83828E-05,5.22006E-05,0.000133198,1.45508E-05,0.000195222
0.0037473,2.4691,0.67,6.7666,0.0060773,0.042338,0.81922,0.00061945,0.00020599,0.00075891,0.0024505,0.00044379,0.0044246,0.296292,0.0804,0.811992,0.000135278,0.001154687,0.00804422,0.1556518,2.23621E-05,7.43624E-06,2.73967E-05,8.84631E-05,1.60208E-05,0.000159728
0.0013762,2.5058,0.67,6.7666,0.00035292,0.018683,0.36145,3.93E-05,3.50E-05,0.0001324,0.00094013,0.00017547,0.001773,0.300696,0.0804,0.811992,4.96808E-05,6.70548E-05,0.00354977,0.0686755,1.41693E-06,1.26426E-06,4.77964E-06,3.39387E-05,6.33447E-06,6.40053E-05
2.18E-07,2.544,0.67,6.7666,-0.00089077,-1.92E-13,3.93E-17,4.36E-07,9.39E-17,-1.46E-20,2.02E-26,-3.14E-30,8.61E-34,0.30528,0.0804,0.811992,7.87124E-09,-0.000169246,-3.6499E-14,7.4632E-18,1.57428E-08,3.39048E-18,-5.26085E-22,7.30195E-28,-1.13441E-31,3.10709E-35
0,2.5837,0.67,6.7666,0,0,0,0,0,0,0,0,0,0.310044,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0,2.625,0.67,6.7666,0,0,0,0,0,0,0,0,0,0.315,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0.0059206,2.3674,0.67,6.775,0.022012,0.021462,1.0063,0.0023567,0.00044044,0.0019103,0.0030119,-0.00012378,0.0064727,0.284088,0.0804,0.813,0.000213734,0.00418228,0.00407778,0.191197,8.50769E-05,1.58999E-05,6.89618E-05,0.00010873,-4.46846E-06,0.000233664
0.0059068,2.3999,0.67,6.775,0.018161,0.029099,0.98538,0.0021865,0.00042105,0.001802,0.0037956,-5.99E-05,0.0058314,0.287988,0.0804,0.813,0.000213235,0.00345059,0.00552881,0.1872222,7.89327E-05,1.51999E-05,6.50522E-05,0.000137021,-2.16286E-06,0.000210514
0.0053676,2.4338,0.67,6.775,0.012813,0.042922,0.94534,0.0016198,0.00051053,0.0014467,0.0036884,0.00040064,0.0054271,0.292056,0.0804,0.813,0.00019377,0.00243447,0.00815518,0.1796146,5.84748E-05,1.84301E-05,5.22259E-05,0.000133151,1.44631E-05,0.000195918
