K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0.0035601,0.19372,0.67,6.7583,-0.0231,-0.0076603,1.0987,0.00097828,-0.00012265,-0.00084799,0.0015521,-5.90E-05,0.0045898,0.0232464,0.0804,0.810996,0.00012852,-0.004389,-0.001455457,0.208753,3.53159E-05,-4.42767E-06,-3.06124E-05,5.60308E-05,-2.13102E-06,0.000165692
0.0029432,0.22242,0.67,6.7583,-0.020636,-0.0089129,1.0976,0.0011025,2.84E-05,-0.00061578,0.0013368,-0.00032779,0.0034472,0.0266904,0.0804,0.810996,0.00010625,-0.00392084,-0.001693451,0.208544,3.98003E-05,1.02632E-06,-2.22297E-05,4.82585E-05,-1.18332E-05,0.000124444
0.0028769,0.24993,0.67,6.7583,-0.016195,-0.0063573,1.0996,0.0012325,0.00017093,-0.00094784,0.0013868,-0.00051881,0.0031343,0.0299916,0.0804,0.810996,0.000103856,-0.00307705,-0.001207887,0.208924,4.44933E-05,6.17057E-06,-3.4217E-05,5.00635E-05,-1.8729E-05,0.000113148
0.0028392,0.27629,0.67,6.7583,-0.016622,-0.0052295,1.1079,0.0014522,0.00017233,-0.0011803,0.0014638,-0.00061619,0.0027624,0.0331548,0.0804,0.810996,0.000102495,-0.00315818,-0.000993605,0.210501,5.24244E-05,6.22111E-06,-4.26088E-05,5.28432E-05,-2.22445E-05,9.97226E-05
0.0025824,0.30154,0.67,6.7583,-0.019609,-0.0032386,1.1062,0.0017074,0.00021922,-0.00090788,0.0014125,-0.00041402,0.0020449,0.0361848,0.0804,0.810996,9.32246E-05,-0.00372571,-0.000615334,0.210178,6.16371E-05,7.91384E-06,-3.27745E-05,5.09913E-05,-1.49461E-05,7.38209E-05
0.0027345,0.32572,0.67,6.7583,-0.021025,-0.0030319,1.1082,0.0018297,0.00032467,-0.0010569,0.0012912,-0.00060661,0.002348,0.0390864,0.0804,0.810996,9.87155E-05,-0.00399475,-0.000576061,0.210558,6.60522E-05,1.17206E-05,-3.81541E-05,4.66123E-05,-2.18986E-05,8.47628E-05
0.0028423,0.34887,0.67,6.7583,-0.02105,-0.0038696,1.1058,0.0018122,0.00028042,-0.00097578,0.0011865,-0.00068093,0.0026859,0.0418644,0.0804,0.810996,0.000102607,-0.0039995,-0.000735224,0.210102,6.54204E-05,1.01232E-05,-3.52257E-05,4.28327E-05,-2.45816E-05,9.6961E-05
0.0026476,0.37102,0.67,6.7583,-0.021396,-0.0046597,1.1087,0.0017621,9.92E-05,-0.00061491,0.0009934,-0.00049302,0.0025397,0.0445224,0.0804,0.810996,9.55784E-05,-0.00406524,-0.000885343,0.210653,6.36118E-05,3.58264E-06,-2.21983E-05,3.58617E-05,-1.7798E-05,9.16832E-05
0.0023979,0.39221,0.67,6.7583,-0.022623,-0.0021669,1.1133,0.0016896,4.09E-05,-0.00040059,0.00093937,-0.00038005,0.0021669,0.0470652,0.0804,0.810996,8.65642E-05,-0.00429837,-0.000411711,0.211527,6.09946E-05,1.47779E-06,-1.44613E-05,3.39113E-05,-1.37198E-05,7.82251E-05
0.0024642,0.41248,0.67,6.7583,-0.024585,0.0023074,1.1163,0.0016485,0.00023309,-0.00042309,0.001193,-0.00069456,0.0020869,0.0494976,0.0804,0.810996,8.89576E-05,-0.00467115,0.000438406,0.212097,5.95109E-05,8.41455E-06,-1.52735E-05,4.30673E-05,-2.50736E-05,7.53371E-05
