K,Points:0,Points:1,Points:2,U,V,W,uu,uv,uw,vv,vw,ww,x-dim,y-dim,z-dim,K-dim,U-dim,V-dim,W-dim,uu-dim,uv-dim,uw-dim,vv-dim,vw-dim,ww-dim
0,-0.125,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7583,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.810996,0,0,0,0,0,0,0,0,0,0
7.10E-08,-0.044001,0.67,6.7583,-0.0001639,-4.58E-14,1.43E-17,1.42E-07,3.97E-17,-9.46E-21,1.11E-26,-2.65E-30,6.72E-34,-0.00528012,0.0804,0.810996,2.56357E-09,-0.000031141,-8.70029E-15,2.72023E-18,5.12728E-09,1.43494E-18,-3.41495E-22,4.01613E-28,-9.55459E-32,2.42455E-35
0.0010495,-0.0058053,0.67,6.7583,-0.0018025,0.013632,0.38722,1.21E-05,1.27E-05,-2.45E-05,0.00079189,-0.00044819,0.001295,-0.000696636,0.0804,0.810996,3.7887E-05,-0.000342475,0.00259008,0.0735718,4.3829E-07,4.58651E-07,-8.83259E-07,2.85872E-05,-1.61797E-05,4.67495E-05
0.0027379,0.030909,0.67,6.7583,-0.0079994,0.030883,0.87649,0.0001915,7.47E-05,-0.00014029,0.0020575,-0.0011413,0.0032269,0.00370908,0.0804,0.810996,9.88382E-05,-0.001519886,0.00586777,0.1665331,6.91315E-06,2.69642E-06,-5.06447E-06,7.42758E-05,-4.12009E-05,0.000116491
0.0033807,0.066184,0.67,6.7583,-0.015314,0.028552,0.98428,0.00047898,-4.67E-05,-0.00020272,0.0025675,-0.00035902,0.003715,0.00794208,0.0804,0.810996,0.000122043,-0.00290966,0.00542488,0.1870132,1.72912E-05,-1.68717E-06,-7.31819E-06,9.26868E-05,-1.29606E-05,0.000134112
0.0037425,0.10006,0.67,6.7583,-0.019676,0.011911,1.0128,0.00060457,-0.00015065,-0.00013241,0.0025342,0.00051811,0.0043463,0.0120072,0.0804,0.810996,0.000135104,-0.00373844,0.00226309,0.192432,2.1825E-05,-5.43847E-06,-4.78E-06,9.14846E-05,1.87038E-05,0.000156901
0.003633,0.13258,0.67,6.7583,-0.021456,-0.0018883,1.0425,0.00065883,-1.19E-05,-0.00033847,0.0019549,0.00012499,0.0046523,0.0159096,0.0804,0.810996,0.000131151,-0.00407664,-0.000358777,0.198075,2.37838E-05,-4.28976E-07,-1.22188E-05,7.05719E-05,4.51214E-06,0.000167948
0,-0.125,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7666,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.811992,0,0,0,0,0,0,0,0,0,0
5.11E-08,-0.044001,0.67,6.7666,-0.00016245,-4.54E-14,9.59E-18,1.02E-07,2.86E-17,-6.17E-21,8.01E-27,-1.73E-30,4.23E-34,-0.00528012,0.0804,0.811992,1.84511E-09,-3.08655E-05,-8.62543E-15,1.82195E-18,3.69014E-09,1.03275E-18,-2.22564E-22,2.89031E-28,-6.22725E-32,1.52865E-35
0.0010441,-0.0058053,0.67,6.7666,-0.0018023,0.013618,0.38739,1.20E-05,1.26E-05,-2.38E-05,0.00078984,-0.00044587,0.0012863,-0.000696636,0.0804,0.811992,3.7692E-05,-0.000342437,0.00258742,0.0736041,4.34427E-07,4.56087E-07,-8.58169E-07,2.85132E-05,-1.60959E-05,4.64354E-05
0.0027238,0.030909,0.67,6.7666,-0.0080058,0.030852,0.87687,0.00019043,7.43E-05,-0.00013632,0.0020521,-0.0011353,0.0032051,0.00370908,0.0804,0.811992,9.83292E-05,-0.001521102,0.00586188,0.1666053,6.87452E-06,2.68133E-06,-4.92115E-06,7.40808E-05,-4.09843E-05,0.000115704
0.0033722,0.066184,0.67,6.7666,-0.015316,0.028489,0.98465,0.00047665,-4.54E-05,-0.00019694,0.0025651,-0.00035463,0.0037027,0.00794208,0.0804,0.811992,0.000121736,-0.00291004,0.00541291,0.1870835,1.72071E-05,-1.64049E-06,-7.10953E-06,9.26001E-05,-1.28021E-05,0.000133667
0.0037451,0.10006,0.67,6.7666,-0.019668,0.011813,1.0132,0.00060222,-0.00014633,-0.00013085,0.0025314,0.00051922,0.0043567,0.0120072,0.0804,0.811992,0.000135198,-0.00373692,0.00224447,0.192508,2.17401E-05,-5.28251E-06,-4.72369E-06,9.13835E-05,1.87438E-05,0.000157277
0.0036365,0.13258,0.67,6.7666,-0.021444,-0.0019482,1.0428,0.00065749,-6.58E-06,-0.00033803,0.0019549,0.0001297,0.0046605,0.0159096,0.0804,0.811992,0.000131278,-0.00407436,-0.000370158,0.198132,2.37354E-05,-2.37542E-07,-1.22029E-05,7.05719E-05,4.68217E-06,0.000168244
0,-0.125,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.775,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813,0,0,0,0,0,0,0,0,0,0
2.46E-08,-0.044001,0.67,6.775,-0.00024487,-6.84E-14,2.12E-18,4.92E-08,1.38E-17,-1.54E-23,3.85E-27,-4.48E-33,3.85E-35,-0.00528012,0.0804,0.813,8.88565E-10,-4.65253E-05,-1.30036E-14,4.03047E-19,1.77709E-09,4.97278E-19,-5.5529E-25,1.39158E-28,-1.61782E-34,1.39104E-36
0.00104,-0.0058053,0.67,6.775,-0.0018855,0.013603,0.38755,1.20E-05,1.24E-05,-2.32E-05,0.00079027,-0.00044279,0.0012777,-0.000696636,0.0804,0.813,0.000037544,-0.000358245,0.00258457,0.0736345,4.33525E-07,4.47568E-07,-8.39145E-07,2.85287E-05,-1.59847E-05,4.6125E-05
0.0027138,0.030909,0.67,6.775,-0.0080093,0.030817,0.87723,0.00019089,7.29E-05,-0.0001333,0.0020532,-0.0011275,0.0031836,0.00370908,0.0804,0.813,9.79682E-05,-0.001521767,0.00585523,0.1666737,6.89113E-06,2.63104E-06,-4.81213E-06,7.41205E-05,-4.07028E-05,0.000114928
0.0033686,0.066184,0.67,6.775,-0.015317,0.028424,0.98502,0.00047803,-4.51E-05,-0.00019201,0.0025687,-0.00035026,0.0036904,0.00794208,0.0804,0.813,0.000121606,-0.00291023,0.00540056,0.1871538,1.72569E-05,-1.6271E-06,-6.93156E-06,9.27301E-05,-1.26444E-05,0.000133223
0.0037512,0.10006,0.67,6.775,-0.01966,0.011717,1.0136,0.00060332,-0.00014305,-0.00012986,0.0025317,0.00051829,0.0043674,0.0120072,0.0804,0.813,0.000135418,-0.0037354,0.00222623,0.192584,2.17799E-05,-5.16411E-06,-4.68795E-06,9.13944E-05,1.87103E-05,0.000157663
0.0036421,0.13258,0.67,6.775,-0.02143,-0.0020059,1.0431,0.00065971,-2.55E-06,-0.00033852,0.0019549,0.00013412,0.0046695,0.0159096,0.0804,0.813,0.00013148,-0.0040717,-0.000381121,0.198189,2.38155E-05,-9.19395E-08,-1.22206E-05,7.05719E-05,4.84173E-06,0.000168569
0,-0.125,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.015,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
0,-0.083719,0.67,6.7833,0,0,0,0,0,0,0,0,0,-0.01004628,0.0804,0.813996,0,0,0,0,0,0,0,0,0,0
3.73E-08,-0.044001,0.67,6.7833,-0.00024513,-6.85E-14,-1.33E-17,7.46E-08,2.09E-17,2.90E-21,5.85E-27,8.10E-31,2.11E-34,-0.00528012,0.0804,0.813996,1.34628E-09,-4.65747E-05,-1.30186E-14,-2.52833E-18,2.69255E-09,7.53768E-19,1.04593E-22,2.11008E-28,2.92471E-32,7.62179E-36
0.0010349,-0.0058053,0.67,6.7833,-0.0018867,0.013589,0.38772,1.20E-05,1.22E-05,-2.25E-05,0.00078877,-0.00044091,0.0012691,-0.000696636,0.0804,0.813996,3.73599E-05,-0.000358473,0.00258191,0.0736668,4.31503E-07,4.41611E-07,-8.11167E-07,2.84746E-05,-1.59169E-05,4.58145E-05
0.0027005,0.030909,0.67,6.7833,-0.008014,0.030784,0.8776,0.00018958,7.19E-05,-0.00012886,0.0020492,-0.0011226,0.0031622,0.00370908,0.0804,0.813996,9.74881E-05,-0.00152266,0.00584896,0.166744,6.84384E-06,2.59602E-06,-4.65185E-06,7.39761E-05,-4.05259E-05,0.000114155
